drunk speed braking turn accelerate lights time blinker
1 41.56 53.71 -16.1 15.75 Off Day 21
0 45.61 16.39 -9.6 19.66 Off Day 0
1 36.52 2.08 -29.2 16.28 On Night 50
0 44.85 37.07 25.2 17.43 Off Night 4
1 37.71 7.81 10.2 23.99 On Day 58
1 36.57 26.32 22.8 13.21 On Night 86
0 40.98 11.17 -11.7 9.73 Off Night 0
1 47.78 62.31 7.8 5.04 On Night 62
1 41.76 45.03 8.7 11.47 Off Day 34
1 41.26 51.93 -9.3 7.78 Off Night 24
1 42.04 5.35 14 7.53 Off Night 41
1 46.56 50.59 30.7 21.95 On Day 80
1 42.94 52.88 23.3 16.88 On Day 24
1 34.34 12.91 15.7 11.14 On Day 39
1 32.66 3.81 -3.7 6.06 On Night 91
1 39.32 15.45 26.3 6.56 On Night 81
1 41.57 13.24 8.4 20.07 On Day 96
1 36.43 7.22 19.7 5.59 On Day 70
1 42.25 30.53 4.9 20.38 On Night 34
0 34.5 80.75 18.7 21.88 On Day 0
0 37.3 31.76 0.5 12.82 On Day 2
1 38.02 7.91 -7.5 22.59 Off Night 69
1 44.77 0.89 5.1 17.08 On Night 68
0 42.01 36.51 -0.9 18.61 On Day 0
1 41.02 19.93 -11.2 23.34 On Day 83
1 38.46 6.69 6.7 19.11 Off Day 65
1 42.96 11.23 -16.6 7.44 On Night 61
1 34.89 17.3 -13.6 21.52 Off Day 74
1 37.3 38.23 4 14.04 On Night 72
1 42.36 8.75 -16.5 22.48 On Night 64
1 32.73 38.49 1.8 19.82 On Night 60
1 34.75 8.65 2.7 14.54 Off Night 32
0 35.92 57.69 20.9 16.93 On Night 0
0 39.37 24.09 -7.1 10.02 Off Night 0
0 40.39 31.83 -11.3 9.26 On Day 0
0 33.95 24.83 4.1 5.11 Off Day 0
1 35.74 29.55 0.2 9.4 On Day 47
1 34.1 13.13 2.7 13.33 Off Day 7
1 37.89 3.2 -8.2 5.01 On Day 53
1 44.3 25.03 7.4 7.32 On Day 61
1 35.39 12.5 -11.8 6.86 Off Day 84
1 40.86 26.33 -26.3 5.11 On Day 88
0 45.7 82.63 23.4 9.96 Off Day 0
1 47.84 46.87 -15.4 8.47 On Day 47
1 39.01 19.92 14.8 23.34 On Night 25
1 37.15 55.29 -17.2 14.05 Off Night 61
0 37.89 7.68 -2.7 11.85 Off Night 0
1 44.04 15.9 25.4 24.91 Off Night 12
1 46.51 9.52 -7.2 13.76 On Day 48
0 35.47 14.96 -33.4 21.63 Off Night 0
1 36.62 20.71 -3.5 20.66 On Night 12
1 32.42 7.19 1.7 9.85 Off Night 65
1 51.69 8.45 -4.7 20.49 Off Night 55
1 38.61 37.87 38.5 22.78 On Night 86
0 40.87 42.13 2.9 7.85 On Day 0
0 40.56 104.72 9.7 24.46 On Night 0
1 41.86 58.05 -13.4 8.89 On Night 17
1 33.91 21.01 10.7 20.98 Off Night 53
0 39.74 40.96 -11.4 11.45 On Night 0
1 38.31 31.46 2.6 11.71 Off Day 15
0 37.22 25 -13 16.73 On Night 8
0 36.85 12.09 4.1 6.21 Off Day 0
1 39.93 35.83 -14 22.28 On Night 56
0 43.75 27.54 7.5 24.58 Off Day 0
0 47.13 51.06 -9.1 24.54 On Day 4
1 36.76 0.67 10.4 7.83 Off Night 19
0 39.07 26.06 -6.8 10.55 Off Day 0
1 40.56 7.52 -1.9 24.44 Off Night 33
1 42.46 16.16 -23.4 11.49 On Night 64
1 39.57 6.88 -22.9 19.87 Off Night 37
1 47.12 11 -11 14.13 Off Night 41
0 39.1 10.72 4 10.35 On Day 1
1 38.45 18.76 16.9 20.08 On Night 12
1 36.96 28.46 -11.1 21.1 Off Day 29
1 38.72 12.52 16.2 11.58 On Night 52
1 47.43 17.78 -4.9 24.23 Off Night 21
1 32.6 39.63 0.8 15.98 On Day 58
1 39.37 45.07 -29.3 14.82 On Day 33
1 36.39 99.91 -8.1 15.15 Off Night 19
1 45.27 67.52 23.8 21.39 Off Day 59
1 37.39 27.64 19.5 24.26 Off Night 88
1 34.81 7.6 9.7 22.62 On Night 69
1 36.08 19.98 -0.5 6.98 On Night 88
1 36.5 28.54 32.6 17.58 Off Night 93
1 45 8.64 21.5 17.35 On Day 90
1 35.88 12.47 20.6 16.09 Off Day 81
1 41.31 38.59 0.6 5.83 Off Day 60
0 36.98 44.99 7.5 20.8 On Day 0
1 37.51 42.7 -12.9 19.39 On Night 30
1 41.53 11.78 -3.6 21.52 Off Day 84
1 38.15 24.23 -4.5 17.7 On Night 29
1 30.84 32.68 16.2 7.93 Off Night 98
1 43.83 11.01 21.8 22.64 On Day 91
1 39.13 153.85 -27.6 6.44 On Day 70
0 38.72 38.91 -36.4 6.24 On Day 0
1 46.88 29.95 -14.5 12.15 Off Day 94
1 32.84 11.11 5 5.86 Off Day 6
1 31.5 5.83 -10.6 21.46 Off Night 13
0 36.3 31.9 -12.2 22.89 On Day 0
0 42.59 26.45 14.4 8.77 On Night 0
1 43.8 30.4 15.5 11.09 On Day 47
0 41.39 24.09 -3.2 6.54 Off Night 0
0 34.82 81.57 15.6 10.43 Off Day 0
1 45.01 73.69 -21.9 6.98 On Night 48
1 35.37 53.07 9.1 17.33 On Night 71
0 39.83 36.91 -29.5 15.1 Off Day 0
1 39.69 16.11 28.1 6.03 Off Day 53
1 35.45 89.08 -11.5 6.62 Off Day 96
1 39.98 20.92 -15.5 7.91 On Night 13
0 39.52 18.93 7.2 22.99 Off Night 0
0 38.33 29.67 17 23.26 Off Day 0
1 46.8 3.25 -2.3 6.75 Off Night 8
0 42.83 27.33 16 14.85 On Day 0
1 44.28 73.67 9.4 7.85 On Day 59
1 36.31 44.81 -20 20.32 On Day 87
1 44.17 15.96 21.6 13.66 On Day 45
0 46.87 20.69 20.7 14.43 On Night 0
1 46.24 83.96 17.2 16.07 On Night 19
0 43.77 8.59 4.2 18 Off Day 0
1 48.69 72.2 -16.8 10.53 On Night 17
0 41.27 42.3 -7.4 9.95 Off Night 0
1 40.57 39.52 -10.1 18.82 Off Day 14
1 46.02 18.07 5.9 22.28 On Night 93
0 40.62 61.44 -15.1 11.92 Off Day 0
0 42.47 24.22 -23.2 5.57 On Night 0
0 39.67 10.24 10.4 5.89 On Night 0
1 40.67 21.43 3.1 21.82 On Day 36
0 40.6 41.97 13.3 8.6 On Day 10
1 39.04 31.4 12.1 22.12 On Day 97
1 32.35 9.35 -4.2 17.39 Off Day 97
0 37.64 0.45 -20.7 17.54 On Night 0
1 44.98 14.24 12.9 6.64 On Night 62
1 35.91 10.35 -15.5 10.29 Off Day 24
1 36.26 0.39 -7 20.49 On Day 77
0 37.1 16.32 -8 16.6 On Day 0
1 40.68 57.44 13.3 15.12 Off Night 23
1 44.02 21.58 6.9 21.54 Off Night 17
0 32.85 34.04 4.3 11.39 Off Day 0
1 38.22 7.84 15.5 23.19 On Day 84
0 42.1 39.81 -12.8 9.31 On Night 0
0 35.46 36.75 1.2 23.33 On Night 0
1 37.48 15.26 -27.6 19.72 On Day 89
1 39.69 24.1 -5.3 17.12 Off Night 98
0 36.2 45.18 22.8 16.44 Off Night 0
1 39.69 4.89 2.5 12.28 Off Day 93
1 41.64 21.91 34.2 19.47 On Day 90
0 40.75 44.3 -10.1 18.53 Off Day 9
1 37.45 12.66 -4.1 20.87 Off Day 87
1 43.96 4.78 12.9 16.18 Off Night 68
1 41.45 2.09 2.3 18.92 Off Night 58
1 39.78 22.8 2.3 20.54 Off Night 12
1 41.22 101.69 6.9 12.56 On Day 40
1 39.7 4.38 14.6 18.37 Off Night 87
0 41.9 18.08 -27.1 12.64 Off Night 0
1 39.34 16.24 11.4 19.07 Off Day 86
1 45.04 35.18 -13.5 23.44 Off Night 12
1 40.49 8.93 -10.3 15.07 On Night 86
1 39.42 13.62 -12.8 20.7 On Day 83
0 39.72 16.61 1.7 20.37 Off Night 1
1 37.49 57.23 -2.5 18.55 On Night 54
1 35.21 37.81 26.2 7.83 On Day 61
1 35.09 10.24 -2 11.48 Off Night 57
1 40.93 11.33 13.2 8.27 On Day 14
0 42.99 46.68 -27.7 17.55 On Night 0
0 37.42 79.56 -3.7 9.99 Off Day 0
1 44.79 36.74 -14.9 8.18 On Night 37
1 37.62 49.81 -4.7 17.67 On Night 16
0 40.59 30.75 25.2 18.25 Off Day 1
1 33.16 8.63 -6.4 10.2 Off Day 77
1 40.15 19.82 -4.5 14.34 Off Night 88
1 42.32 10.72 -19.6 23.89 On Day 36
0 38.91 1.55 -2.9 7 On Night 0
1 35.04 6.24 8.2 6.47 On Night 63
1 40.64 24.52 -2.5 16.25 On Day 93
0 41.6 39.87 -13.8 17.12 Off Day 0
1 35.84 11.9 10.9 16.16 Off Day 49
0 30.97 24.8 16.6 12.88 On Night 0
1 34.56 37.93 -24.4 14.62 On Day 38
1 31.99 74.45 18.4 21.72 Off Night 55
1 37.01 5.2 -5.8 8.05 Off Night 48
1 42.16 10.18 -4.2 21.16 On Night 77
1 40.6 6.67 -23.9 10 On Day 14
1 43 41.31 -3.1 8.51 Off Night 33
0 35.58 21.8 -1.4 9.76 On Day 0
1 48.27 10.02 15.4 9.03 Off Night 68
0 37.6 9.55 -15.8 12.94 Off Day 0
1 35.01 43.23 23.6 23.01 Off Night 22
0 40.51 38.98 33.3 12.45 On Night 0
1 40.3 8.39 1.5 18.79 On Night 69
1 46.04 50.75 18 12.23 Off Night 54
1 37.57 78.74 5.4 8.22 On Day 54
1 39.05 9.97 3.9 12.84 Off Night 41
1 36.18 71.33 -1.4 21.43 On Night 90
0 39.32 7.35 4.6 9.09 Off Day 3
1 45.47 21.7 2.8 11.02 On Night 23
1 40.13 17.07 -1.7 24.51 On Day 40
0 84.95 17.08 5.1 18.53 On Day 1
1 67.89 16.07 -1 20.53 On Day 27
1 78.9 1.39 4.9 8.45 On Day 37
1 70.72 40.31 1.3 20.68 On Day 75
1 76.28 39.32 -3.1 23.18 Off Day 40
1 63.8 58.03 -10 9.67 On Night 98
1 69.16 11.82 8.7 5.05 On Day 63
1 89.97 63.99 -10.9 10.33 Off Day 32
0 73.54 19.47 -14.2 22.24 Off Day 0
1 86.94 7.24 13.2 18.53 Off Day 81
1 64.38 14.61 -8.3 9.5 Off Day 18
1 68.86 25.1 38.9 15.94 On Day 75
1 81.23 44.6 -6.5 17.52 On Day 25
1 67.02 6.47 29.8 14.12 Off Night 14
0 48.33 25.32 -3.7 19.52 On Day 0
0 76.93 2.72 10.6 18.44 Off Day 0
1 72.72 27.74 -18.4 22.1 Off Day 77
1 61.63 8.37 -14.3 14.38 On Day 33
1 72.43 3.37 -22.8 21.76 Off Night 44
1 67.93 40.97 16.8 6.62 Off Night 57
1 80.61 6.15 -20.2 16.61 Off Day 68
1 80.89 14.41 -26.1 8.12 Off Day 94
1 61.9 14.01 26.8 19.09 On Day 54
1 73.22 18.39 -5.4 19.91 Off Night 66
0 78.3 4.32 -7.1 23.53 On Night 0
1 72.92 15.84 -0.2 20.27 Off Night 76
1 67.54 67.78 -5.4 21.49 Off Day 86
0 58.57 13.71 -1.2 15.58 On Day 7
0 58.95 16.15 -2.4 13.21 On Night 0
1 75.7 51.66 6.6 14.62 On Day 76
1 73.51 14.66 -8.2 19.71 On Day 23
1 85 50.83 14.7 6.25 Off Day 68
1 51.56 0.38 1.9 10.37 Off Night 13
0 59.27 92.22 17.6 11.86 On Day 1
0 68.63 9.19 -4 8.04 On Day 0
0 66.57 61.04 -13.3 14.04 On Night 0
1 71.46 15.98 -4.8 20.44 Off Day 84
0 85.01 30.51 16.1 17.36 Off Day 0
0 72.95 28.53 -4.6 12.23 Off Night 0
1 54.25 4.95 24.9 23.8 Off Day 24
1 87.69 29.96 -3 7.28 Off Night 22
1 66.41 38.37 -11.3 19.01 On Night 41
1 77.49 8.64 0.6 13.53 Off Night 67
1 54.83 33.18 -21.6 11.36 Off Night 40
1 89.06 67.15 35.3 7.01 On Night 41
1 68.41 37.47 10.6 10.32 Off Day 88
1 65.02 40.22 4.8 11.5 Off Night 44
1 59.17 56.53 -9.3 10.17 On Night 41
1 69.01 1.56 -5.7 5.52 Off Night 53
1 78.58 84.45 4.2 6.11 On Day 41
1 79.25 74.48 -23.2 24.98 Off Day 20
1 76.94 57.59 -10 13.93 On Day 34
1 69.29 19.06 -5.7 15.98 Off Day 38
1 79.78 42.37 -15.3 12.49 Off Day 27
1 49.56 10.37 3 6.48 On Day 48
0 78.11 35.03 3.1 22.46 On Night 0
0 78.21 57.64 -32.7 8.97 Off Night 0
1 88.8 58.35 -17.1 10.84 On Night 99
1 57.67 22.07 10.5 22.55 Off Night 48
1 86.15 22.17 -1.1 6.24 Off Night 95
0 74.25 18.99 10.3 16.75 On Night 0
1 60.53 4.73 15.9 13.9 Off Night 25
1 82.49 19.21 -5.2 18.84 Off Night 84
1 68.07 23.97 -16.4 23.1 Off Night 10
1 75.68 26.02 -7.6 14.71 Off Day 69
1 64.68 15.92 1.5 24.31 On Day 49
1 60.68 25.45 15.3 20.84 Off Night 71
1 85.82 37.39 -0.9 5.31 Off Night 21
0 72.57 5.75 -4.9 9.97 Off Night 0
1 66.92 3.79 -0.4 6.66 Off Day 52
1 88.87 12.16 -8 19.83 Off Night 50
1 44.05 19.8 -11.2 10.33 On Day 96
1 56.49 58.99 -21.4 13.69 On Night 94
1 85.26 66.22 17.2 18.21 On Day 33
1 80.38 15.96 7.2 7.9 Off Night 88
1 61.82 7.34 7.7 6.65 On Day 46
1 69.09 35.4 -1 13.28 Off Day 76
1 64.59 39.86 -14.2 19.36 Off Day 91
1 72.87 38.97 14.9 10.22 On Day 55
1 77.75 20.9 -17.6 7.86 Off Night 46
1 58.59 52.43 -28.9 18.86 On Night 75
0 73.54 23.1 1.9 12.49 On Night 7
1 78.72 5.46 15.9 21.54 Off Day 49
1 80.72 9.52 12.2 14.15 Off Day 16
0 68.64 21.69 -13 19.59 On Day 2
1 56.94 72.97 -6.2 6.2 Off Night 28
1 87.06 9.97 -7.2 10.78 Off Night 48
1 67.34 51.98 -21 17.69 On Day 68
1 78.27 22.79 -37.3 15.26 Off Night 9
0 49.48 69.95 -12.8 7.48 Off Day 0
1 57.46 25.99 -11.6 8.4 On Night 37
1 68.7 33.33 -1.8 19.53 On Day 15
0 74.74 14.75 9.6 13.79 Off Day 0
1 65.89 102.26 -16.3 7.51 On Day 94
0 66.84 36.92 1.1 10.05 Off Day 0
0 82.09 1.18 28.8 15.33 On Night 0
1 75.16 17.3 -20.6 19.13 On Day 50
0 77.99 28.32 4.7 15.46 On Day 0
1 78.58 15.14 22.6 14.49 Off Day 68
0 65.45 3.23 3.4 12.07 Off Night 0
1 62.73 56.47 -0.9 6.57 On Day 85
0 69.82 11.6 -42.5 18.14 Off Day 0
1 54.62 54.44 16.8 5.24 On Night 40
1 55.39 49.53 3.3 17.97 On Night 97
1 84.51 5.08 -16.6 11.13 Off Day 41
1 61.69 24.28 -6.3 22.43 On Day 91
1 77.82 12.71 -4.7 9.01 Off Day 62
0 72.62 31.07 -14.3 23.26 On Day 0
0 66.9 25.47 9.9 24.13 Off Night 0
0 62.37 36.82 23.1 22.94 On Day 7
0 67.02 27 -1.9 16.79 On Night 0
0 64.86 20.86 -5 5.95 On Day 0
1 65.63 121.21 2.1 18.33 Off Night 98
0 59.52 8.04 20.8 15.29 On Night 0
1 55.88 3.44 3.3 9.04 Off Night 16
0 59.47 54.77 21.1 11.44 On Day 4
1 90.45 17.65 0.5 22.28 On Night 80
0 70.62 4.22 -3.6 5.85 Off Day 6
1 60.98 4.73 -24.2 23.74 Off Night 52
1 76.67 6.61 -0.3 13.07 Off Day 82
1 70.17 12.23 7.9 16.08 On Day 16
1 66.03 14.92 -44 19.14 On Night 22
1 58.01 33.02 41.4 16.47 Off Night 71
1 55.19 20.36 21.3 20.48 On Night 73
0 49.7 1.68 17.2 17.4 On Night 0
1 60.12 17.59 -21.8 19.15 Off Night 58
1 54.17 82.37 -5 7.31 On Day 92
0 77.81 16.15 12.5 17.87 On Day 5
0 81.33 34.26 -21.4 5.21 Off Night 0
1 73.13 67.84 1.5 15.99 On Night 47
1 62.56 54.86 -0.9 15.9 On Night 38
0 88.14 43.01 -1 7.15 Off Night 0
0 68.85 20.72 -2.1 5.43 On Day 0
1 74.4 18.44 18.9 5.87 On Day 94
1 72.46 33.51 20.7 19.32 Off Night 64
1 64.54 53.06 11.3 14.01 On Night 18
0 68.3 20.56 1.8 18.67 Off Night 0
1 71.49 87.92 23.4 16.46 On Day 88
1 64.41 54.15 4 24.88 On Night 29
0 58.92 84.74 -5 17.59 Off Day 0
1 71.99 20.59 -5.5 14.88 On Night 94
1 76.04 29.88 -14 17.59 On Day 96
1 47.2 46.93 -7.6 21.97 Off Day 18
1 68.99 7.56 -16.7 18.73 Off Night 82
1 62.41 52.93 4.9 11.03 Off Night 85
0 70.93 17.24 2.6 20.38 On Day 0
1 75.02 7.93 -0.1 18.62 On Day 13
1 79.87 15.79 9.5 12.76 On Night 22
1 73.82 34.16 10.4 10.27 Off Night 38
1 71.87 29.21 7.3 20.8 On Day 71
1 62.51 2.73 -10.4 22.92 On Night 27
1 82.54 15.02 1.2 24.76 On Day 75
1 55.51 10.27 -26.1 19.24 Off Night 47
1 70.2 70.34 6.1 6.08 On Day 20
1 72.79 5.89 -4.2 16.68 Off Day 82
1 79.47 12.57 -6.9 9.22 Off Night 86
0 71.67 21.8 5.7 19.19 Off Day 0
0 66.01 83.25 3.2 23.99 Off Day 0
1 85.86 82.38 -5 14.48 On Night 44
1 75.85 23.89 2 24.92 On Day 32
1 70.46 5.1 -25.4 18.27 Off Day 87
1 69.38 98.89 0.4 22.16 On Day 64
1 62.68 42.84 -11.6 7.45 On Night 71
1 68.26 53.18 -21.1 16.49 Off Night 14
1 82.05 70.65 7.1 19.27 On Day 79
1 79.56 35.79 4.2 21.25 Off Night 26
1 63.2 12.6 3.6 7.24 Off Day 61
1 69.61 29.28 20.3 17.95 Off Day 54
1 66.56 33.48 36.7 22.58 Off Night 57
0 81.27 40.73 -18.3 20.1 Off Day 0
1 56.71 29 -1.2 15.55 On Night 90
1 71.38 37.08 21 19.77 Off Day 16
1 75 29.84 2.5 13.51 Off Night 43
1 69.67 22.75 7.1 18.58 Off Day 34
1 71.85 24.88 2.2 6.97 Off Day 35
1 73.72 8.46 -42.2 5.74 On Night 59
1 85.9 133.81 -19.9 24.36 Off Night 61
1 81.64 21.33 0.4 18.6 On Day 55
1 68.36 16.13 40 18.13 On Day 75
1 78.29 24.04 10.9 15.21 On Night 9
0 65.81 14.89 1.3 15.38 Off Night 0
1 62.94 26.15 -10.4 10.01 Off Day 59
0 69.58 13.68 -17.6 10.5 On Day 0
0 80.95 16.82 -21.5 5.98 Off Night 0
0 58.1 58.28 6.7 16.16 On Day 11
1 53.38 32.22 1.2 19.11 On Night 67
1 83.46 14.17 22.5 10.78 On Night 33
1 76.27 72.89 14.8 9.04 Off Day 25
1 65.76 3.94 -22.8 8.47 On Day 34
1 80.33 41.86 23.1 17.51 Off Day 98
1 72.28 7.19 21.9 18.93 On Night 77
0 71.77 12.63 -12.2 21.36 Off Day 0
1 85.46 30.02 -0.1 24.1 Off Night 8
1 58.61 52.22 -5.5 23.46 Off Night 96
1 74.33 24.38 24.5 17.43 Off Day 85
1 73.89 20.43 20.4 19.99 Off Day 85
1 59.4 28.76 -35.3 22.15 On Day 25
1 72.7 17.49 -15.2 10.52 Off Day 18
1 87.76 10.64 -4.4 15.66 Off Night 77
0 67.35 8.76 -19.7 5.07 Off Night 0
1 70.78 4.22 -13.7 9.54 Off Day 92
1 77.92 48.12 -11.8 22.67 On Day 31
1 83.07 14.16 -25.7 23.37 Off Night 72
0 56.84 40.92 18.1 9.87 Off Night 1
1 74.44 18.22 34.2 10.14 Off Day 57
1 55.7 53.78 -2.6 6.96 Off Day 15
0 58.91 58.38 -33.7 15.17 On Day 7
1 72.83 11.55 10.7 6.38 Off Day 14
1 61.41 76.39 1.8 9.38 On Day 60
1 64.83 40.1 -14.1 22.21 Off Night 82
1 74.99 6.72 -35.2 9.76 On Night 40
1 73.86 52.37 -2.7 8.87 Off Day 19
1 83.75 11.68 -18.6 20.12 On Night 100
