pitch speed curve angle
strike 97.3692 15.5034 -1.5
strike 99.4665 5.7306 2.6
strike 103.2033 3.7513 -0.4
strike 97.723 3.9788 0
strike 93.6459 8.1513 -1.1
strike 98.08 6.8667 2.5
hit 111.6844 6.3164 1.1
strike 90.2924 4.7212 -2.1
foul 116.3578 9.1821 4.1
strike 94.0299 4.1684 -2.9
strike 91.7093 3.1162 3.7
strike 90.6109 3.4673 -1.9
strike 91.2826 4.8883 -3.2
hit 114.1264 0.3197 -1.2
foul 103.5307 8.1397 -1.9
hit 104.6544 9.8363 -2.9
foul 116.2033 7.8843 -4.7
strike 92.4042 25.0747 0.3
strike 90.2881 10.4383 -3.8
hit 113.1392 2.6474 1.3
foul 105.3009 7.521 4.2
foul 110.2871 14.8243 -3.5
foul 116.3602 12.6449 -0.6
hit 107.7419 0.9778 -4.5
foul 116.7995 16.9258 1.1
foul 115.8905 4.134 3.2
strike 108.5168 10.3867 1.5
strike 91.0271 6.546 0.1
strike 103.679 2.4266 2.2
strike 104.4701 2.4749 -2.6
hit 112.4354 8.5687 -4
hit 114.5414 3.4073 2.5
strike 105.9925 4.1474 2.7
strike 90.5237 15.1349 -6.2
strike 97.7494 5.6682 -2.1
strike 103.3077 4.8364 -0.3
strike 104.2606 2.6279 -0.3
hit 91.4397 17.6835 2.6
hit 107.3893 6.2027 -2.3
strike 94.937 0.4535 5.6
strike 91.6777 1.9146 3.6
hit 111.3996 8.6104 1.2
strike 94.8718 20.1204 0.2
strike 91.6279 8.0836 4.2
foul 111.7342 6.36 -4.2
foul 105.2344 4.4657 0
strike 94.9118 2.2183 -2
foul 115.8275 1.3794 -3.7
hit 114.7248 2.7021 1.6
foul 115.001 13.2845 0.3
strike 110.779 5.0556 0.9
strike 91.6199 8.2612 4.8
strike 106.3691 3.012 -7.9
hit 117.6958 3.3025 -3
strike 94.7493 2.5 3.7
strike 95.3891 8.0317 -0.2
hit 107.9371 3.4034 -2.9
foul 112.3761 9.3861 6.5
hit 106.1614 4.6691 -2.4
strike 98.9243 4.5559 1
foul 107.5034 3.6686 0.8
hit 108.8834 3.4084 -3.9
hit 113.1639 4.2091 2.6
strike 92.3669 1.2072 -3
strike 91.6445 1.2282 -0.8
hit 116.4179 8.4875 1.6
strike 95.8861 2.2507 2.3
strike 91.1704 0.5358 5.9
strike 103.7582 3.5206 -3.7
strike 92.1404 6.7312 -2.8
strike 112.0957 2.5144 4
foul 97.6021 14.825 -2.1
strike 101.597 1.0137 -0.2
foul 115.7812 8.6628 -1.4
foul 110.343 0.6878 3.2
strike 90.5718 0.6227 4.1
strike 90.6708 8.4622 -3.7
strike 97.779 2.3817 3.6
hit 103.0185 8.1264 3
hit 114.3701 2.2427 -1.9
strike 101.939 4.5996 5.6
strike 92.8812 1.3817 -3.9
hit 105.7667 3.9432 0
strike 96.2842 1.1689 -0.1
hit 113.3093 5.2054 -3.8
strike 110.8063 6.8971 1.8
hit 111.2987 6.2183 -3.6
hit 105.8891 16.2858 -4.6
hit 112.1051 4.7719 3.1
foul 103.4597 4.9687 5.4
hit 107.5162 6.5013 0.1
hit 112.1133 2.9036 0.8
foul 113.9534 7.3909 -4.2
strike 106.3307 2.288 0.5
strike 114.8339 6.551 2
strike 104.5778 0.5642 -4.1
strike 109.5022 8.5196 -2
strike 100.5759 3.8902 -4.5
hit 103.6196 4.7075 -2.2
hit 114.5265 15.3291 5.5
hit 111.6806 1.8158 3.5
strike 100.9718 1.7508 -1.1
strike 103.4102 4.0726 -2.3
hit 108.5273 5.0993 -3
hit 107.3029 1.5707 0.7
strike 95.082 8.7555 0.2
strike 93.6537 8.7219 7.4
strike 113.828 9.7082 3.2
strike 97.1743 9.1572 1.5
hit 113.5391 12.5786 4.8
hit 115.6511 6.2451 1.7
strike 104.1112 2.4742 -6.5
hit 107.1294 3.6783 4.1
hit 106.7381 6.6547 4.5
foul 111.3347 3.7103 -0.2
strike 111.4018 13.1427 3.4
strike 102.8757 2.5313 4.4
hit 116.5354 0.9234 -1.2
strike 100.6441 0.2665 4
strike 95.1853 3.431 -1
strike 95.1792 2.6665 4.8
strike 95.5097 4.112 -9.1
strike 103.3906 1.2899 1.8
strike 100.9914 3.5897 1.2
strike 110.5018 4.937 6
strike 97.457 4.3452 -3.4
strike 101.5923 1.6334 1.1
foul 107.8274 4.6281 -2.6
strike 93.0793 5.3822 5.7
strike 98.9066 3.3616 -2.5
strike 94.0851 0.9734 -7.4
foul 117.5955 5.7712 -3.2
strike 104.0893 3.3342 1.3
hit 115.1722 3.7993 -2.4
strike 94.9827 2.595 1.8
foul 111.4864 4.7411 -5.5
foul 106.2108 3.6032 3.4
hit 115.3316 1.5354 -1
foul 112.8062 2.7395 -4.3
foul 103.9527 2.1736 5
strike 95.3437 4.2072 -2.6
strike 100.9001 2.1267 -0.2
foul 111.1982 0.9807 -2.8
strike 94.6381 9.1333 -1
foul 115.9874 1.3528 2.1
hit 97.1868 15.4989 0.4
strike 94.7365 7.5144 2
strike 103.4068 1.4925 -2.6
strike 92.957 4.6154 -2.6
foul 108.0648 12.6737 1.6
strike 96.7554 0.3693 -0.4
strike 99.1741 6.6456 -3.2
foul 111.9454 5.2117 -0.6
strike 97.2626 2.9625 0.1
strike 93.4745 6.979 -2
strike 90.7592 4.3058 -4.4
strike 93.979 0.739 0
strike 91.2546 1.5469 0.5
foul 103.1419 8.4876 3.8
foul 91.1588 19.5687 1
strike 107.6074 2.8852 -2.1
hit 112.3636 7.3719 -3.6
strike 97.7529 3.6695 3.6
strike 98.4886 5.1132 -3.1
strike 93.726 1.2384 2.9
foul 115.2543 6.4728 0
hit 109.7448 1.1997 5.2
strike 94.4943 6.4349 -3.1
hit 105.2177 0.7747 1.6
foul 113.4534 10.6057 1.5
hit 112.1679 13.9947 -0.4
strike 93.0175 5.7401 0.8
strike 109.0154 9.3214 2.5
foul 106.403 2.1751 0.9
foul 111.014 3.8226 -1.5
strike 105.7542 0.5648 1.2
strike 97.3287 9.9921 -2.8
hit 117.0058 1.3055 -1.6
strike 99.0255 2.8719 1.9
strike 98.6152 2.0864 -1.6
strike 100.5701 2.3818 2.1
strike 91.2687 1.4438 -2.4
strike 99.217 1.4274 2.9
hit 114.7534 10.1761 3.7
strike 101.7057 7.1127 1.8
strike 90.9438 5.1645 4.8
foul 105.8275 10.2661 3.2
strike 104.9782 2.9308 6.8
foul 112.8312 0.8907 -0.1
foul 108.3249 1.7901 1
strike 98.2887 5.2378 -1.2
strike 103.5728 11.8983 5
hit 110.1685 3.2203 4.2
foul 106.3803 5.4887 -1.7
hit 113.1298 5.5936 -0.1
hit 109.4783 19.0775 -1.2
strike 104.9055 2.0126 -4.2
hit 99.6704 12.2824 2.8
hit 110.0004 14.6779 0
foul 104.0455 5.8495 1.3
hit 117.5254 4.8219 4.5
hit 107.9594 1.4836 -5.3
foul 112.3395 1.7659 1.6
foul 112.6207 5.792 0.9
strike 101.2721 3.4791 -5.1
strike 104.2698 3.4678 -4.2
hit 96.4157 29.2558 -4.1
foul 114.2944 2.1828 3.7
foul 104.8219 7.5786 -1.9
hit 116.533 3.1809 -0.8
strike 92.3569 0.4285 -1.7
strike 91.8426 0.5977 2.7
hit 107.8901 4.6219 -5.7
strike 100.475 4.5945 -0.2
strike 99.7455 1.876 -2.2
strike 91.9393 3.1892 -3.6
strike 95.1835 4.035 -6.2
strike 97.0892 9.2969 0.2
strike 91.6118 1.8976 0.7
strike 98.3255 2.8316 -0.7
strike 97.906 3.516 -2.5
foul 117.6182 8.0601 3.9
strike 110.1695 5.3188 -1.5
strike 90.9632 9.3025 -1.1
foul 112.0001 1.1475 1.7
strike 110.817 10.0943 -0.9
strike 92.6768 1.8246 3.1
strike 95.1007 9.9476 1
hit 109.6081 2.9341 0.1
foul 113.607 0.8895 0.7
hit 110.3697 3.668 -3.4
strike 92.313 0.4548 2.1
strike 106.3542 2.177 -4.8
hit 115.501 1.5693 -5.4
hit 109.1807 12.7635 3.8
strike 94.2288 7.169 1.8
strike 101.6349 2.4449 2.9
strike 100.6276 1.5496 1.8
hit 110.8652 3.2277 -2.7
hit 92.2115 8.9442 5.5
strike 96.8648 6.4363 3.1
hit 116.6568 7.1428 -2.9
strike 113.5067 6.597 3.8
foul 111.6083 7.9625 2.2
strike 113.6944 6.8109 0.8
hit 105.2967 3.9513 2.3
strike 97.3021 7.0859 -1.9
strike 108.525 6.6185 3.7
strike 99.5278 5.8938 -1.1
foul 115.9073 6.8089 4.7
foul 107.9912 6.0713 3.2
foul 111.6696 0.7255 1
strike 96.8508 6.4634 0.6
strike 115.0943 7.7055 3.1
strike 96.6444 7.6085 1.1
foul 111.2196 28.2515 -0.6
strike 101.2946 0.1937 0
foul 101.5089 7.7909 -2
strike 114.2425 6.1607 -1.1
strike 96.7528 3.9392 0.5
strike 97.5725 4.0624 0
strike 100.0617 0.8775 -1.6
foul 117.0402 5.098 -1
foul 103.8661 7.9765 7.1
strike 92.8619 10.6734 1.8
strike 96.7523 3.6162 3.7
foul 107.72 3.9816 -0.3
hit 106.0907 7.3142 -2.5
strike 90.9061 0.2281 0.2
hit 109.9297 7.9152 -3
strike 100.99 2.9108 1.3
strike 97.1731 6.302 3.1
hit 105.5075 4.3156 -0.1
strike 94.6604 11.7282 -1.1
foul 107.7047 5.4189 -5.8
hit 102.3458 6.2299 1
foul 98.4651 20.8456 6.9
hit 108.7348 5.8926 -1.3
foul 101.2654 33.5527 0.6
foul 101.776 9.9639 2.4
strike 93.7078 2.9742 -2.7
hit 97.7644 11.4231 4.5
hit 115.7169 12.3743 7.4
strike 95.5913 8.654 5
strike 107.1311 8.4925 -0.6
strike 105.5387 1.9693 2.3
strike 95.307 1.9639 3.3
strike 93.1327 3.7269 0.4
hit 106.7548 3.1862 0.3
strike 115.0619 0.731 5.7
strike 97.7574 2.1827 1.2
foul 106.5815 16.4463 3.1
strike 112.1923 4.2797 -2.2
strike 90.836 3.943 -1.7
strike 100.4651 9.1646 5.4
foul 116.1985 7.8282 -5.9
foul 113.3536 11.7338 3.8
strike 90.0572 2.4515 -2
foul 110.7394 0.8063 -0.5
hit 103.1063 9.1869 3.2
strike 94.7278 7.4942 -3.2
strike 93.0888 4.0949 0.7
hit 116.212 3.2244 2.9
strike 98.212 5.4531 0.9
hit 102.0796 8.3671 -5
hit 104.711 4.1027 0
strike 99.1357 3.7081 -4.9
strike 92.6732 2.9144 2.2
strike 95.5699 5.9155 -6
strike 107.8927 0.6133 5.5
foul 108.5338 5.3975 0.9
strike 99.929 1.1095 -2.9
foul 117.4811 2.1274 -6.2
strike 105.2552 0.8348 -4.5
strike 96.6345 0.2664 1.4
hit 111.4351 0.5106 -6.3
foul 113.3968 3.7923 -4.5
foul 104.8545 5.9829 2.9
hit 110.1642 1.5637 -0.1
foul 106.0643 10.7661 -1.5
strike 94.2219 8.5421 -3.8
strike 91.1324 7.2398 -2.1
strike 99.8859 5.0871 -3.4
foul 115.349 8.3468 -1.8
hit 115.3569 7.1485 -0.7
strike 105.9288 6.8997 3.4
strike 90.2708 2.8977 5.2
hit 107.4572 8.7578 1.8
strike 95.4774 5.0997 0.8
hit 110.6961 0.8903 -2
strike 93.4451 3.6967 -3.1
strike 91.0837 2.4302 1.1
hit 100.043 8.2443 2.2
foul 110.5126 4.542 -0.2
strike 93.8286 1.5222 4.1
strike 91.8688 4.8777 5.9
strike 91.8321 4.687 -1.6
strike 97.841 1.0496 6.1
strike 108.2985 1.0078 -1.7
strike 96.4888 5.3389 -1.9
strike 97.3049 18.6982 0.2
hit 107.6913 3.0544 9.8
hit 116.5672 7.4912 3.4
hit 112.3316 4.1312 2.8
strike 104.3677 4.0178 -2.7
strike 93.3306 4.2157 -2.5
strike 98.5899 8.3529 -1.8
strike 97.1312 5.8188 -5.1
strike 91.6359 7.3896 -2.6
hit 114.3253 13.8087 5.6
foul 99.8717 14.3436 -4.5
strike 103.0632 0.9698 -1.2
strike 95.9795 0.6186 -4.6
hit 106.7664 5.1592 -2.2
foul 101.032 10.427 6.7
strike 95.7187 1.2942 2
strike 91.5661 15.4722 1.4
strike 110.9979 1.6765 3.6
hit 112.8849 4.3922 -2.7
strike 111.4552 3.7088 1
strike 92.3599 1.9437 -2.7
foul 108.1804 13.4554 -0.5
foul 114.3362 0.1423 0.7
strike 95.262 7.214 -0.4
hit 112.1634 15.8604 0.5
strike 93.5994 7.2637 -0.9
strike 93.6282 5.9345 1.3
hit 107.7359 4.8401 -0.9
strike 93.4416 3.5888 -5.2
strike 97.175 8.8359 -2.8
strike 106.5613 3.3354 2.9
foul 112.2384 4.5791 2.3
strike 103.5434 3.0519 1.5
foul 117.6326 4.3529 -2.5
strike 101.6381 0.3267 -1.8
strike 98.3035 0.563 -1.7
hit 110.4179 2.2419 4.4
hit 114.3163 3.574 -2.5
strike 90.613 8.9205 -2.8
hit 109.7699 9.1088 6.1
strike 91.2517 6.167 1.2
hit 103.0812 10.0986 -5.9
strike 97.8944 5.8705 -1.7
strike 93.186 0.3713 -2.2
strike 100.7932 0.6139 -0.9
hit 108.6069 2.9948 1.6
strike 91.0716 6.3006 4.2
hit 109.0179 8.2799 0.7
hit 110.9401 14.3896 3.4
strike 102.3148 3.8105 1.9
strike 105.0796 2.0031 1.4
hit 115.3545 1.609 4.1
strike 94.6129 5.7657 0.3
strike 93.9345 8.5821 4.6
foul 96.7141 11.1435 -0.3
strike 103.4766 3.3175 -6.5
hit 109.2099 3.013 1.4
hit 115.4459 3.9377 -4.1
strike 97.5451 9.241 -2.2
foul 106.4024 5.4187 -1
strike 100.8807 11.4716 -1
foul 106.8799 13.9269 2.9
strike 91.2761 3.1549 0.8
strike 104.5062 3.0609 -4.6
strike 97.6571 0.7035 -1.6
foul 106.3887 15.774 2.1
foul 96.8575 11.8587 -0.9
strike 94.5352 12.2013 1.3
strike 96.5757 2.7494 -1
hit 103.7407 12.6078 -4.4
hit 94.1858 8.6515 4.5
hit 95.4261 15.2826 -3.1
hit 114.9499 6.0113 0.8
foul 113.3425 1.4309 -2.6
strike 101.1046 3.1813 -1.8
foul 107.9766 13.8079 2
strike 107.859 1.5605 0.1
hit 109.9528 3.0298 -1.2
strike 96.863 3.7044 1.5
hit 110.6064 0.324 5.7
strike 90.2039 7.1637 5.5
hit 115.5427 3.4504 -1.4
strike 98.8628 6.6887 2.9
hit 115.0972 3.1735 2.5
hit 117.7514 7.9113 -5.2
strike 91.5324 1.4107 -2.9
strike 93.8277 6.9267 -1.2
foul 115.2622 9.9855 0.1
strike 92.6447 7.2336 -3.8
strike 93.1712 6.6024 -4.3
hit 104.9383 19.2863 4.9
hit 114.6328 1.2187 -0.2
hit 117.9162 1.5277 -2
strike 96.0687 16.3544 -2.6
hit 103.1431 9.9065 -0.1
strike 109.5072 6.9318 -0.1
foul 113.0036 0.436 -3.3
strike 90.0668 4.4824 -0.2
foul 108.39 7.3587 3.8
hit 115.1112 20.1296 -5.3
strike 93.192 10.636 1.1
hit 113.2039 0.0681 -0.5
hit 114.5352 0.5932 0.5
strike 108.6745 1.3281 0.1
strike 96.8271 2.2565 1.9
strike 97.9966 2.6762 0.5
strike 95.1433 0.7435 -1.2
strike 112.508 6.4191 -0.5
foul 114.391 10.2314 0.8
strike 102.1878 3.4523 2.7
strike 101.5985 2.2211 0.8
hit 105.4164 13.3096 -0.7
strike 114.8766 3.9061 2.1
foul 102.1707 7.2114 4.4
strike 90.0069 15.0393 -1.6
strike 91.0946 4.9659 -0.8
strike 98.1128 4.8013 -2.2
strike 99.0803 5.2025 2.9
foul 115.3877 10.375 3.9
strike 98.5055 3.5687 -1.6
foul 96.0191 25.4613 2.4
hit 114.2138 3.8252 -3.1
foul 96.2504 23.5309 -3.2
strike 98.6677 0.998 -2.1
foul 111.8858 1.4521 3.6
strike 106.0402 1.1225 -0.8
strike 92.0369 1.1288 -1.1
strike 98.9004 1.0584 -1.6
hit 107.2118 4.0402 -4.2
hit 102.0355 6.3865 1.5
strike 104.005 5.6646 -1.2
strike 104.2363 1.2668 -6.1
strike 99.1727 4.0994 6.7
foul 112.7639 6.0336 2
strike 94.1418 6.6316 3
strike 93.3568 17.4759 4.8
strike 97.2523 5.7989 -0.2
strike 101.7337 6.2439 -1.4
hit 114.7929 0.8449 1.2
strike 101.7851 5.539 6.2
strike 104.8885 0.5798 -3.9
foul 106.2341 4.5 2.6
strike 91.1988 4.5516 1.3
strike 92.6488 5.1565 0.8
foul 110.5243 0.4647 -1.4
strike 105.0567 15.2017 -0.1
foul 111.1276 3.3457 -0.8
strike 111.7654 6.5794 1.7
strike 94.2769 4.0869 -5.9
strike 93.3803 2.2472 4.8
strike 101.1691 8.4409 6.5
strike 100.8497 0.7365 0
foul 115.888 14.382 1.2
strike 94.5545 16.0877 0.6
hit 117.8274 5.1541 0.2
strike 114.3391 0.3321 2.9
hit 104.8775 9.8251 -6.8
strike 99.5085 7.5803 -2
foul 96.6848 12.8828 -7
foul 109.3392 11.2031 -7
foul 104.1291 4.8351 4.3
strike 96.4534 3.4344 -9.4
hit 110.384 0.799 1.2
strike 91.8596 3.9997 2.4
strike 101.3159 5.5147 3.5
strike 105.4608 16.4783 4.6
hit 97.7812 9.8209 -2.6
strike 102.4318 4.9577 -0.6
strike 96.4763 3.0533 4.8
strike 90.8579 4.1465 1.8
strike 93.4019 0.5085 -0.7
hit 98.758 21.3559 0.7
strike 94.1059 1.7597 -1.6
hit 105.0003 1.9434 4.3
foul 111.2991 3.0816 4
hit 103.6817 4.887 -2
foul 113.1349 3.3934 0.5
strike 94.412 7.5178 -1.6
hit 108.5203 1.947 4.4
hit 108.3776 1.2436 -1.5
strike 106.8932 1.5488 -2.1
strike 104.3058 1.714 -1.9
hit 113.344 1.5664 2.2
foul 110.3098 15.7734 2.9
hit 108.4136 1.3701 -1.7
foul 116.2788 1.4321 0.2
hit 98.618 7.0908 1.6
strike 106.1953 10.7419 -1.7
strike 99.261 2.189 6.6
foul 115.9309 24.2264 1.6
strike 102.5713 1.1458 1.5
hit 115.7 7.3839 0.5
strike 95.8323 3.8597 -2.1
hit 111.2817 4.3979 -0.5
hit 102.1144 9.0146 0.5
strike 92.8253 3.3833 -1.3
strike 94.5293 13.341 1.1
strike 93.9543 8.5439 0.6
hit 114.6964 4.536 -0.8
hit 103.9786 6.2744 -0.5
hit 113.8945 9.024 1.9
strike 107.7301 3.6298 2.1
hit 107.361 3.4908 -0.7
hit 114.4988 7.7112 -3.6
strike 109.8831 18.489 -1.6
strike 94.8257 3.4792 -3.3
strike 115.9879 3.5023 4.8
strike 96.7793 0.4062 2.7
hit 108.4755 11.2321 1.6
strike 91.0152 3.4172 1.1
hit 111.6833 6.6292 -5.6
hit 114.1463 10.1019 1.2
strike 97.172 3.9089 -2.1
foul 111.4394 2.8135 0
strike 100.599 8.8268 0.2
strike 91.5243 7.5187 0.6
strike 117.7142 2.5963 2.2
strike 95.7608 1.4346 -3.5
strike 110.3458 12.3505 -2.4
strike 96.3022 5.3929 -0.6
strike 98.9104 7.4651 2.9
strike 101.9819 3.6493 -4.6
strike 92.6029 3.0012 -1.9
foul 117.9736 2.0646 -4.2
strike 102.8512 6.6961 2.6
strike 90.3987 2.4083 -0.8
foul 105.1416 8.7639 -4.7
foul 97.0484 13.5394 1.7
strike 93.275 1.3353 0.3
hit 101.0403 6.4109 -4.4
strike 107.1299 1.2396 -2.9
hit 91.0944 13.8242 7.1
strike 95.2382 1.6359 0.8
foul 113.7484 11.7564 1
strike 93.0645 8.1949 1.6
strike 98.1557 8.3246 -2.1
strike 99.8589 1.1892 -2.9
foul 111.4151 2.9707 -2.1
foul 116.5708 0.4324 -1.5
strike 90.8341 0.1445 -4.1
strike 92.9189 6.0925 -2.1
strike 96.4 1.8667 -0.7
strike 95.6054 6.8195 4
foul 101.828 9.0912 1.1
strike 91.8123 4.9582 -2.7
hit 105.0296 28.3883 2.8
strike 101.5938 2.8702 -6.7
strike 93.7046 5.1124 -0.4
hit 106.6088 5.6489 2.2
hit 107.9891 1.8739 -0.7
hit 110.1496 3.0775 -2.9
strike 93.5898 3.3537 0
foul 112.1849 17.9587 -3.1
foul 110.8615 7.228 -1.1
foul 116.879 0.827 -1.6
strike 112.0041 5.2009 1.3
strike 107.8323 1.087 -5.4
strike 100.0862 5.3489 0.4
strike 96.2111 1.0488 -4.7
hit 101.5668 7.1078 0.3
foul 113.8105 1.1303 -1.1
strike 91.8097 1.3478 5.9
strike 92.3635 3.1126 4.2
strike 90.8411 3.8961 5.2
strike 102.8687 1.4642 -0.7
hit 109.7973 10.1774 -1.5
strike 92.4946 0.1526 -3.7
hit 100.8271 11.115 5.6
strike 99.9045 2.8954 -4.7
hit 112.651 15.34 0.4
hit 101.7612 14.3542 -1.1
strike 93.5895 5.1089 3.3
hit 112.4112 4.4071 0.9
strike 106.0132 8.5359 2.1
foul 107.0432 3.1291 2
strike 92.6593 3.619 -2.4
foul 90.3361 16.835 -5.2
strike 114.348 8.3083 -0.3
strike 94.049 8.2141 -4.1
foul 113.4653 1.2778 -3
strike 116.7244 5.7158 3.8
foul 113.8291 2.7907 -4.4
strike 95.7997 0.8233 -2
foul 102.2085 9.0193 1.3
strike 109.5299 11.2793 -1.5
strike 93.6021 4.8045 2.2
hit 101.4314 8.7923 0.4
strike 92.7928 5.0436 -1.3
foul 111.4984 2.4711 1.7
strike 101.06 1.9352 2.2
foul 109.5859 8.7698 -0.1
strike 99.871 4.4086 3
strike 105.4759 17.5093 -1.7
hit 113.1601 1.1985 -0.8
strike 98.1738 7.4735 -3.4
strike 101.8724 3.1641 2.3
strike 116.3398 18.5674 -4.5
hit 100.3807 10.8092 -0.8
foul 113.1382 3.0871 2
foul 114.99 8.4576 0.8
strike 90.6781 10.5458 -0.3
foul 111.2451 8.0716 -2.1
strike 92.5817 5.3945 1.6
hit 107.9639 3.4777 -0.7
foul 106.582 5.2112 2.5
hit 115.4207 4.6891 -2.5
strike 105.1923 3.0254 3.4
strike 94.0864 5.1724 3.3
strike 101.236 4.0424 -8.2
strike 100.1221 1.0649 5.2
strike 100.15 9.9551 1.8
strike 95.9525 0.5586 -6
foul 101.6466 6.67 -2.8
strike 110.7435 5.4676 0.7
strike 93.3087 3.5585 -8.5
hit 111.6871 20.1736 0.9
strike 93.9144 2.9767 1.3
