Bankrupcies InterestRates PoliticalChange Confidence
23 105 0 56
73 10 9 45
7 37 82 46
58 17 42 72
32 80 33 14
49 3 18 97
83 16 5 8
10 87 11 27
39 62 20 55
22 11 33 102
51 26 55 94
60 6 88 82
43 87 26 51
13 94 2 53
26 92 8 47
85 55 9 32
87 15 26 36
70 20 29 8
65 16 35 2
50 20 43 83
88 25 4 24
21 40 84 36
100 34 27 14
43 40 35 21
95 15 53 16
63 11 8 8
18 9 69 31
82 25 14 6
20 89 5 38
8 33 97 44
61 31 17 35
3 54 66 33
108 29 23 2
56 32 27 86
15 52 75 42
95 5 17 24
14 54 77 27
33 72 8 63
36 4 86 93
71 15 67 63
15 74 15 55
67 10 42 79
56 4 82 62
81 34 4 14
18 87 14 28
16 11 90 34
34 15 42 74
21 66 22 45
9 73 10 44
104 21 17 16
61 12 81 78
76 2 45 71
18 88 9 34
35 96 25 37
18 59 45 36
69 47 8 39
33 69 40 47
18 83 27 34
12 28 61 22
61 2 16 19
102 14 6 23
55 15 38 100
61 9 78 57
15 4 70 47
51 14 27 96
22 46 79 62
70 15 6 8
58 56 27 24
69 22 3 38
10 37 73 34
14 32 73 23
5 44 79 30
37 5 67 67
56 106 8 30
73 2 42 104
31 55 68 47
23 66 87 32
30 81 1 43
11 59 6 39
61 6 36 92
12 41 91 39
73 35 48 62
67 41 5 9
86 14 30 5
18 75 1 19
16 56 87 54
70 10 34 83
46 100 36 35
78 20 11 43
10 85 19 46
39 81 9 63
28 88 11 12
86 10 9 7
21 45 45 48
46 11 61 92
79 15 0 30
22 95 28 51
10 39 67 10
87 14 82 69
4 82 17 47
46 1 48 103
60 9 12 32
109 27 8 23
47 51 9 36
13 21 60 17
22 30 54 75
1 93 45 37
33 1 53 71
75 25 3 4
88 3 52 69
58 28 84 83
92 7 14 10
4 26 83 36
58 14 8 29
97 30 39 3
98 15 21 6
94 24 28 10
6 41 80 25
35 74 28 36
74 18 49 87
80 16 32 92
64 16 73 61
6 45 72 34
8 42 90 38
19 96 12 29
49 7 48 66
75 43 7 29
56 10 43 93
39 15 37 96
10 37 98 61
74 16 41 67
37 93 9 26
74 40 50 95
83 48 18 18
86 23 21 40
89 18 2 1
18 32 72 51
92 3 7 20
75 25 3 24
33 66 18 19
34 65 18 52
73 11 34 3
55 14 24 12
31 58 31 43
0 34 77 76
64 18 78 95
23 69 4 28
5 81 26 18
66 32 26 97
46 5 14 11
62 14 35 74
8 51 78 37
75 21 29 38
89 26 17 12
54 11 46 104
75 26 67 98
88 19 25 104
84 18 70 97
28 64 45 63
56 2 26 74
6 33 75 39
27 38 79 40
86 7 8 7
90 12 24 71
82 30 31 5
26 15 89 34
76 35 26 20
21 104 8 62
55 9 56 90
24 117 34 60
7 40 66 35
81 32 22 19
25 42 70 76
30 105 17 58
67 13 4 29
54 22 59 73
100 25 10 32
92 6 4 25
47 34 52 57
2 50 74 28
81 28 10 24
8 39 89 41
1 47 97 16
17 29 58 13
76 3 10 16
99 59 19 44
34 79 45 40
73 13 42 59
36 93 22 49
56 37 23 30
55 17 43 74
78 20 11 3
4 72 29 45
90 19 2 34
40 77 2 56
68 7 5 17
75 5 17 20
25 39 97 11
85 14 23 70
119 5 8 43
2 65 105 40
70 4 6 23
4 86 7 43
9 29 76 16
18 38 61 48
1 39 95 39
97 6 11 15
27 71 13 3
116 24 20 4
37 86 13 41
91 45 3 23
5 58 1 56
23 36 99 24
10 95 33 25
9 62 56 46
2 83 23 35
91 20 32 26
76 27 34 8
69 26 52 82
2 115 20 26
81 9 31 1
73 13 14 28
25 20 69 83
40 80 20 35
5 49 98 32
38 49 25 32
46 61 70 65
5 32 93 26
26 71 20 25
93 1 15 44
119 27 24 7
50 9 47 70
47 80 27 19
70 23 66 85
8 44 77 65
8 33 68 46
84 30 9 28
27 31 98 58
12 82 8 54
96 24 21 13
22 79 18 48
84 50 11 30
73 21 2 10
61 8 44 95
60 20 83 64
15 97 7 32
58 17 24 13
2 75 36 48
87 3 49 67
21 44 70 28
39 11 66 77
14 74 12 25
94 31 13 28
85 15 44 95
8 71 34 47
2 53 16 35
74 3 48 67
41 37 33 63
84 17 2 31
78 10 7 28
58 2 32 88
22 47 91 44
92 7 7 27
95 29 6 25
4 41 86 39
60 16 4 27
67 16 46 61
22 58 74 51
20 9 71 55
68 15 46 88
7 67 27 29
20 53 91 32
18 79 12 7
44 92 7 32
40 46 35 19
83 11 48 67
52 29 68 79
4 65 8 48
57 26 39 93
42 54 35 108
87 27 25 20
13 83 7 48
19 103 17 23
62 3 52 95
66 53 26 17
48 19 21 100
7 38 77 68
57 28 2 14
61 9 21 30
7 76 1 39
31 98 15 42
86 7 48 112
12 68 105 53
29 40 74 51
1 94 38 54
81 19 31 90
23 14 56 30
9 55 45 44
72 15 61 94
94 32 27 19
75 11 26 28
67 35 34 78
10 20 68 38
88 45 6 31
44 69 5 26
9 94 37 59
81 32 62 84
86 25 1 12
20 59 36 39
17 54 1 38
66 4 8 0
29 124 4 42
21 34 80 38
78 5 46 99
18 52 26 48
22 63 102 50
23 48 67 34
68 22 51 85
90 7 18 26
1 40 69 14
12 92 23 43
67 14 2 23
19 74 8 41
88 5 85 90
6 86 1 37
28 46 35 42
5 81 23 20
83 39 12 35
31 45 65 40
87 10 15 9
100 20 4 36
45 75 43 33
19 63 11 46
59 6 40 50
77 23 11 32
14 20 97 52
5 29 74 46
40 60 74 51
75 30 31 25
80 14 15 12
54 31 57 73
11 43 84 42
4 15 63 36
41 51 86 13
42 38 99 32
6 86 15 46
24 57 99 57
61 15 34 87
12 72 68 34
89 0 26 43
6 2 95 66
16 83 4 41
93 13 20 34
105 15 10 24
86 28 8 11
70 9 43 79
75 16 19 25
82 17 45 25
2 46 73 56
107 25 12 18
70 12 42 79
75 1 57 95
78 13 3 0
67 24 64 70
15 22 115 12
82 30 9 24
6 28 81 20
25 87 49 59
21 42 79 21
15 69 12 29
83 14 49 1
12 74 18 42
5 89 34 20
102 32 4 15
65 17 56 74
30 68 27 57
36 5 51 65
64 15 55 78
21 32 94 34
9 69 3 38
47 35 51 82
64 20 27 13
25 98 4 51
7 80 27 69
23 17 95 39
8 43 70 22
65 30 36 87
78 30 27 1
14 65 21 45
29 112 19 46
79 3 54 63
53 54 0 20
16 63 74 55
44 15 54 108
38 79 41 38
72 10 15 22
32 58 24 44
2 42 98 64
105 38 2 20
2 58 29 53
22 107 25 66
35 21 39 128
22 25 76 30
10 85 19 20
67 13 68 92
54 32 19 20
102 23 1 20
96 52 21 19
60 21 10 17
79 19 7 12
41 64 33 42
76 2 70 91
11 70 35 22
21 75 18 18
91 51 28 23
76 6 24 7
75 60 40 44
74 6 34 99
90 12 10 43
12 42 92 36
76 6 57 87
46 7 31 80
91 5 18 16
72 12 79 86
7 46 77 34
47 2 2 31
0 44 67 8
58 14 15 34
20 52 68 50
56 18 38 88
38 14 33 86
108 28 7 7
64 18 52 58
61 38 12 28
15 61 95 47
79 22 14 27
36 79 39 51
30 57 73 49
7 21 91 34
60 5 67 106
51 32 4 17
55 3 34 72
13 62 17 19
10 115 41 44
70 0 3 8
60 14 51 42
10 86 36 22
24 76 14 81
79 29 5 24
69 24 9 12
74 16 16 28
0 27 71 59
63 13 63 80
0 32 66 27
59 7 53 72
78 34 20 15
5 20 83 51
48 3 29 5
78 25 9 22
21 68 2 29
13 50 82 41
23 84 7 32
33 91 15 51
45 4 61 109
7 52 78 9
31 95 5 57
25 81 7 32
25 72 31 36
8 20 84 29
51 17 48 80
33 75 5 55
4 25 101 17
44 5 54 92
22 27 93 44
16 30 82 27
79 31 26 26
79 17 2 22
73 18 45 68
33 84 9 55
5 61 13 65
14 45 81 49
11 64 3 35
13 59 31 41
66 38 26 33
87 40 20 18
32 97 22 44
86 1 39 92
79 14 12 36
74 4 72 91
29 90 24 40
11 11 86 36
84 48 6 23
43 16 68 56
8 90 22 53
18 82 29 31
38 0 36 54
85 71 8 3
13 104 17 44
32 63 1 51
4 50 94 27
73 12 59 78
8 90 4 12
61 14 31 29
83 9 17 38
97 1 24 51
54 7 54 86
25 45 12 48
77 5 12 48
62 19 44 90
4 46 80 46
71 25 43 72
33 25 66 75
48 4 63 65
97 46 11 3
78 9 55 89
31 91 15 50
75 7 14 39
3 75 10 52
17 92 27 50
20 83 11 51
74 7 54 106
4 75 24 49
13 30 81 46
6 59 86 60
16 98 29 28
53 28 42 71
95 12 2 13
26 1 47 74
35 77 11 42
53 3 58 74
17 64 68 24
68 44 34 70
5 16 55 34
9 68 81 69
67 42 22 9
13 102 13 33
25 27 51 47
44 100 11 43
99 20 7 13
73 1 57 88
40 63 10 46
68 5 85 80
9 54 81 26
13 84 13 13
49 0 52 69
23 14 85 53
66 12 58 73
48 17 20 8
53 34 14 28
87 38 27 37
78 35 7 52
91 42 2 21
24 44 95 18
45 22 57 84
19 38 83 42
11 74 67 26
12 31 74 24
25 2 63 90
21 35 97 52
62 5 41 98
1 107 0 23
52 14 18 35
16 36 96 32
39 94 25 27
91 0 45 61
15 34 63 19
60 26 68 102
18 38 104 30
39 74 15 81
63 24 14 3
42 0 51 73
14 28 86 56
68 11 64 69
24 30 74 9
100 54 32 15
57 9 12 34
24 77 5 42
84 17 7 22
78 27 6 35
64 14 48 79
14 49 107 36
26 55 83 59
86 13 6 18
22 69 8 64
22 55 102 20
38 6 22 81
40 50 91 51
73 15 18 2
21 90 31 49
10 42 79 28
73 12 40 67
56 6 50 56
20 78 46 27
21 17 67 36
41 10 49 88
60 19 53 81
81 5 8 19
15 95 33 60
66 1 55 88
83 19 60 75
78 10 29 24
1 41 89 43
16 1 105 49
25 68 14 47
63 36 26 3
78 9 16 25
4 59 89 50
6 50 74 42
19 67 23 34
6 77 36 38
61 15 8 89
5 58 107 30
69 6 46 63
42 74 14 33
14 48 80 7
88 13 5 41
29 64 77 57
32 74 18 61
78 5 10 10
83 22 18 2
87 34 3 44
9 84 13 57
10 52 86 29
20 70 14 27
85 33 43 1
92 24 34 4
70 35 17 9
29 83 14 37
71 14 11 34
14 109 8 49
7 39 70 68
82 14 18 45
23 21 88 31
67 32 7 26
53 29 57 111
2 36 85 40
66 32 6 34
69 11 9 19
3 44 76 52
30 68 22 40
62 27 2 12
21 48 63 67
66 29 14 38
106 6 3 21
25 102 25 55
24 60 65 57
47 53 8 18
96 29 50 87
23 88 17 1
58 35 60 97
