type age height falls density
Sugarberry 29 28.79 0 14.5
Dogwood 21 33.08 0 10.5
Dogwood 24 115.34 1 28.2
Sycamore 32 20.38 0 10.4
Dogwood 13 85.9 0 11.3
Sycamore 37 99.76 0 12.6
Dogwood 35 79.65 1 15
Dogwood 3 38.48 1 11.3
Oak 23 66.53 1 26.5
Sugarberry 8 80.89 1 10.7
Dogwood 6 20.13 0 12.4
Oak 18 73.71 0 20
Oak 76 102.34 0 21
Oak 47 50.65 1 12.8
Elm 35 118.49 0 29.4
Sycamore 6 39.44 1 21.4
Sycamore 17 20.43 0 17.2
Sycamore 8 115.19 1 15.3
Oak 1 31.17 0 17.1
Oak 21 61.29 0 20.2
Elm 16 83.77 0 12.8
Sycamore 35 48.61 0 29.5
Sycamore 60 44.55 1 14.5
Sycamore 11 96.04 0 18.2
Sycamore 30 46.01 0 21.9
Sugarberry 40 65.48 0 12.1
Sugarberry 7 81.39 1 20.6
Oak 26 95.02 1 14.7
Elm 18 105.51 1 28.8
Dogwood 69 112.03 1 16.6
Elm 22 21.12 0 23.6
Sugarberry 41 72.21 0 19.8
Elm 39 45.53 0 28
Sycamore 12 78.07 0 12.2
Sycamore 59 112.05 1 16.2
Elm 10 115.52 0 22.1
Dogwood 42 112.8 1 23.8
Elm 49 95.59 0 19.4
Elm 39 119.89 0 26.9
Oak 12 65.11 0 26.5
Elm 15 36.26 0 19
Dogwood 38 89.89 1 28.5
Elm 15 43.41 0 23.4
Oak 12 36.25 0 19.2
Sugarberry 87 117.74 0 28.1
Elm 14 62.95 1 21.6
Sycamore 7 113.42 0 10.6
Sycamore 84 44.83 1 24.4
Sycamore 26 93.82 0 24
Dogwood 37 34.44 1 24.7
Elm 14 101.9 0 15
Sugarberry 45 20.25 1 27.7
Oak 18 93.93 1 25.7
Dogwood 59 119.81 0 18.5
Sugarberry 8 27.8 0 21.4
Elm 21 54.98 1 13.9
Sycamore 65 42.02 0 22.3
Elm 15 106.35 1 28.8
Sycamore 29 48.5 1 15.7
Elm 24 35.62 1 23.1
Oak 50 51.48 0 22.7
Elm 15 61.11 0 10.8
Elm 10 66.68 1 27.7
Oak 28 53.86 0 13.3
Sycamore 9 43.36 1 26.5
Sugarberry 3 118.42 0 20.9
Elm 2 20.89 0 21.4
Dogwood 51 93.42 1 29.6
Sycamore 24 108.83 1 24.1
Sycamore 8 28.83 1 12.9
Dogwood 12 50.69 0 23.9
Oak 17 39.4 0 12.9
Dogwood 2 70.68 0 12.7
Sycamore 23 113.37 0 18.4
Sycamore 16 100.48 0 16.8
Elm 4 116.97 0 13
Sycamore 48 94.33 1 15.7
Oak 16 42.37 1 12
Sugarberry 22 48.74 0 12
Sycamore 12 66.6 0 15.8
Elm 4 99.56 0 13.9
Oak 142 93.9 1 21.9
Sycamore 16 43.46 0 22.4
Sycamore 32 23.21 0 23
Oak 7 73.47 0 13.9
Elm 10 54.3 0 16.2
Sugarberry 24 115.2 0 14.2
Sycamore 13 117.01 0 14.8
Sycamore 20 66.15 0 24.6
Elm 11 55.21 0 23.5
Oak 95 28.71 1 29.6
Sycamore 77 99.73 1 13.6
Elm 108 66.99 0 23.7
Sycamore 39 31.98 0 20.6
Dogwood 23 35.99 0 25
Oak 24 31.94 0 29.1
Oak 10 56.19 0 12.6
Elm 42 79.94 1 24.2
Dogwood 56 92.06 1 19.4
Dogwood 19 117.16 1 17.4
Oak 19 33.7 1 14.1
Dogwood 9 44.01 0 19.9
Elm 62 111.88 0 15.9
Elm 13 109.6 0 25.3
Oak 8 118.1 1 19.4
Dogwood 13 75.93 0 12.4
Elm 20 47.12 1 15
Elm 6 74.74 1 29.9
Sycamore 29 59.67 1 11.8
Elm 7 27.04 0 22.7
Dogwood 48 37.61 1 13.7
Dogwood 30 104.91 0 24.3
Dogwood 21 50.48 0 25.6
Dogwood 36 119.79 0 28
Sycamore 12 103.48 1 15.6
Sycamore 21 104.86 1 20.5
Oak 4 31.45 0 29.1
Sycamore 2 53.89 0 16.7
Sugarberry 21 34.88 1 21.3
Sugarberry 56 99.78 0 17.2
Sugarberry 42 111.31 0 13.4
Sycamore 6 97.46 0 13
Sugarberry 85 58.48 0 16.5
Elm 13 101.34 0 26.5
Dogwood 25 75.96 0 21.1
Sycamore 31 97.28 0 13.2
Sugarberry 9 101.63 0 14.7
Sugarberry 16 85.38 0 26.5
Oak 29 52.51 1 16.8
Sycamore 8 39.98 1 13.6
Sugarberry 74 87.45 1 27.5
Elm 122 31.83 1 11.9
Sugarberry 33 89.82 1 21.9
Sycamore 70 64.8 1 27.3
Oak 22 23.11 1 10.1
Dogwood 39 82.24 1 17.9
Dogwood 19 99.47 1 25.2
Sugarberry 26 67.55 0 23.1
Oak 6 91.02 0 18.4
Sugarberry 8 48.92 1 22.9
Sycamore 22 113.53 0 15.8
Dogwood 13 71.8 1 20.9
Sugarberry 29 75.41 0 10.4
Sugarberry 21 92.56 0 19.2
Dogwood 13 105.76 0 28.9
Oak 10 54 0 20.7
Oak 17 48.37 0 25.8
Oak 17 48.18 1 22.7
Sugarberry 10 25.82 0 29.1
Dogwood 3 79.06 0 10.1
Sycamore 5 68.53 0 24.1
Oak 33 101.73 1 10.1
Dogwood 25 103.63 1 19.3
Oak 63 60.06 0 18.3
Oak 43 92.14 1 15.7
Elm 66 47.86 0 15.2
Sycamore 40 66.97 1 25.4
Elm 13 77.34 0 23.3
Oak 87 28.19 1 20.3
Sycamore 15 83.89 0 23.5
Sugarberry 22 23.01 1 13.5
Sycamore 30 27.66 0 27.5
Elm 39 51.98 0 29.4
Oak 27 109.94 0 26.1
Sugarberry 8 56.15 0 17.7
Dogwood 30 75.45 1 26
Oak 72 21.68 1 10.5
Elm 20 91.16 1 16.1
Elm 2 41.67 0 26.2
Oak 16 49.97 0 10.7
Elm 38 78.74 1 13
Oak 4 108.44 0 16.4
Sugarberry 23 71.74 0 17.6
Oak 44 75.93 0 23.6
Elm 33 29.16 0 19.7
Oak 15 64.8 1 28.5
Sugarberry 38 103.43 1 18
Sycamore 31 67.18 1 20
Dogwood 30 102.68 1 20.9
Oak 11 31.22 0 25.9
Oak 11 112.25 1 17.8
Oak 38 45.87 1 25.9
Elm 4 32.47 0 14.6
Dogwood 17 108.04 1 25.1
Elm 22 29.65 0 10.6
Elm 28 46.41 0 12.1
Dogwood 46 80.11 0 25.2
Sycamore 28 59.35 0 25.1
Oak 1 81.17 0 24
Sycamore 12 38.87 0 11.6
Dogwood 33 110.47 1 15.1
Sugarberry 8 29.93 1 25.1
Sycamore 7 103.92 0 11.2
Dogwood 20 91.85 0 21.8
Sycamore 80 109.16 0 25.1
Elm 125 56.1 1 22.8
Sugarberry 2 26.16 0 27.9
Oak 50 77.69 0 11.5
Dogwood 39 22.84 1 17.8
Elm 1 93.54 1 15.5
Sycamore 10 112.7 1 28.6
Sugarberry 13 51.87 0 10.4
Dogwood 33 26.01 1 21.7
Elm 105 43.13 1 12.8
Oak 14 49.1 0 29.2
Elm 77 94.73 0 28.8
Dogwood 115 33.3 0 25.3
Sycamore 2 72.57 0 15.1
Sycamore 54 76.09 0 24.5
Oak 17 20.64 1 16
Dogwood 15 87.8 0 23.8
Dogwood 42 118.16 0 18.7
Sycamore 22 87.34 0 27.7
Sycamore 53 22.16 1 23.3
Dogwood 64 96.06 0 21.5
Oak 34 57.53 0 23.5
Sugarberry 41 43.96 0 12.7
Sugarberry 17 116.97 0 22.8
Elm 11 89.77 0 24.9
Dogwood 90 92.06 0 19.7
Dogwood 5 67.28 0 26.9
Sugarberry 37 91.66 0 21.4
Dogwood 80 51.41 1 10.2
Sycamore 13 33.2 1 17.8
Oak 19 63.95 1 29.3
Sycamore 62 91.97 1 26.8
Elm 63 40.44 1 11.7
Oak 14 58.22 0 18.8
Elm 29 35.21 0 26.6
Sycamore 26 75.31 0 13.7
Elm 22 68 1 10.8
Oak 5 114.07 0 14.8
Oak 5 91.08 0 24
Dogwood 20 52.17 0 25
Sycamore 9 82.9 0 16.7
Oak 108 48.9 1 16.2
Dogwood 18 84.44 0 15.7
Dogwood 2 28.51 0 22.7
Oak 41 59.23 1 15.2
Sycamore 13 46.7 0 20.2
Sycamore 10 54.38 0 22.7
Elm 40 65.43 0 24.5
Oak 37 91.03 0 13.6
Sugarberry 85 111.85 1 21.5
Sugarberry 39 68.29 1 21.9
Sycamore 19 64.86 0 24.9
Dogwood 6 80.59 0 27.1
Dogwood 39 113.82 1 23
Elm 18 75.24 0 11.4
Oak 68 41.56 1 12.3
Sugarberry 11 43.91 1 17.9
Sugarberry 63 38.88 0 10.8
Sugarberry 64 33.02 0 24.2
Sugarberry 37 100.02 0 20.9
Sycamore 32 38.94 0 13.2
Elm 51 23.78 1 28.2
Elm 29 59.62 1 29.4
Oak 40 28 1 26.7
Sugarberry 21 54.18 0 13.9
Sycamore 96 38.45 0 13.3
Dogwood 62 109.9 0 20.8
Elm 78 114.98 0 11.2
Sugarberry 14 95.76 0 10.4
Sycamore 5 47.47 0 29.2
Elm 1 116.37 1 13.4
Sugarberry 49 77.8 1 29.2
Oak 17 34.08 0 29
Sugarberry 22 88.37 0 12.6
Sycamore 13 52.54 0 15.3
Sycamore 13 74.33 1 17.6
Elm 24 93.63 1 17.8
Sugarberry 49 23.84 0 13.5
Elm 62 21 0 17
Dogwood 33 84.44 0 29.6
Sugarberry 6 60.6 1 27.1
Sycamore 4 70.35 0 26.7
Sugarberry 12 45.03 0 27.2
Sycamore 30 82.01 1 26.3
Sugarberry 11 25.94 0 27.3
Sycamore 14 31.11 0 10
Elm 20 23.9 1 25.9
Oak 25 66.9 0 12.9
Dogwood 71 68.86 0 10.5
Sugarberry 3 55.54 0 21.8
Oak 4 108.77 0 21.3
Oak 58 90.6 0 20.8
Oak 15 57.29 1 22.4
Dogwood 73 85.77 0 20.5
Elm 14 86.49 0 13.7
Elm 113 33.29 1 22.2
Sycamore 8 70.17 0 28.4
Dogwood 31 84.31 0 27.5
Oak 50 114.95 0 14.1
Dogwood 55 118.81 1 13.1
Dogwood 7 86.84 1 24.1
Elm 22 74.65 1 29.8
Oak 43 79.49 0 22.1
Sycamore 38 117.54 1 19.4
Oak 47 61.73 1 28.4
Elm 21 68.66 1 19.2
Dogwood 20 112.91 0 25.9
Elm 27 40.32 1 22.1
Sycamore 6 88.18 1 15.9
Elm 29 78.22 1 26.1
Sugarberry 51 25.53 0 20.8
Sycamore 73 22.18 1 26.7
Sugarberry 43 96.96 0 26.1
Oak 5 96.95 0 26.5
Sycamore 24 93.59 1 23.7
Oak 1 27.97 0 14.4
Oak 5 70.51 1 15.8
Oak 13 27.58 0 21
Sugarberry 64 89.01 1 25.9
Dogwood 23 91.28 1 28.9
Oak 58 103.38 0 29.7
Oak 5 55.83 0 24.4
Oak 12 115.05 0 24.1
Elm 55 52.81 0 18.4
Dogwood 30 54.41 0 24.5
Elm 8 64.09 0 28.6
Sugarberry 0 32.83 0 25.8
Dogwood 67 86.17 0 11.9
Oak 43 44.04 0 22.4
Oak 51 41.27 1 29
Elm 24 68.27 0 19.6
Sugarberry 29 36.86 1 14.5
Dogwood 54 106.66 1 18.9
Sugarberry 57 54.12 0 16.1
Oak 10 86.76 0 14.2
Sugarberry 13 28.25 0 26.6
Elm 21 80.11 0 15.3
Dogwood 24 104.71 0 22.5
Sugarberry 9 65.35 0 15.9
Oak 4 65.42 0 29.1
Sugarberry 27 58.73 1 20.9
Sugarberry 136 104.61 1 17.2
Oak 21 106.69 1 28.5
Sugarberry 15 92.29 0 25
Oak 11 39.44 0 18.5
Sycamore 9 34.18 0 17.9
Sycamore 41 91.37 0 14.7
Elm 7 101.64 1 14.1
Dogwood 18 49.14 0 25.9
Sugarberry 54 52.48 1 23.7
Dogwood 41 67.67 1 16.7
Sugarberry 5 34.79 1 18.8
Oak 35 29.3 1 28.5
Elm 30 62.55 1 18.7
Oak 10 21.2 0 15.1
Sycamore 11 106.06 0 23.8
Elm 18 66.89 0 22.5
Oak 29 71.64 1 26.5
Elm 37 44.01 0 13.7
Sycamore 41 21.15 1 15.4
Sycamore 30 31.94 0 23.3
Sycamore 21 63.93 1 17.2
Elm 23 29.68 0 12.1
Oak 5 88.14 0 19.2
Elm 5 90.93 1 29
Elm 20 50.49 0 20.7
Dogwood 13 112.69 0 12.6
Elm 40 92.85 0 20.9
Sugarberry 48 34.28 0 21.5
Elm 15 56.36 0 18.1
Oak 21 27.4 0 12.3
Sugarberry 9 63.11 0 26.4
Elm 43 51.43 0 26.3
Elm 49 51.47 1 20.5
Dogwood 8 103.37 0 13.7
Elm 20 92.76 0 16.5
Oak 15 44.16 1 20.3
Dogwood 5 25.88 1 12.3
Sycamore 3 77.9 0 14.7
Elm 20 26.98 0 10.9
Oak 148 108.76 1 27.4
Elm 21 77.44 0 28.2
Dogwood 32 39.14 0 15.4
Sycamore 42 97.17 1 26.8
Dogwood 3 42.64 0 21.7
Sycamore 44 79.91 0 29.3
Dogwood 46 22.13 0 28.9
Oak 14 77.85 1 14.4
Elm 61 105.83 0 27.4
Dogwood 16 60.66 0 23.9
Oak 25 84.04 0 22
Sycamore 28 26.04 1 16.6
Oak 86 68.31 1 28.9
Sugarberry 6 24.59 1 25.3
Sycamore 9 103.25 0 10.4
Sugarberry 42 82.02 1 24.7
Dogwood 6 81.84 0 19.7
Sycamore 23 82.44 1 23.1
Elm 53 115.25 1 12.1
Elm 57 95.13 0 29.3
Oak 55 114.23 1 20
Elm 7 76.07 0 21.6
Sugarberry 11 106.38 0 25.4
Elm 38 84.94 0 16.3
Elm 11 33.09 0 15.5
Elm 23 75.09 0 23
Sycamore 11 102.96 1 15.5
Oak 40 71.9 0 27.3
Sycamore 25 50.84 0 29
Sugarberry 43 113.27 1 24.2
Sugarberry 10 40.46 0 14
Oak 15 112.47 0 22.9
Sycamore 11 43.01 1 17.4
Sycamore 29 64.19 1 13.1
Oak 36 72.5 0 18.7
Dogwood 8 118.37 0 29.4
Elm 21 81.72 1 20.6
Oak 13 51.92 0 10.4
Sugarberry 8 82.46 0 24.3
Sycamore 18 53.29 0 29
Sycamore 70 92.95 0 28.6
Oak 13 48.93 0 25.1
Sycamore 6 93.58 0 16.6
Sycamore 12 100.59 0 28.9
Dogwood 29 77.11 0 25.2
Sugarberry 26 80.75 1 17.7
Dogwood 27 46.21 1 24.1
Dogwood 36 94.5 0 10.4
Sycamore 2 38.91 0 14.1
Dogwood 39 102.85 1 13.1
Sugarberry 28 104.68 0 29.7
Dogwood 12 115.22 0 27.8
Oak 19 88.26 1 19.5
Oak 12 62.35 0 11.8
Sugarberry 65 96.27 0 11.2
Dogwood 19 37.73 1 22
Oak 9 94.7 0 24.4
Oak 5 74.09 0 12.5
Oak 74 79.15 1 11.9
Dogwood 50 107.7 1 17.5
Dogwood 6 75.48 1 18
Dogwood 39 105.84 1 12.5
Oak 10 102.54 0 21.3
Oak 3 108.76 0 29
Dogwood 31 66.92 0 27.1
Dogwood 21 51.34 0 23.9
Dogwood 15 73.14 0 11.1
Sycamore 15 104.32 0 16.7
Elm 32 104.56 1 18.9
Elm 4 22.56 0 18.1
Sugarberry 2 87.83 0 21.7
Sugarberry 13 33.84 0 29.1
Oak 2 26.18 0 22.4
Oak 14 74.77 1 22.2
Oak 24 41.18 0 27.7
Elm 34 92.36 1 21
Elm 103 65.86 1 26.6
Sycamore 19 96.53 0 29.1
Sugarberry 6 92.07 0 23.3
Sugarberry 29 116.72 0 21.8
Dogwood 21 67.61 1 24.5
Sugarberry 17 75.09 0 26.4
Elm 53 41.16 1 24.6
Sycamore 35 109.44 1 25.1
Sycamore 5 75.58 0 27.6
Sugarberry 41 35.07 0 17.7
Dogwood 14 112.04 1 12.7
Dogwood 4 23.7 1 28.8
Sycamore 3 40.08 0 10
Dogwood 3 42.63 0 20.9
Sycamore 35 87.44 1 12
Elm 9 58.53 0 11.9
Elm 82 52.68 1 13.2
Dogwood 26 119.13 0 20.4
Sugarberry 34 64.29 0 11.3
Sycamore 57 100.13 1 24.2
Elm 5 22.59 1 25.1
Sycamore 9 104.13 0 24.3
Oak 21 116.59 0 10.1
Oak 15 113.48 0 18.5
Oak 22 33.7 0 25.3
Elm 14 93 0 26.8
Sugarberry 66 112.41 0 28.4
Sycamore 8 33.35 0 19.4
Sycamore 37 38.17 0 18.9
Dogwood 6 111.66 0 26.1
Elm 55 83.6 0 10.2
Sugarberry 15 112.68 0 19.8
Dogwood 13 79.3 1 24.8
Oak 17 29.29 1 12.7
Dogwood 10 24.87 1 21.6
Elm 11 33.85 0 26.4
Elm 26 20.81 0 18.2
Dogwood 12 42.78 0 29.3
Dogwood 50 56.56 0 16.9
Dogwood 49 118.02 1 25.2
Dogwood 95 20.02 1 11
Sugarberry 11 41 0 29.9
Sugarberry 25 71.91 0 16.4
Sugarberry 38 22.13 0 21.5
Oak 35 93.49 0 29.8
Dogwood 90 117.97 1 24.8
Sugarberry 67 58.5 0 13.8
Oak 14 34.81 0 22.7
Elm 8 45.07 0 27.1
Sugarberry 15 71.95 0 11.7
Elm 28 117 0 13.6
Sycamore 24 66.92 0 18.8
Elm 32 40.48 0 28.8
Elm 8 67.52 0 17.4
Sugarberry 45 99.19 0 17.1
Sugarberry 7 45.15 0 23
Dogwood 6 89.08 0 15.2
Sugarberry 52 88.04 1 28.4
Oak 38 32.25 0 10.3
Oak 19 76.26 0 19
Dogwood 45 47.44 1 21.8
Oak 32 24.69 0 12.4
Sycamore 70 53.57 1 24.8
Oak 36 62.88 0 27.5
Dogwood 18 106.47 1 13.6
Oak 31 75.34 1 10.8
Dogwood 25 87.79 0 20.4
Dogwood 68 65.11 1 23.8
Elm 87 38.4 1 10.1
Dogwood 19 84.9 0 29.5
Dogwood 35 54.19 0 22.5
Elm 3 115.71 0 20.5
Dogwood 16 98.36 1 24.1
Sycamore 11 64.92 0 25.8
Elm 4 99.43 1 13.4
Oak 15 94.62 0 20
Oak 60 51.13 1 26
Oak 26 25.52 0 11.1
Sugarberry 17 46.97 0 21.7
Dogwood 28 99.49 0 15
Oak 37 30.01 0 27.9
Elm 5 48.44 0 12.6
Sycamore 14 118.68 0 27.7
Sycamore 6 81.69 0 23.7
Elm 26 30.46 1 13.7
Dogwood 59 70.54 0 23.4
Dogwood 44 41.83 0 28.3
Sycamore 32 75.65 1 13.5
Dogwood 79 72.93 0 11.3
Sycamore 35 69.84 0 28.6
Dogwood 59 116.43 1 11.5
Dogwood 7 100.6 0 13.5
Elm 4 66.33 1 26.5
Sycamore 16 22.07 1 17.1
Elm 81 94.51 1 13.1
Oak 4 47.8 1 18.2
Sugarberry 10 94.83 0 11.5
Sugarberry 10 26.32 0 18.1
Sugarberry 22 35.1 0 17.6
Elm 18 36.29 1 29.3
Oak 76 39.63 1 16.3
Sycamore 11 66.11 0 15.3
Dogwood 9 31.3 0 28.6
Dogwood 10 36.28 0 23.2
Dogwood 69 109.66 0 20
Sycamore 28 23.43 1 18.8
Dogwood 7 75.42 0 25.4
Sycamore 32 46.28 0 28
Dogwood 39 67.47 0 11.2
Sycamore 65 21.43 1 28
Elm 31 73.48 0 18.7
Dogwood 11 79.2 0 28.5
Elm 18 115.41 0 21.5
Sugarberry 8 66.55 0 28.9
Elm 20 106.74 0 17.6
Dogwood 11 30.27 0 20.6
Elm 11 117.51 1 12.3
Oak 77 22.53 1 16.8
Elm 32 71.09 0 26.8
Elm 7 94.11 0 28.7
Sugarberry 34 84.54 0 22.2
Dogwood 15 116.41 1 17
Sugarberry 62 47.49 1 21.9
Sycamore 18 25.16 0 14.8
Dogwood 46 73.97 1 22.1
Oak 56 25.2 1 17.2
Dogwood 6 78.07 1 21.3
Oak 4 94.29 0 11.9
Dogwood 28 111.31 1 29.7
Sugarberry 11 89.75 0 27.4
Dogwood 27 104.41 0 27.3
Oak 5 78.32 0 19.1
Dogwood 5 74.49 0 17.8
Elm 44 77.07 0 28.4
Dogwood 95 84.79 1 17
Oak 32 83.22 0 21.8
Elm 20 77.37 1 18.9
Sugarberry 31 71.18 0 15.8
Dogwood 2 52.09 0 23.2
Sycamore 38 45.51 0 13.3
Sugarberry 83 20.61 1 15.5
Oak 23 73.6 1 27.2
Sugarberry 20 49.72 0 10.4
Oak 19 43.36 0 22.6
Sugarberry 40 20.53 0 12
Sugarberry 40 36.59 0 12.8
Sycamore 64 55.44 1 28.4
Sycamore 43 39.45 0 18.3
Oak 7 99.04 0 24.7
Sugarberry 50 75.64 0 17.3
Sugarberry 59 52.92 1 14.4
Sycamore 11 110.16 1 21.5
Oak 49 24.33 0 16.4
Dogwood 17 55.3 1 25.8
Sycamore 34 60.93 0 10.6
Dogwood 91 42.66 0 24.5
Sugarberry 100 44.76 1 12.4
Elm 11 20.99 1 16.4
Elm 13 75.5 0 25.9
Sycamore 23 85.98 1 12.9
Sycamore 35 78.43 0 10.8
Sycamore 54 66.58 1 23.6
Dogwood 31 119.45 1 10.1
Sugarberry 27 49.93 1 21.6
Oak 10 49.65 0 19.1
Dogwood 37 88.49 0 28.4
Sugarberry 4 54.79 0 18.8
Sycamore 17 58.88 0 10.9
Sycamore 60 46.42 1 22.3
Sycamore 14 77.48 0 14.9
Dogwood 31 31.09 0 25.3
Dogwood 40 71.64 1 14.8
Sycamore 98 114.27 1 24.1
Sycamore 6 52.69 0 22
Sycamore 2 103.47 1 10.8
Dogwood 54 97.38 0 11.2
Sugarberry 24 89.25 0 24.5
Elm 33 82.78 0 17.3
Elm 40 44.46 0 26
Dogwood 6 67.23 0 10.9
Oak 5 27.92 0 27.1
Sugarberry 6 30.57 0 21.9
Sycamore 35 57.12 0 15.1
Sycamore 44 24.12 0 22.5
Sugarberry 47 117.33 0 20.2
Sugarberry 45 111.76 1 18.3
Sycamore 67 76.1 0 14
Elm 13 82.96 0 28.3
Elm 67 97.72 0 19.7
Dogwood 62 39.13 0 15
Sycamore 29 57.86 0 13.8
Sugarberry 19 27.84 0 13.3
Sugarberry 27 115.24 0 22.8
Sugarberry 61 29.91 1 11.5
Sycamore 37 25.64 0 28.4
Elm 18 27.56 0 18.9
Dogwood 28 107.97 1 11.6
Sycamore 48 94.02 1 28.4
Elm 125 36.42 1 15.3
Elm 6 66.2 1 27.2
Oak 2 27.22 1 29.9
Dogwood 14 56.57 0 21.1
Oak 13 37.31 0 14.6
Dogwood 34 113.63 0 27.9
Elm 19 92.45 1 27
Oak 17 53.78 0 21.8
Dogwood 20 29.49 0 19.3
Dogwood 1 47.11 0 18.2
Sugarberry 40 110.9 0 10.5
Dogwood 20 89.81 0 16.7
Oak 7 114.55 1 16.3
Sycamore 61 29.64 0 18
Sugarberry 33 32.43 1 14.9
Oak 76 54.65 1 22.1
Sycamore 19 82.64 1 11.9
Sycamore 14 115.04 0 29.3
Sugarberry 50 84.01 0 21.7
Sycamore 83 42.65 1 21.6
Elm 25 40.72 0 22.4
Elm 12 37.66 0 20
Sugarberry 22 65.37 0 19.3
Sycamore 18 97.19 0 15.3
Dogwood 12 26.97 0 24.7
Sycamore 26 24.57 1 25.2
Dogwood 9 103.08 0 17.6
Sycamore 49 93.11 1 20.5
Sycamore 59 26.99 0 28.3
Dogwood 112 56.87 1 11.3
Elm 18 105.54 0 16.1
Sycamore 32 96.58 0 22.9
Sycamore 30 56.7 1 10.1
Dogwood 17 66.46 0 18.2
Dogwood 20 23.55 1 12.7
Dogwood 39 112.71 0 26.6
Elm 29 74.56 1 27.9
Sugarberry 11 75.78 0 17.5
Elm 35 108.6 0 21
Elm 38 38.31 0 13.2
Dogwood 64 42.72 1 29.7
Elm 45 57.57 0 28.2
Sugarberry 42 26.99 0 24.1
Dogwood 7 36.11 0 18.7
Elm 6 41.38 0 22
Sugarberry 67 100.99 1 26.7
Sugarberry 24 63.52 1 24.7
Sugarberry 20 84.44 0 27.7
Elm 16 35.58 0 11.2
Sycamore 44 91.9 0 25.6
Dogwood 18 89.65 1 14.1
Oak 9 117.02 1 22.7
Oak 21 105.37 0 16.6
Sugarberry 20 113.54 0 18.5
Sycamore 30 101.31 0 20.9
Elm 53 89.83 0 21.8
Oak 24 119.46 0 13.1
Sycamore 29 79.35 1 24
Sugarberry 11 96.24 0 22.5
Oak 40 72.95 0 18.3
Oak 10 79.97 0 18
Sugarberry 11 57.64 0 18.1
Sycamore 12 107.11 0 19.2
Elm 60 105.33 0 13.7
Sycamore 8 83.66 0 26
Oak 81 47.4 1 24.8
Dogwood 3 97.33 0 11
Oak 16 87.01 0 11.7
Elm 10 75.15 0 19.7
Sycamore 29 83.08 0 20.7
Sycamore 13 27.66 1 28.9
Sugarberry 14 117.34 0 10.6
Sugarberry 25 103.14 0 15.6
Dogwood 16 84.16 0 24.5
Sugarberry 46 86.22 0 18.5
Oak 19 47.35 0 11.4
Oak 5 119.11 0 17.4
Sycamore 14 76.01 1 25.1
Sycamore 6 113.82 0 27.7
Sugarberry 9 54.92 0 22.9
