planet temperature size reflection
Thermic 61.2 40 17
Thermic 90.4 71 21
Iced 48.8 39 49
Thermic 57.7 57 39
Radiated 6.5 90 72
Earthlike 45.6 58 59
Iced 50.5 42 4
Radiated 8.5 12 10
Iced 49.1 80 19
Thermic 72.2 78 43
Thermic 91 6 84
Iced 47 49 44
Thermic 81 59 88
Radiated 49.3 72 25
Thermic 62.8 3 76
Thermic 57.5 77 82
Thermic 49 99 61
Earthlike 6.4 77 8
Thermic 45.5 49 89
Iced 19.5 56 7
Thermic 85 38 45
Thermic 85.4 26 73
Earthlike 33.3 22 82
Thermic 73.2 75 16
Thermic 45.9 95 84
Earthlike 16.5 13 90
Thermic 96.2 70 27
Thermic 47.5 85 76
Thermic 84.8 96 63
Thermic 48.1 85 88
Earthlike 13.6 33 31
Earthlike 59.5 45 9
Earthlike 8.7 81 25
Iced 47.4 65 9
Thermic 73 39 68
Aquatic 2.4 42 57
Iced 66.1 72 19
Aquatic 18.2 51 30
Thermic 81.8 97 88
Radiated 19 18 72
Thermic 88.9 97 69
Aquatic 46.3 20 33
Earthlike 58.1 17 90
Radiated 14.7 83 39
Thermic 93.1 80 53
Thermic 77.4 94 39
Thermic 41.1 84 84
Radiated 34.7 19 34
Aquatic 78.5 44 23
Iced 49.1 29 58
Radiated 28.1 44 76
Aquatic 5.3 8 19
Radiated 33.5 77 56
Thermic 89.1 47 22
Thermic 32.6 97 87
Aquatic 30.5 58 57
Thermic 96.8 32 49
Earthlike 89.3 10 63
Earthlike 3 37 38
Thermic 69.1 76 49
Earthlike 37.7 16 38
Aquatic 43.2 74 36
Iced 58.9 25 7
Earthlike 93.8 3 60
Iced 20.9 28 82
Radiated 28.9 66 1
Thermic 61.9 84 86
Thermic 59.3 73 76
Earthlike 15.1 7 16
Iced 93.5 75 47
Earthlike 0.6 80 83
Thermic 94.6 21 48
Radiated 16 74 36
Thermic 87.2 80 98
Radiated 29.2 84 82
Iced 24.4 70 18
Radiated 11.1 60 86
Radiated 57.8 90 27
Earthlike 40.7 30 17
Thermic 49.4 74 99
Earthlike 5.5 55 97
Earthlike 9.6 33 66
Thermic 85.2 82 46
Thermic 76.9 31 100
Earthlike 39.7 21 43
Iced 80.3 95 37
Radiated 13.4 16 81
Earthlike 4.7 21 9
Earthlike 87.2 12 59
Thermic 92.1 23 92
Iced 18.4 61 4
Radiated 17.5 63 95
Radiated 91.4 37 10
Radiated 5.7 87 62
Radiated 71.7 22 14
Thermic 87.1 56 28
Radiated 58.2 23 6
Thermic 74.3 15 1
Thermic 52.2 29 82
Iced 60.8 16 32
Iced 35.1 9 12
Earthlike 5.9 38 33
Radiated 12.6 16 79
Iced 37.9 22 69
Earthlike 16.3 83 13
Aquatic 30.5 25 81
Thermic 36.5 74 80
Radiated 27 15 27
Radiated 35.2 37 65
Thermic 68.7 79 14
Earthlike 50.3 64 22
Earthlike 1.2 51 28
Aquatic 11.8 74 52
Thermic 83.7 87 68
Thermic 37.7 77 79
Thermic 81 80 33
Iced 81 98 100
Thermic 82.7 90 58
Aquatic 56.2 45 44
Iced 95.5 96 28
Thermic 61.9 86 67
Earthlike 40.8 34 19
Thermic 39.4 94 96
Iced 94.1 15 24
Iced 10.8 64 12
Earthlike 39.4 17 49
Iced 94.4 30 10
Thermic 75.5 49 54
Thermic 72.9 66 41
Thermic 85.8 95 33
Radiated 25.8 81 11
Aquatic 74 16 30
Radiated 21.6 19 96
Iced 16 9 22
Radiated 73.4 73 11
Thermic 31.2 81 95
Thermic 72.5 71 72
Aquatic 5.9 17 2
Earthlike 58.4 31 55
Aquatic 69.9 52 17
Iced 42.8 71 62
Thermic 66.9 53 62
Radiated 17.9 59 54
Thermic 97.9 39 97
Earthlike 0.2 64 59
Thermic 53 17 83
Iced 12.9 55 27
Iced 49.9 18 30
Radiated 8.7 27 54
Radiated 32 76 66
Thermic 75.5 37 89
Aquatic 24.2 6 60
Thermic 41.6 39 93
Iced 45.7 70 7
Iced 22.6 45 43
Thermic 43.6 61 87
Thermic 63.2 22 99
Radiated 70.3 96 8
Iced 20.8 27 58
Thermic 64.4 65 24
Earthlike 13.5 74 43
Aquatic 11.7 45 60
Thermic 50.3 28 81
Aquatic 1 34 6
Earthlike 5.8 70 98
Iced 54.5 29 22
Iced 83.1 12 6
Iced 65.5 9 9
Iced 33.9 70 2
Thermic 66.5 48 85
Thermic 73.2 52 75
Thermic 72.3 26 74
Iced 13 17 33
Earthlike 0.3 89 23
Thermic 93.6 62 63
Aquatic 37.7 5 42
Radiated 35.1 10 19
Iced 32.8 44 17
Thermic 67.2 20 69
Earthlike 26.3 46 97
Aquatic 13.1 68 13
Aquatic 79 45 23
Thermic 61.3 80 64
Iced 21 3 36
Thermic 72.5 36 67
Iced 7 14 92
Aquatic 54.9 39 1
Radiated 22 56 85
Aquatic 41 93 7
Thermic 28.5 100 87
Thermic 77.6 43 100
Thermic 75.3 20 61
Aquatic 61.3 15 27
Aquatic 18.5 63 40
Earthlike 30 57 80
Radiated 38.4 98 31
Radiated 19.4 83 82
Thermic 76 27 19
Radiated 30 56 36
Earthlike 61.4 62 38
Aquatic 27.7 2 15
Thermic 39.7 5 94
Aquatic 27.2 73 23
Thermic 88.9 93 73
Iced 0.3 25 5
Earthlike 15.9 12 50
Thermic 57.6 88 54
Thermic 99.3 35 60
Radiated 25.1 65 26
Thermic 63.5 76 63
Thermic 71.5 83 50
Thermic 71.8 21 93
Earthlike 12.2 70 98
Earthlike 2.9 1 41
Earthlike 57.7 4 64
Aquatic 2.3 62 9
Radiated 10.9 65 38
Earthlike 18.5 93 28
Radiated 33.5 97 42
Earthlike 4.2 19 47
Earthlike 59.9 2 54
Earthlike 63.4 8 80
Thermic 48.3 87 70
Radiated 27.5 54 10
Iced 80.1 40 24
Thermic 84.7 26 100
Aquatic 14.2 55 54
Iced 3 0 91
Thermic 96.1 49 91
Aquatic 13 96 30
Earthlike 51.4 12 35
Earthlike 0.1 39 56
Thermic 92 29 94
Earthlike 7.8 2 95
Thermic 93.3 80 2
Radiated 38.7 94 11
Thermic 85.9 28 73
Thermic 39.1 74 92
Radiated 37.8 9 64
Earthlike 1.4 97 22
Radiated 38.2 18 29
Radiated 33.5 59 76
Earthlike 39 94 1
Iced 56.3 82 46
Radiated 52.9 48 22
Thermic 56.9 86 98
Earthlike 57.2 32 17
Thermic 67.8 37 95
Thermic 38 60 82
Earthlike 24.1 36 32
Thermic 81.4 75 44
Thermic 95.2 75 61
Earthlike 0.5 96 61
Aquatic 9.9 48 46
Radiated 66.3 7 16
Thermic 61.2 81 60
Earthlike 1.5 42 4
Earthlike 57.1 19 73
Thermic 87.8 1 60
Radiated 33.3 15 27
Iced 55.4 62 32
Radiated 17.2 92 75
Radiated 15.2 89 5
Iced 15.8 75 43
Radiated 2.8 27 48
Thermic 86.1 60 77
Earthlike 20.2 75 31
Thermic 99.2 65 85
Radiated 2.5 87 78
Earthlike 18.3 20 57
Radiated 32.3 95 23
Iced 64 49 80
Thermic 37.6 96 85
Earthlike 32.7 56 87
Iced 97.7 27 44
Thermic 51.6 34 71
Thermic 40.3 78 98
Aquatic 54 75 31
Iced 15.5 40 38
Earthlike 13 75 46
Iced 40.2 23 34
Iced 51.9 51 18
Iced 11.2 14 7
Radiated 13.8 97 50
Thermic 88.9 36 68
Earthlike 16.7 88 20
Earthlike 27.1 47 88
Thermic 75.4 29 97
Earthlike 30 55 22
Earthlike 77.3 30 28
Thermic 58.4 62 85
Thermic 67.2 98 83
Radiated 32.2 45 21
Radiated 42.2 94 16
Iced 40.8 46 78
Earthlike 97.7 0 32
Earthlike 42.2 26 2
Iced 96.7 99 89
Radiated 62.6 93 8
Thermic 86.5 50 72
Aquatic 53.8 20 37
Radiated 72.4 87 15
Radiated 32.6 81 53
Radiated 21.7 99 83
Iced 2.4 3 2
Radiated 25.6 69 80
Radiated 30.2 80 62
Radiated 19.2 93 64
Thermic 81.6 93 32
Radiated 32.1 65 21
Iced 12.3 1 12
Thermic 72.8 38 66
Radiated 26.4 95 54
Thermic 99.6 44 61
Thermic 45.1 41 89
Iced 31.6 74 58
Earthlike 29.2 37 64
Thermic 70.8 43 78
Radiated 0.1 48 16
Radiated 72.6 61 13
Earthlike 79.8 10 99
Earthlike 6.8 53 98
Aquatic 2.3 92 12
Earthlike 15.6 60 100
Earthlike 37.1 6 75
Radiated 29.3 88 61
Aquatic 90.8 49 9
Thermic 96.8 54 16
Thermic 60.9 52 68
Thermic 92.3 24 76
Earthlike 44.3 47 24
Thermic 70.3 49 79
Thermic 47.1 3 96
Aquatic 10.8 59 35
Aquatic 44.6 17 47
Earthlike 33.2 53 81
Aquatic 66 54 16
Iced 30.2 46 44
Earthlike 4 38 92
Earthlike 10.7 61 3
Iced 26.2 20 9
Thermic 81 50 58
Thermic 59.5 44 54
Iced 21.3 62 19
Radiated 45.6 62 22
Iced 93.4 88 70
Thermic 69.3 43 60
Earthlike 59.7 21 71
Thermic 46.1 45 76
Iced 50.7 37 57
Radiated 46 52 47
Earthlike 99 6 48
Thermic 90.4 29 71
Radiated 2 3 94
Earthlike 65 30 27
Earthlike 46.6 21 88
Radiated 65 84 40
Radiated 10.9 95 54
Thermic 48.6 51 80
Thermic 74.6 74 61
Radiated 45.4 48 15
Radiated 47.8 51 58
Aquatic 92.1 14 9
Iced 66.8 25 31
Iced 67.2 50 34
Thermic 90.9 98 69
Thermic 70.1 76 83
Iced 98.6 87 82
Thermic 53 54 81
Radiated 10.5 83 62
Earthlike 27.1 54 90
Thermic 78.9 49 63
Thermic 72.9 25 86
Radiated 51.7 29 0
Aquatic 44.4 5 18
Earthlike 56.3 50 53
Radiated 20.2 82 0
Earthlike 60.5 5 96
Thermic 99.6 60 76
Iced 79.1 69 35
Thermic 49 62 88
Aquatic 5.2 27 43
Aquatic 6.9 34 37
Thermic 58.5 40 68
Earthlike 96.4 22 32
Aquatic 31.4 33 11
Thermic 62.7 32 99
Thermic 52.1 36 85
Radiated 23.4 28 11
Earthlike 2 73 22
Iced 44.2 82 9
Aquatic 71.5 15 44
Earthlike 87.2 63 9
Thermic 77 20 94
Earthlike 70.7 6 73
Aquatic 40.4 89 2
Earthlike 0.1 39 97
Iced 89.6 93 31
Thermic 54.7 65 75
Earthlike 95.7 30 22
Earthlike 27.7 69 25
Thermic 99.2 91 14
Thermic 98.7 10 35
Thermic 39.3 75 79
Radiated 16.1 47 24
Aquatic 51.8 2 10
Thermic 69.8 6 24
Earthlike 25.1 46 93
Aquatic 12.3 6 99
Radiated 25.5 92 83
Iced 37.5 34 68
Aquatic 66.8 64 3
Iced 47 29 46
Radiated 24.3 85 72
Thermic 80.6 70 66
Earthlike 4.4 16 68
Earthlike 91 29 5
Thermic 66.7 65 96
Thermic 79.8 40 83
Earthlike 21.5 71 35
Thermic 56.7 38 69
Thermic 81 54 93
Earthlike 89.4 47 8
Thermic 49.4 52 66
Radiated 45.4 52 0
Radiated 24.4 26 38
Radiated 13.2 11 56
Radiated 26.3 86 76
Earthlike 44.6 34 62
Thermic 80.1 53 60
Radiated 32.8 50 73
Thermic 48.6 29 66
Thermic 95.8 26 49
Thermic 49.8 97 51
Thermic 71.3 22 47
Iced 79.8 9 16
Iced 51.8 77 20
Thermic 87.9 8 42
Iced 37.5 11 9
Thermic 95.4 56 56
Thermic 58.5 72 58
Earthlike 99.1 25 0
Iced 13.2 22 54
Thermic 72.1 51 79
Iced 19.5 57 9
Radiated 42.9 78 31
Radiated 20 26 89
Radiated 6.4 93 90
Radiated 3 50 97
Thermic 51.9 81 43
Iced 60.7 2 72
Aquatic 57.9 18 9
Radiated 0.9 93 96
Aquatic 71.1 3 42
Thermic 74.3 99 54
Earthlike 57.6 14 83
Iced 19.5 88 1
Thermic 86.9 75 86
Iced 2.5 30 17
Aquatic 8.7 67 16
Aquatic 29.7 19 26
Thermic 40.8 86 97
Radiated 18.8 82 46
Radiated 9.4 15 13
Earthlike 9.1 75 39
Earthlike 6.5 76 67
Earthlike 45.3 5 97
Radiated 26.3 76 62
Thermic 88 33 77
Thermic 61.1 17 49
Radiated 21.2 100 39
Iced 3.9 60 39
Thermic 58.2 42 75
Thermic 95.6 46 35
Thermic 84 63 99
Radiated 29.3 74 55
Earthlike 50.6 58 36
Earthlike 24.8 34 46
Radiated 14.3 13 34
Radiated 11.9 96 68
Radiated 11.1 90 17
Thermic 65.1 52 74
Radiated 12.1 62 28
Earthlike 52.8 87 2
Thermic 87.3 13 84
Radiated 62.8 36 36
Radiated 48.5 19 17
Earthlike 12.3 63 8
Earthlike 22.3 84 16
Earthlike 43.4 19 35
Aquatic 23.8 4 89
Iced 2.1 71 29
Earthlike 37.6 4 20
Radiated 13.5 83 31
Thermic 50.3 65 92
Earthlike 16.6 82 33
Thermic 85.1 55 49
Thermic 79.7 59 76
Thermic 98.4 84 55
Thermic 63 82 82
Iced 30.3 17 14
Iced 83 57 62
Thermic 29.3 96 85
Earthlike 32.3 63 8
Aquatic 1.5 22 81
Earthlike 55.7 2 98
Thermic 97.2 71 26
Radiated 44 3 62
Aquatic 59.4 83 6
Radiated 36.2 89 55
Thermic 42.5 99 81
Iced 91.8 11 25
Thermic 71.9 7 74
Iced 0.7 73 31
Thermic 38.4 66 89
Radiated 44.5 83 45
Radiated 43.2 76 1
Earthlike 11.3 91 65
Radiated 39.8 19 13
Earthlike 19.9 79 38
Radiated 46 20 49
Earthlike 25.8 18 64
Thermic 68.7 5 99
Earthlike 54.8 30 54
Radiated 2.7 29 26
Thermic 90.8 83 61
Radiated 3.6 94 83
Thermic 66.9 20 91
Thermic 82.2 66 99
Earthlike 5.4 88 91
Aquatic 32.3 75 47
Thermic 86.3 90 11
Radiated 22.7 46 9
Radiated 19.2 63 10
Aquatic 62.8 63 8
Earthlike 29.5 61 76
Radiated 65.9 92 13
Thermic 46.2 85 72
Earthlike 14.1 23 82
Radiated 13.4 88 80
Thermic 66.9 2 88
Aquatic 19.2 63 37
Aquatic 7.5 64 65
Earthlike 25.1 24 100
Thermic 99.4 90 29
Earthlike 14.8 42 99
Thermic 98.6 18 93
Earthlike 30.7 4 98
Earthlike 36 56 22
Earthlike 91.4 4 57
Thermic 97.6 53 15
Radiated 29.7 12 2
Thermic 91.2 55 41
Thermic 99.3 100 31
Aquatic 37.4 38 32
Earthlike 92.8 16 27
Earthlike 84.9 53 9
Earthlike 6.3 64 96
Thermic 81.4 24 71
Thermic 99.2 84 58
Thermic 63.2 58 92
Earthlike 87.4 9 73
Aquatic 41.3 69 8
Aquatic 37.3 31 52
Aquatic 51.6 27 57
Earthlike 13.9 37 27
Thermic 51.6 43 96
Thermic 86.8 75 78
Thermic 95.1 59 58
Earthlike 88.7 14 64
Thermic 48.2 81 73
Radiated 23.6 61 53
Radiated 14.6 98 91
Earthlike 38.7 43 65
Thermic 98.4 62 80
Thermic 92.2 66 82
Radiated 2 11 4
Iced 43.1 20 17
Thermic 94.1 37 71
Thermic 68.6 91 2
Thermic 68.7 89 72
Aquatic 30.8 6 49
Thermic 70 44 74
Earthlike 45.9 26 64
Earthlike 65.4 34 2
Earthlike 7.7 40 41
Radiated 23.8 94 42
Iced 40.9 75 21
Thermic 33.6 74 95
Earthlike 74.4 12 84
Thermic 88 21 52
Thermic 57 96 36
Radiated 29.6 19 64
Thermic 53.1 76 42
Thermic 54.8 24 29
Radiated 10.6 35 94
Aquatic 14.1 25 3
Thermic 59.4 70 77
Earthlike 39.5 0 78
Iced 3.8 63 9
Earthlike 13.3 21 6
Earthlike 52.1 21 5
Thermic 95.1 19 44
Earthlike 83 24 51
Earthlike 14.6 49 94
Thermic 86.7 44 69
Iced 27.9 55 0
Iced 99.8 89 72
Thermic 57.7 45 96
Thermic 72.1 41 72
Radiated 6.2 89 66
Iced 27.2 3 73
Thermic 71.9 74 66
Aquatic 4.3 35 23
Thermic 36.7 75 85
Thermic 57.4 39 67
Thermic 78.9 51 61
Thermic 41.7 59 81
Thermic 49 98 26
Earthlike 1.4 13 27
Radiated 27.6 66 89
Thermic 87.8 8 92
Earthlike 0.9 27 72
Thermic 55.9 32 58
Thermic 55.8 91 53
Iced 11 36 74
Radiated 53.6 47 49
Radiated 42.9 79 23
Thermic 90.2 39 70
Radiated 0.5 38 99
Aquatic 1 59 18
Radiated 13.2 74 18
Radiated 41.7 96 38
Radiated 3.1 30 80
Iced 99.9 99 86
Earthlike 81.4 66 8
Iced 2.6 65 22
Aquatic 2.7 18 91
Iced 94.6 23 59
Aquatic 8.4 16 72
Thermic 58.4 38 17
Thermic 63.5 20 18
Aquatic 64.8 23 51
Radiated 36.7 15 42
Iced 74.2 39 9
Thermic 82 19 70
Iced 15 31 37
Thermic 96.9 60 41
Earthlike 99.1 9 87
Thermic 90.2 87 64
Thermic 39.6 37 98
Thermic 82.7 26 80
Thermic 99.6 29 22
Thermic 96.5 84 7
Radiated 71.8 91 5
Radiated 42.3 80 49
Thermic 100 78 34
Radiated 11.5 88 70
Earthlike 38.6 28 82
Radiated 21.7 93 86
Radiated 37.1 62 38
Aquatic 6.7 62 9
Thermic 85.3 28 94
Thermic 57.6 88 71
Thermic 63.5 98 74
Thermic 36.8 29 2
Earthlike 35.8 62 12
Earthlike 39.6 44 36
Aquatic 23.7 12 43
Thermic 92.2 23 40
Thermic 87.6 58 85
Thermic 41.6 76 86
Aquatic 37.7 67 44
Earthlike 43 33 63
Earthlike 25.3 73 15
Thermic 96.4 52 55
Thermic 94.4 65 12
Radiated 17.4 53 75
Aquatic 23.2 30 41
Earthlike 81.1 6 79
Iced 63.8 13 28
Aquatic 16.6 84 42
Thermic 96.6 61 44
Earthlike 66.6 21 75
Radiated 10.7 61 42
Radiated 36.2 26 87
Earthlike 17 69 98
Radiated 76.3 26 3
Thermic 55.2 50 63
Earthlike 89.8 5 75
Radiated 11.1 92 57
Aquatic 52.2 8 44
Radiated 20.6 21 49
Radiated 36.8 69 79
Aquatic 59.6 6 25
Thermic 65.8 23 99
Thermic 65.8 78 53
Aquatic 56.3 39 17
Radiated 17 63 66
Thermic 97.4 30 39
Thermic 77.1 45 92
Earthlike 88.1 25 19
Earthlike 89 12 96
Radiated 20.1 99 17
Earthlike 10.6 55 30
Iced 0.4 75 24
Iced 45.7 86 0
Aquatic 24.7 27 32
Thermic 51.7 30 79
Aquatic 74.3 40 17
Thermic 84.5 52 98
Thermic 57.2 74 93
Radiated 27 10 37
Aquatic 50.8 81 30
Aquatic 17 93 48
Thermic 95.3 27 91
Thermic 78.4 91 47
Earthlike 71.4 18 9
Earthlike 8.1 66 98
Earthlike 45.8 79 12
Radiated 56.8 66 1
Thermic 96.3 13 35
Thermic 94.2 66 49
Aquatic 91.8 38 25
Thermic 66.5 90 43
Earthlike 4 53 45
Aquatic 27.7 32 74
Earthlike 45.2 33 87
Iced 66.2 49 8
Thermic 47.7 30 87
Iced 11.8 91 9
Aquatic 36.8 0 16
Aquatic 55.6 3 44
Thermic 44.5 54 76
Earthlike 11.4 74 69
Iced 33.5 76 24
Thermic 86.3 50 4
Aquatic 59.4 28 5
Thermic 92.2 94 57
Iced 41.4 25 25
Thermic 88.4 20 63
Earthlike 4.9 61 38
Earthlike 72.6 7 36
Thermic 73.1 78 54
Thermic 59.9 6 56
Earthlike 63.7 25 37
Iced 51.8 8 74
Earthlike 58.3 23 83
Thermic 81.6 96 31
Thermic 83.9 86 47
Earthlike 83.7 34 4
Aquatic 2.9 18 72
Earthlike 48.8 26 0
Aquatic 13.8 10 43
Thermic 55.7 28 4
Radiated 3.4 28 37
Thermic 37.9 93 61
Thermic 69.6 97 56
Radiated 22 80 60
Aquatic 42.1 67 9
Iced 34.9 45 25
Thermic 60.5 79 38
Iced 51 3 5
Iced 54.4 87 3
Earthlike 61.6 58 14
Radiated 22.2 77 83
Aquatic 73 56 7
Earthlike 15.9 33 97
Aquatic 61.4 60 13
Radiated 1.9 99 52
Earthlike 46.1 27 83
Earthlike 1.6 95 71
Iced 66.5 61 66
Iced 13.7 73 2
Earthlike 69.9 18 44
Earthlike 61.5 26 40
Thermic 55.1 31 92
Radiated 40.8 90 59
Thermic 60.6 57 81
Earthlike 82.3 23 26
Earthlike 59.3 16 100
Earthlike 25.5 69 79
Thermic 91.3 67 47
Earthlike 24.2 57 11
Iced 60.2 57 48
Thermic 92.8 73 21
Iced 55.9 59 25
Aquatic 58.1 3 19
Radiated 0.3 31 40
Radiated 54.7 84 3
Earthlike 87.5 26 4
Thermic 66.6 41 28
