dest time weight speed
University 14.62 23.8564 81.6
University 16.8 3.2138 75.3
Bryan 9.51 4.4824 79
House 14.81 34.6643 75.3
University 16.21 34.4591 77.5
University 13.42 14.0698 78.7
Bryan 16.1 23.9192 77.6
University 17.42 30.2623 78.5
Outside 12.99 69.7269 77.1
Stores 14.08 14.2321 79.3
House 7.13 21.2368 77.1
Outside 17.59 26.3696 72.8
Bryan 16.66 60.4511 75.2
House 16.41 39.8908 80.9
House 14.09 69.769 80.3
University 15.69 8.606 79.5
Outside 12.53 75.7075 75.5
Bryan 11.47 13.6844 76.2
House 7.68 74.6071 76.3
University 11.79 22.0059 82.4
House 8.01 6.6714 75.5
House 17.33 27.5102 75.2
Bryan 7.04 3.4108 84.1
Bryan 8.17 16.3276 79.2
House 8.94 11.7696 72.1
Bryan 15.74 95.7261 76.3
House 6.86 53.7678 75.8
House 10.59 18.3367 77.1
Bryan 10.57 11.6223 79.6
Bryan 6.5 24.2078 82.2
Bryan 16.61 67.0818 78.7
Stores 16.68 48.2726 81.4
House 9.43 53.5711 79.9
Stores 13.62 49.4776 79.4
Stores 8.82 59.7186 82.1
House 13.04 51.0815 78.3
Stores 17.5 29.6347 82.6
Outside 12.37 53.1443 77.7
House 8.93 49.6384 71.5
Bryan 14.22 44.2033 79.4
House 10.11 51.0669 73.9
Outside 16.57 45.535 75.8
House 10.75 5.4414 77
House 15.37 48.4758 77
Stores 14.55 57.7914 80.9
University 15.28 57.0639 78.8
Stores 14.05 211.8866 73.4
University 16.44 1.4524 76.4
House 8.48 58.4315 80.1
University 15.88 46.2056 77.1
Outside 15.07 29.5438 79.3
Bryan 6.81 30.468 77
House 14.17 6.5815 73.6
Stores 17.05 38.235 82.5
University 17.95 59.8238 74.9
House 7.88 80.0506 78.8
Bryan 6.47 27.1218 75.4
House 8.24 29.8622 76.2
Bryan 17.79 54.8563 80
House 11.16 1.7111 78.1
House 8.74 59.3642 76.8
House 9.28 21.8311 79.5
Stores 17.79 47.2651 83.7
Bryan 7.2 32.3673 83.5
University 17.98 87.9615 76.6
Bryan 14.95 40.6421 80.9
Bryan 14.54 46.7246 80.5
Bryan 15.44 156.342 72.8
Stores 17.71 44.1945 75.1
University 6.96 251.6449 76.8
House 15.44 74.7291 78.1
House 9.08 22.3067 74.2
Stores 15.02 85.6729 73.7
Outside 9.62 92.807 82.9
Outside 14.92 64.9051 77.8
Outside 13.39 63.6937 76
House 11.13 14.7697 75.4
House 9.54 14.7296 77.9
University 16.6 27.9514 77.9
House 8.4 23.8963 74.7
House 12.83 5.4828 77.8
Bryan 7.35 16.37 81.8
House 6.57 123.3471 72.7
House 15.6 32.0975 79.1
University 13.54 29.5724 77.5
Bryan 16.79 68.7341 78.5
Stores 17.71 58.7119 78.1
Stores 16.63 88.0035 79.9
University 15.41 18.386 78.5
House 11.01 6.047 76.8
Bryan 6.29 68.9014 77.5
House 13.94 56.2062 78.8
Bryan 7.43 30.7116 80.7
Outside 12.66 24.1829 78.8
House 6.55 40.8983 77.3
Bryan 17.11 62.7533 80.1
Bryan 12.56 30.7703 82.4
House 12.32 27.8108 76.4
Outside 17.62 21.858 77.2
Bryan 8.72 44.3664 75.8
Bryan 11.97 4.5999 80.9
Bryan 9.9 40.4816 81.9
House 12.98 8.3214 76.4
University 14.64 15.9552 80.4
House 6.66 6.2612 74.9
House 13.69 1.9977 74.8
House 10 3.8297 75.9
Bryan 9.74 28.4421 81.6
Outside 15.88 44.8715 77.2
Bryan 16.28 11.7274 76.9
House 15.69 80.7458 76.4
Outside 16.39 64.0655 73.8
House 15.37 54.2986 79.5
House 6.73 38.1533 76.8
House 8.68 62.601 71.9
Outside 13.06 53.6136 84.7
Stores 9.3 51.7478 80
Stores 11.88 21.7324 81
Bryan 9.82 65.6835 82.8
House 6.37 38.2477 77.8
University 14.64 6.6771 76.6
University 16.8 27.7255 79.2
Outside 14.47 18.2267 84.2
Bryan 7.9 61.8319 74.1
Bryan 7.92 34.0648 80.6
House 11.1 11.4165 79.3
House 7.6 36.5827 78.8
Stores 15.46 35.1527 76.6
Bryan 11.35 7.8723 77.9
University 17.36 7.5586 77.2
Stores 10.45 40.0419 79.7
Outside 7.91 140.2362 72.1
University 14.13 22.9076 82.8
Stores 16.27 56.184 84.5
Stores 17.96 30.9837 78
Bryan 9.7 30.1332 79.2
House 12.29 31.6178 78.6
House 15.17 62.6469 78.2
Bryan 15.22 43.6407 80.9
House 6.01 55.4224 71.2
House 11.52 103.5654 76
House 7.29 107.577 71
House 10.55 7.2733 71
Bryan 11.6 4.6395 82.3
House 14.26 38.694 68.6
Stores 10.62 78.2028 79.2
Stores 13.83 9.7063 80.4
Stores 8.59 116.0418 81.5
Bryan 7.53 12.5734 82.6
Stores 17.67 32.9415 75.4
Outside 16.81 27.8161 77.4
Stores 14.84 14.5778 82.8
House 10.58 100.9159 79.8
House 14.38 1.0673 77.3
Bryan 10.32 54.1051 78.7
Bryan 14.4 118.953 76.4
House 11.26 54.4779 82.3
Outside 15.35 44.5084 82
House 8.3 36.3007 76
House 15.73 26.9157 78.5
Stores 12.28 66.269 76.4
Stores 17.85 25.0157 82.4
Bryan 10.22 34.3434 76.5
House 10.65 22.8893 75.9
University 14.02 32.6468 76.1
Bryan 14.16 2.4502 80.2
House 11.33 4.2227 80.9
House 12.94 16.8145 76.3
Bryan 7.87 26.8047 78.2
Stores 10.48 66.9039 79.6
Stores 17.94 68.3162 76.3
Bryan 10.24 46.2527 84.6
Stores 17.88 75.7395 79.6
House 8.17 44.0284 79.5
House 6.9 2.7847 78.5
Outside 14.6 4.6039 75.9
Stores 16.04 22.4613 77.5
Outside 13.29 47.2546 78.5
Bryan 15.31 62.0995 76.7
House 14.99 107.9218 79.1
House 11.53 28.5788 78.6
House 9.61 15.0231 77.2
Bryan 8.76 12.0675 77.5
Bryan 10.56 43.2425 79.9
Bryan 13.69 64.3659 80.1
Outside 15.1 83.5761 77.3
Bryan 7.75 24.8812 74.4
House 11.17 22.5972 76.4
House 8 29.5324 74.7
Bryan 6.6 69.3077 82.8
Bryan 8.23 40.6399 80.7
Stores 8.2 86.0368 79.6
House 12.25 104.4516 79.1
Outside 14.81 23.6616 72.4
House 6.78 22.9569 79.2
Outside 16.51 5.2765 75.9
Stores 12.98 118.3052 78
Bryan 6.62 88.9406 78.2
Bryan 8.24 91.51 78.6
House 17.17 20.6205 80.2
Outside 10.59 94.5586 74.5
Bryan 8.35 64.8865 75.6
Outside 10.83 114.6192 77.4
University 12.22 45.0851 80.9
House 15.39 10.7319 73.4
Outside 16.78 23.8594 76.1
Outside 13.5 103.5593 73.8
Stores 15.53 11.7037 80.6
House 8.71 22.7232 77.2
House 8.83 27.7832 73.3
Stores 12.4 2.4303 79.7
House 8.78 53.7279 78.3
House 6.19 25.8782 73.6
House 8.59 50.1651 75.1
Bryan 7.49 23.801 85.1
Bryan 9.87 59.3346 78.8
House 15.87 10.5801 79
House 9.28 51.9502 79.6
House 8.82 74.891 75.9
House 7.49 54.2517 75.1
Bryan 7.13 49.5182 75.9
Bryan 9.45 144.6472 76.5
Outside 15.17 9.1401 73.9
House 17.33 11.4579 75.9
University 7.05 122.658 77.3
University 12.85 74.299 82
Outside 15.21 51.9884 79.1
House 13.98 3.2698 75.3
Bryan 6.29 33.6181 80.8
House 6.75 55.1904 71.3
House 6.37 150.9717 77.6
Bryan 13.84 79.7703 80.2
House 8.41 0.5108 77.3
House 13.31 4.449 75.1
House 6.08 9.9608 78
Outside 15.61 16.9238 74.9
Bryan 15.65 20.0716 76.9
Outside 14.92 5.5763 76.4
House 9.69 48.1433 79.3
Outside 11.93 76.7352 72.6
Bryan 7.43 25.8922 78.4
House 7.36 16.658 73.3
University 8.84 99.8221 78.3
Outside 14.01 29.2958 76.9
University 10.96 54.0851 83.9
Stores 8.52 112.795 82.2
Bryan 7.83 37.2444 83.2
Bryan 16.88 36.0099 77.3
Outside 12.57 39.0187 76.5
House 6.73 77.8122 74.3
Bryan 10.9 26.7652 83.6
Outside 16.65 190.9595 73.3
House 11.57 28.6888 78.4
University 13.41 176.482 76.9
House 8.47 7.485 81.3
Bryan 6.67 10.891 78.9
Bryan 14.41 8.419 80.1
University 14.19 8.4659 80
Bryan 14.18 7.938 75.6
Outside 15.18 30.3012 72.8
House 8.26 47.8985 77.7
House 7.42 42.4842 73.9
Outside 16.16 9.501 75
Stores 15.04 30.7456 81.8
House 6.56 45.2518 73.6
House 17.13 49.7373 76
University 11.87 131.0691 79.3
House 10.37 43.4921 76.5
Outside 12.03 46.8295 80.2
House 10.9 6.3364 78.4
Outside 13.62 41.5422 76.7
Bryan 17.11 4.3487 79.7
Outside 16.81 33.7499 80.2
Bryan 8.76 34.137 77.9
Stores 13.55 38.6738 81
House 14.07 3.4853 76.3
Outside 9.55 114.0128 77.2
House 14.28 25.0927 74.6
Outside 16.45 49.3452 80.3
House 7.91 30.6521 73.5
House 10.83 16.8542 77.2
University 13.48 63.3068 80
House 10.55 5.5236 78.8
House 17.94 107.865 77.7
Outside 6.84 120.6578 75.9
Stores 14.69 38.6561 79.6
Bryan 11.66 2.4908 77.3
Bryan 7.67 73.6883 80.5
Outside 14.71 56.8525 75.5
Outside 11.31 96.621 81.4
Bryan 7.31 84.0234 81.3
House 15.27 36.2632 69.8
Bryan 8.35 25.7583 83.2
Bryan 9.5 5.9928 79.8
University 13.73 29.9976 72
Outside 15.86 41.3599 75.2
Outside 14.72 123.5871 78.7
Outside 16.01 73.6565 69.5
Stores 12.5 37.1826 78.9
Outside 15.32 22.8994 79.3
University 15.15 31.0988 83.4
House 6.36 3.8139 77.9
Outside 13.2 160.1694 77.3
Bryan 6.23 13.1978 82.7
University 17.61 14.5754 77.3
House 10.72 23.1123 78
House 11.48 36.6522 79.3
House 13.33 25.4503 72.6
House 7.59 56.3831 78
House 11.72 14.6027 77.1
House 13.76 9.327 76.2
Outside 15.18 11.6162 79.9
Bryan 8.04 12.8551 79.9
House 10.96 11.7481 79.3
Outside 9.82 118.3008 80.8
House 8.44 10.2757 78.7
Stores 17.38 10.7405 78.7
Stores 10.64 53.1806 78.6
Bryan 6.67 80.5639 75.2
House 8.07 16.4173 77.2
Bryan 10.06 181.6979 84.8
House 15.42 8.5934 77.2
House 12.37 55.3792 72.3
House 13.13 28.9479 74.7
Bryan 15.08 32.9846 81.4
University 17.85 67.6098 73
House 12.65 25.3749 83.2
Bryan 14.46 100.0573 82.4
Bryan 12.08 64.0793 80.2
University 15.21 34.0197 78.6
Stores 15.65 47.0583 81.7
University 15.14 67.6796 73.7
Stores 16.79 27.2234 79.5
University 16.42 26.1807 75
University 17.21 57.8338 74.4
Outside 7.42 138.6676 77.4
Bryan 14.43 26.0942 79.2
House 9.55 26.2675 75.9
Bryan 6.34 3.0467 83.1
Bryan 14.13 84.2408 79
Outside 14.31 25.6291 82.2
Outside 16.73 49.7188 78.8
Outside 13.52 75.7639 76.3
Stores 17.94 29.3166 75.9
Outside 17.6 21.1012 82.7
Outside 15.26 66.2011 74.7
Bryan 13.75 56.39 83.7
Bryan 14.16 19.4726 80.5
Stores 9.61 10.7597 81.9
House 8.39 92.6289 74.7
House 16.93 40.4467 80.9
House 9.16 55.9883 80
University 17.74 27.3695 73.7
University 17.4 22.5093 74
Bryan 6.6 15.4847 77.7
University 11.22 50.221 76.7
Bryan 8.18 18.0619 80.3
Bryan 6.28 65.7289 76.5
Stores 10.57 101.5455 78.3
House 8.67 10.0149 79.7
House 8.21 48.0818 75.3
House 8.4 9.2971 71.2
Bryan 10.26 103.6811 79.6
Bryan 11.18 12.2695 80.7
Outside 9.17 88.1727 77.8
House 13.45 61.462 78.6
House 13.96 62.4348 81.6
House 7.6 8.9193 79.5
Bryan 10.3 22.2803 77.7
House 7.74 3.2428 74.2
Bryan 9.37 1.0835 78.5
Stores 9.24 45.6936 78.5
Bryan 11.5 14.0002 83.3
Bryan 6.17 51.1464 75.9
University 13 68.1836 80.9
University 11.89 37.1864 82
University 11.24 212.9121 86.8
House 15.49 21.5268 79.5
University 12.59 38.3432 80.8
House 8.75 42.367 80.3
University 14.26 14.0544 80.9
Outside 13.27 23.0812 80.6
House 8.62 25.1524 79.2
Stores 9.22 134.6901 78.2
Bryan 8.78 54.2103 71.8
House 16.91 6.2023 75.1
House 6.24 39.0067 84.6
House 7.71 8.1523 77.2
Outside 12.56 40.1164 78.6
House 13.45 7.866 77.7
Bryan 10.24 53.3082 75
Stores 14.39 8.4776 83.2
House 8.26 10.1084 72.4
House 12.54 23.3443 78.5
Bryan 15.21 29.2206 75.5
Bryan 14.58 10.9814 77.3
House 12.29 76.3303 75.3
House 9.2 1.1443 77.3
Outside 14.38 83.3624 80.8
Stores 16.41 21.7153 75.3
House 6.41 115.0503 86.6
Bryan 14.59 107.6565 74.2
House 10.24 38.3169 76.9
House 6.17 33.0535 75.7
University 14.59 64.0192 74.1
University 17.88 23.468 79.9
House 12.35 27.1427 75.6
Outside 9.73 126.2628 76.5
Outside 16.35 62.3125 80.1
Bryan 7.71 61.6056 80.1
Bryan 13.07 9.5835 81.1
House 7.12 42.8688 79.2
Bryan 15.2 20.9303 79.8
House 10.04 6.1747 78
Bryan 8.39 67.6444 78.8
Bryan 7.32 84.5948 80.2
House 9.56 36.0336 76.5
House 10.44 65.9422 73.3
House 7.17 37.8269 74.8
House 7.6 18.5335 76.5
Stores 12.73 14.514 81.8
House 7.34 65.7736 84.9
Outside 15.75 33.0644 72.7
Outside 11.32 131.3198 74.8
House 12.28 8.9888 77.4
Bryan 9.39 56.0512 74.9
House 17.48 23.731 74.6
Stores 6.79 139.2556 74.5
Stores 7.55 81.0689 81.1
House 15.71 23.1532 79
Outside 17.31 63.4318 76.8
University 10.59 79.0935 77
House 12.08 60.5373 77
House 10.16 40.4585 73.7
Stores 12.6 26.083 76.6
Bryan 9.55 39.084 83.5
Bryan 6.15 35.1681 78.9
House 12.01 22.6906 75.1
Outside 13.27 38.7932 73.4
House 11.29 30.3184 74.1
Stores 17.92 7.9864 80.6
Bryan 6.83 74.6636 81.3
Bryan 8.91 4.1892 77.1
Outside 16.97 50.0251 76.3
Outside 12.82 41.0066 78.4
Stores 16 26.6886 79
Outside 7.78 151.3019 72
House 11.94 22.3255 78.5
House 6.23 42.6014 75.1
Outside 13.73 49.6273 82.2
Bryan 10.25 27.0668 79.1
House 6.87 56.5473 77.4
House 14.22 20.247 76
House 7.01 1.7766 77
House 9.73 51.0895 77.4
House 10.44 26.9163 78.5
Bryan 6.77 36.6252 79.1
House 9.97 13.0694 74
Bryan 6.12 9.7439 80.8
Bryan 6.03 105.066 76.6
House 11.4 9.2763 84.5
Stores 10.72 38.84 79.4
Bryan 6.04 84.765 79.1
Bryan 15.84 28.9341 82.4
House 9.25 22.2496 77.4
House 14.41 9.8408 82.3
House 17.03 86.6072 76.5
Stores 17.03 13.132 76.1
Bryan 11.16 74.564 80.7
Outside 17.36 65.4021 78.6
University 14.77 46.3354 78.6
Outside 6.08 161.0543 81.9
Bryan 7.32 18.0275 75.8
Bryan 6.63 24.8318 75.3
House 13.67 38.146 79.1
House 8.64 34.6894 75.8
House 14.5 16.9871 74.8
House 11.31 114.7299 81.3
Bryan 9.16 30.6668 78
Stores 8.96 65.907 78.7
House 8.23 61.7382 77.2
University 14.44 34.6894 75.6
Stores 10.23 43.7935 79.8
Outside 10.86 140.6054 75.5
Bryan 8.11 40.0633 79
Outside 15.8 8.5694 75.1
House 10.16 18.0959 80.1
House 17.78 6.5701 77.7
Bryan 6.03 30.6335 80
Bryan 8.43 29.6264 81.6
Bryan 15.79 93.5871 80.8
House 17.25 43.0915 74.8
Outside 16.43 28.9187 79.2
House 7.83 23.6693 73.8
House 10.7 8.5537 76.9
Stores 15.73 62.3949 82.4
Outside 8.01 133.8408 75.6
House 10.14 13.9001 76.9
Outside 15.59 18.8975 79.8
Bryan 17.43 12.4859 79.9
House 7.42 5.7896 74.4
Bryan 7.79 40.7115 78.9
University 13.39 32.286 79
Bryan 13.46 53.9892 81.1
Stores 16.53 3.1405 80.5
Outside 16.84 17.4687 75
House 11.85 96.6766 80.5
Bryan 17.98 40.4409 77.6
University 15.71 31.2109 73
House 12.49 18.2071 78.6
Bryan 7.01 12.3734 81.6
Stores 12.4 21.396 78.7
House 7.95 6.2941 72
University 17.74 37.7773 76.7
Bryan 10.18 26.3891 75
Bryan 10.83 23.9856 78.3
University 18 8.9458 74.1
Bryan 17.18 29.9678 80.2
House 11.23 13.0154 78.3
Bryan 10.03 122.3207 76.5
House 11.35 39.6485 71.9
University 14.89 38.9234 77.4
Bryan 10.3 16.2449 80.8
House 11.93 5.8916 78.3
Outside 17.4 22.5455 80.3
Bryan 12.34 34.8162 79.5
University 11.22 78.4441 79
House 6.16 32.3802 78.5
Stores 9.2 172.0591 80.9
House 6.24 9.5688 81.5
House 7.66 27.1109 72.1
Bryan 7.18 30.2183 75.2
Stores 16.61 10.86 84
Bryan 8.54 35.893 81.6
House 10.64 11.508 74.9
Outside 14.49 55.7345 79.9
University 16.21 34.0151 79.8
Outside 11.44 163.5071 76.1
Bryan 17.74 8.6601 81.6
House 10.19 49.8864 75.5
House 10.77 19.5224 79.8
House 9.95 2.7247 82.8
Stores 15.76 41.9744 75
House 6.04 5.5018 77.5
House 15.13 24.7048 74.6
Stores 15.82 4.7929 79.5
University 15.98 20.5461 76.8
Bryan 6.66 14.0196 78.5
Stores 10.38 123.8791 76.1
Outside 14.87 24.2548 77.8
University 16.01 37.4764 81.1
Bryan 8.99 42.8842 78.4
Bryan 11.46 83.0758 75.3
Stores 14.1 11.2041 79.8
Outside 14.33 118.4161 84.7
University 16.56 85.6256 76
House 14.58 4.8563 77.9
House 11.57 25.8655 77.9
Outside 13.44 29.2572 77.5
House 7.59 41.193 79.4
Stores 15.58 21.7459 79.9
Outside 11.91 80.2691 78.5
House 7.76 0.4751 78.7
Stores 14.76 34.5942 77.8
House 8.36 140.0318 82.9
University 14.72 25.4398 75.4
House 9.99 38.089 77.9
House 14.56 85.0196 73.2
Bryan 10.17 14.5777 80.3
Stores 8.28 47.2734 81.4
Bryan 10.16 15.2884 76.8
Stores 15.66 36.5168 79.4
University 8.37 76.1091 80.8
University 16.52 46.9346 75.5
Stores 15.24 29.9188 79.5
House 10.9 20.6109 79.6
House 9.12 16.71 75.4
House 7.9 41.9941 72.8
Bryan 11.11 64.0495 79.6
House 15 8.3423 73.7
Stores 17.55 35.2037 78.6
House 9.63 1.7756 75.4
House 11.67 33.2118 78.5
Outside 13.61 61.7634 75.5
University 15.9 42.1062 75.1
Bryan 7.97 62.0533 78.8
House 11.63 48.2595 78.6
House 14.89 44.8867 79.4
House 17.28 23.7184 76.7
House 8.79 43.4766 79.9
Outside 13.84 42.8057 74.7
Bryan 8.81 93.9461 75.4
Bryan 8.5 82.8077 77
Outside 15.32 9.9232 76.9
Stores 17.85 17.0274 76.4
House 11.25 13.3734 80.3
House 10.64 47.9078 76.6
Outside 15.41 18.7113 70.8
House 14.74 132.0961 75.8
Outside 16.24 8.5531 81.4
Stores 13.66 24.5466 83.8
Bryan 13.55 34.5779 78.1
House 6.75 33.6942 77.5
Bryan 11.26 14.3514 79.6
Outside 17.76 72.6578 76.1
Bryan 14.32 17.4601 77.6
University 15.46 49.8053 76.9
Bryan 15.96 52.2489 78.6
Bryan 7.87 65.8444 78.7
University 17.69 112.8547 77.4
House 13.16 31.2664 72.5
Bryan 14.56 20.9629 78.8
University 17 17.3488 76.4
Bryan 14.83 22.0558 81.3
Outside 14.93 31.6249 82.5
Bryan 10.22 51.1579 76
Outside 14.34 22.8459 80.4
Bryan 11.62 32.6103 78.8
University 14.57 39.9338 74.3
Bryan 7.37 40.868 80.1
Bryan 9.11 10.5244 75.5
House 10.18 35.4452 80.2
Outside 12.37 90.3154 80.2
University 16.05 19.5477 79.8
House 6.25 6.9673 75.5
House 8.36 55.7037 75.4
Bryan 12.56 19.2091 78.5
Stores 16.09 16.6991 75.2
Bryan 17.13 2.6208 79.5
University 9.73 111.9337 73.4
House 13.55 78.8009 76.9
University 16.55 30.9506 74.1
University 15.12 47.2164 80.6
House 8.24 29.4206 81.5
Bryan 6.59 25.6944 78.5
Bryan 15.75 80.6987 74.7
House 9.14 10.0753 77
University 15.49 41.9846 77.3
House 11.47 12.6536 77.9
Bryan 12.95 19.0819 79.5
Bryan 10.48 21.9396 80.7
Bryan 11.25 138.5808 79.1
House 8.2 0.8634 76.7
House 13.45 9.8567 72.7
House 8.88 84.738 77.2
Outside 15.58 17.1631 73.9
House 6.92 23.7494 78
University 13.66 6.0014 80.9
Outside 14.82 50.5878 76.1
Bryan 6.2 11.6567 79.2
Outside 16.35 102.6267 81
House 6.02 18.8679 74.5
House 8.25 14.9451 79
House 17.66 55.7714 82.3
House 8.21 3.0599 76.5
House 7.88 67.4891 77
Bryan 6.52 88.8307 79.5
Stores 12.81 38.0693 83.9
Bryan 6.14 24.1229 75.6
Bryan 7.73 65.3326 78.2
House 11.57 35.2188 77.2
House 10.52 50.5633 79.1
House 8.15 30.0981 76.2
House 7 18.9855 76.2
Bryan 17.35 51.6641 75.4
Stores 13.23 38.3421 76.9
University 13.04 16.9064 82.8
Stores 9.36 148.4275 72.6
Outside 15.31 69.7663 80.5
House 10.9 3.3785 77.8
House 13.3 9.1654 77.9
Bryan 7.02 4.2724 82.9
House 17.53 61.9296 78.4
Stores 17.42 96.6999 78.7
Stores 16.93 21.4959 81.6
Bryan 10.31 59.7802 74.6
Stores 15.26 26.0912 76.2
Bryan 12.13 43.648 81.1
House 6.68 25.8646 76.9
Outside 13.24 35.1783 81.8
Outside 15.96 33.1276 83.1
Stores 13.15 67.1679 75.4
University 16.16 55.5032 81.2
University 17.61 37.1497 73.9
University 16.82 53.6857 76.6
Stores 8.62 74.9273 77.9
House 15.13 20.9652 73.1
House 9.06 10.245 71.6
University 8.2 124.1936 79.5
House 13.02 123.5846 81.2
Stores 9.08 173.818 79.8
House 6.82 42.0093 71.1
University 16.02 81.8638 79.6
House 15.21 9.0843 75.2
House 11.38 4.3269 78.5
Bryan 7.95 31.1434 77.5
House 8.29 25.5432 74.8
House 12.23 196.0154 78.8
Bryan 7.68 26.3472 84.6
Bryan 14.55 47.3604 82.7
Outside 13.85 28.1346 81.9
House 16.56 106.2373 80.8
Bryan 9.2 34.4919 78.9
House 12.64 26.1161 77.5
House 13.23 71.7201 76.8
House 8.05 16.9444 78.8
Stores 13.48 15.4511 79.9
Stores 15.72 24.7493 79.6
House 7.98 38.5492 74.4
Outside 15.02 41.6212 76.4
University 15.28 37.1776 78.7
House 9.66 37.7325 77.5
Stores 11.38 53.6125 86
House 7.6 104.4632 76.1
Bryan 9.57 12.4067 78
Stores 14.49 7.5695 82.8
Bryan 6.71 51.5559 79.1
Stores 10.2 80.3016 79.5
House 8.78 41.0588 77.2
University 16.09 0.8511 82.1
Bryan 6.9 94.6823 75.8
Bryan 8.62 56.8043 74.9
House 16.87 5.7311 74.2
Bryan 7.15 1.8942 77.2
Stores 15.03 66.1034 83.1
House 10.43 68.3582 77.5
House 17.58 12.8516 75.7
Bryan 7.5 27.3149 80.5
House 7.49 15.3629 80.8
Outside 10.2 58.3633 77.2
University 6.84 128.968 75.7
