contains weight volume color
junk 29 2.34 red
dangerous 99.3 5.84 white
valuable 90.5 2.04 brown
junk 40.5 4.57 white
money 64.8 4.11 white
dangerous 18.4 7.72 other
junk 31.7 7.43 red
dangerous 64.6 1.61 red
dangerous 116.9 5.54 white
dangerous 30.9 6.98 other
money 34.6 19.94 red
money 18.8 16.91 white
junk 30.6 4.48 other
junk 15.5 6.04 red
junk 7.6 4.83 white
money 96.1 2.13 brown
junk 109.9 10.19 red
dangerous 64.8 3.44 other
dangerous 3.6 1.77 other
dangerous 79.4 10.91 white
valuable 76.5 2.72 other
money 112.1 6.13 brown
dangerous 84.5 2.17 red
valuable 94.9 0.91 white
valuable 53.7 9.43 white
junk 36.7 8.17 red
money 80.2 11.56 white
dangerous 116.8 5.68 other
junk 33.9 7.23 other
dangerous 25 7.8 red
junk 9.4 2.33 red
dangerous 42.1 5.86 other
money 77.8 0.92 other
junk 28 16.49 red
valuable 33.4 12.65 brown
dangerous 98.4 16.42 red
junk 114 6.57 red
valuable 72 1.64 white
dangerous 50.8 9.12 red
junk 49.6 1.89 brown
valuable 35.1 19.1 red
junk 91.1 2.26 red
junk 74 0.31 brown
valuable 76.2 4.72 other
valuable 79.4 5.72 red
junk 20.7 11.75 red
junk 24.4 4.82 other
junk 17 7.37 white
junk 81.1 6.25 red
dangerous 112.4 2.07 other
dangerous 100.4 11.76 white
dangerous 116.2 7.39 other
junk 66 1.62 other
valuable 93.4 3.38 brown
junk 36.5 7.02 other
junk 24.8 3.81 brown
valuable 80 0.82 red
dangerous 57.6 1.12 other
valuable 76.9 3.74 brown
valuable 99 10.18 other
dangerous 117.2 12.81 other
valuable 76.8 5.37 brown
dangerous 34.6 9.79 red
valuable 104.8 3.82 white
dangerous 73.6 15 brown
valuable 21.8 15.99 brown
valuable 93 6.91 red
money 50.2 11.55 brown
junk 61 3.94 red
valuable 40 16.24 brown
junk 114.5 3.56 white
valuable 74.4 9.02 brown
dangerous 47.3 5.7 red
money 59 15.49 brown
junk 34.1 2.19 white
dangerous 115.3 5.16 other
money 96.5 8.56 other
valuable 88.7 1.01 white
dangerous 33.8 5.52 red
junk 13.6 4.34 white
junk 6.3 10.97 brown
dangerous 100.9 11.73 white
junk 8 3.91 white
dangerous 39.3 19.58 white
valuable 96.9 1.47 white
junk 63 14.19 white
dangerous 55.7 2.94 other
money 41.5 10.72 white
junk 76.1 11.62 white
dangerous 95.1 2.76 red
junk 12.1 2.36 other
valuable 104.6 7.92 brown
dangerous 90.4 13.01 red
money 78.6 1.57 red
valuable 51.2 10.55 other
junk 21.7 9.78 brown
money 22.1 18.91 white
money 91.7 3.06 red
dangerous 10.2 18.5 red
junk 9.2 7.51 white
money 103.5 1.59 red
junk 55.2 1.55 red
dangerous 99.9 3.59 red
junk 44.4 14.62 other
junk 19.2 5.94 red
dangerous 8.5 9.38 other
dangerous 80.6 0.04 other
money 99.9 2.18 brown
junk 16.7 5.56 white
junk 6.5 3.71 other
junk 55.4 0.97 other
junk 17.1 0.71 other
money 111.6 4.15 red
money 80.1 5.41 red
dangerous 97.9 2.04 other
money 117.9 12.92 other
money 92.4 4.12 white
money 77.6 4.93 white
money 99.5 9.21 other
junk 67.3 0.88 brown
money 111.9 6.78 white
junk 75.5 1.05 red
junk 93 8.06 other
dangerous 62.7 4.18 other
junk 79.3 4.39 other
junk 10.3 2.24 white
dangerous 27.7 4.62 other
dangerous 58.2 2.81 other
valuable 85 9.4 white
dangerous 7.2 0.66 other
valuable 50.8 14.43 red
junk 32.6 3.66 other
valuable 100 12.79 red
valuable 81.2 3.62 red
valuable 115.2 4.62 white
dangerous 62.4 22.94 red
junk 21.8 4.09 white
money 114.2 2.96 red
junk 102.8 8.68 brown
dangerous 7.9 7.52 other
valuable 92.9 5.97 red
junk 62.1 2.66 brown
junk 98.8 2.68 other
junk 20.1 8.55 brown
junk 33.3 1.91 brown
money 25.7 14.09 white
junk 37.3 6.64 brown
dangerous 91.6 4.85 other
junk 28.9 1.35 red
money 36.4 26.24 brown
money 75.5 3.21 brown
junk 10.9 10.78 red
valuable 76.3 2.86 brown
junk 2.2 5.21 brown
valuable 22.5 15.27 white
junk 10.2 5.04 red
valuable 86.6 1.95 white
junk 65.5 9.07 white
valuable 18.3 27.71 brown
junk 36 9.95 brown
money 94.4 3.31 brown
junk 101.8 10.04 other
junk 30.3 13.29 brown
dangerous 114.9 10.32 other
junk 47.8 3.19 red
junk 42.6 9.49 red
junk 8.6 4.2 white
dangerous 41.1 4.56 other
valuable 84.5 6.6 red
valuable 25.1 16.24 brown
dangerous 20.4 9.89 other
junk 51.6 2.74 brown
money 101.7 4.53 red
money 115.2 3.96 brown
money 76.8 4.73 red
junk 5.1 1.19 red
junk 57.7 0.87 red
dangerous 67.1 4.16 red
junk 100.4 11.93 brown
junk 8.5 11.32 white
dangerous 31 2.21 other
junk 4.4 3.79 other
valuable 114.5 1.09 white
junk 32.9 5.9 white
dangerous 54.4 4.69 red
junk 22.9 3.01 other
junk 101 16.29 brown
junk 94.9 0.58 other
junk 20.7 32.8 other
junk 43.3 2.68 other
junk 30 4.26 other
junk 43.3 8.83 white
dangerous 96 10.46 white
junk 42.4 4.58 other
junk 14.1 0.7 white
junk 24 9.92 brown
dangerous 15.5 4.09 other
valuable 100.5 9.76 other
money 23.9 24.15 other
valuable 103.6 1.46 brown
junk 27.7 7.21 other
money 98.1 6.48 other
money 70.2 6.76 other
dangerous 64.2 8.81 red
junk 25.8 6.05 brown
junk 94.2 6.48 red
junk 12.5 1.52 brown
dangerous 50.7 5.04 other
money 75.4 11.68 brown
junk 62.3 1.25 red
junk 9.3 7 white
valuable 93.5 4.5 other
money 91.8 15.25 brown
junk 11.3 4.15 white
junk 27.4 5.16 red
money 111.9 4.84 red
junk 115 10.56 other
money 29.1 16.91 other
junk 41.7 6.54 brown
dangerous 68.5 10.17 white
money 22.7 16.08 brown
junk 15.5 1.59 brown
junk 5.3 10.62 red
junk 107 12.02 red
junk 18.5 2.18 red
money 115.3 4.84 white
junk 105.6 5.07 red
dangerous 72.1 1.34 other
money 104.2 1.92 white
junk 18.4 8.62 red
dangerous 116.2 21.07 red
dangerous 60.8 19.77 brown
junk 63.2 5.65 white
junk 5.4 0.28 red
valuable 98.2 0.37 brown
junk 21.4 13.89 red
junk 80.5 2.62 other
junk 2.6 4.87 white
dangerous 111.3 8.31 other
valuable 106.3 2.8 brown
junk 15.4 1.13 brown
money 81.7 2.53 other
money 87.6 8.21 red
dangerous 62.1 0.46 red
junk 5.3 0.32 brown
dangerous 41.2 4.04 other
junk 56 11.31 other
junk 2.5 7.37 white
junk 81.5 17.12 other
junk 20.7 0.68 brown
dangerous 100.3 2.05 other
valuable 62.4 2 other
junk 37.1 7.2 red
junk 75.4 2.62 other
money 48.5 14.22 other
valuable 100.5 1.66 brown
valuable 100.4 9.98 brown
junk 15.2 1.12 white
valuable 64.1 2.72 brown
dangerous 77.3 1.27 other
money 74.8 16.08 red
dangerous 114.2 3.25 other
money 86.6 1.62 other
valuable 100.9 6.01 brown
money 16.6 15.6 red
junk 51.2 5.38 white
valuable 110.3 2.26 white
junk 17.7 2.4 red
dangerous 33.2 10.38 other
junk 16.1 1.53 brown
dangerous 20.4 10.41 other
junk 31.4 2.8 red
dangerous 21.8 10.85 red
valuable 58.3 9.61 brown
junk 36.7 3.03 white
junk 3.7 2.97 white
money 90.3 10.3 brown
junk 32.5 0.59 white
dangerous 34.7 8.05 red
valuable 117.4 1.14 white
junk 80.7 8.79 other
valuable 110.4 2.43 other
junk 45.1 11.43 other
junk 68.8 1.72 red
junk 18.6 1.08 red
dangerous 9.8 34.75 white
money 56.2 9.68 other
valuable 18.5 22.49 brown
money 21.2 13.86 red
dangerous 90.8 4.09 other
junk 45.1 0.88 red
valuable 95.7 0.72 white
money 94.9 14.56 white
junk 45.4 1.73 brown
valuable 107.4 5.59 red
junk 60.3 2.36 brown
junk 11.6 4.7 white
dangerous 39.8 5.74 red
dangerous 21.2 9.92 other
dangerous 94.4 6.71 white
junk 36.1 7.86 other
money 94.4 6.26 red
valuable 83.6 1.47 white
dangerous 18.8 11.2 red
junk 9 4.55 red
junk 22.7 7.43 brown
junk 10.5 13.58 white
money 78 7.73 white
junk 71.9 0.92 brown
money 104.8 1.97 other
valuable 104 3.06 white
junk 3.8 4.66 white
dangerous 18.1 5.45 other
junk 98.9 5.73 red
valuable 80.2 4.84 red
junk 29.3 3.34 white
money 65.1 5.55 red
money 51.3 7.78 other
junk 53.1 2.8 brown
dangerous 92.5 5.19 red
dangerous 104.1 11.18 brown
valuable 52.6 11.23 white
money 115.4 1.72 white
valuable 4.5 19.28 brown
dangerous 17 2.69 other
junk 19.1 6.33 red
junk 8.6 6.03 red
dangerous 62.9 4.69 red
junk 3.2 3.9 other
dangerous 117.9 14.34 white
junk 105 2.21 other
valuable 94.4 2.94 other
junk 76.2 1.93 white
junk 26 2.49 red
junk 95.4 17.96 white
valuable 35.3 10.23 brown
junk 27.9 7.82 red
junk 65.8 2.92 brown
junk 58.4 2.93 white
money 108.2 3.97 other
valuable 104 3.14 brown
valuable 99.3 9.95 brown
valuable 38.1 15.31 other
dangerous 40.2 7.43 other
junk 25.6 0.56 white
valuable 94.8 6.74 other
junk 58 4.11 white
money 114 6.03 brown
valuable 101.8 0.83 red
money 108.9 8 brown
junk 68.2 0.72 white
money 57.2 8.78 red
valuable 82.9 2.23 other
money 59.9 31.76 white
dangerous 103.2 4.83 red
junk 21.7 14.49 red
dangerous 96.9 9.03 red
valuable 106.5 6.34 other
junk 56 6.02 white
dangerous 102 6.83 other
junk 15.5 5.37 white
junk 26.6 4.73 brown
junk 18.3 3.28 red
junk 58.9 5.65 white
dangerous 113.1 0.62 other
valuable 90.7 25.49 white
junk 3.7 7.81 white
junk 11.9 0.84 red
junk 93.5 17.4 other
valuable 88.1 7.04 red
junk 45 2.36 other
dangerous 70.9 12.78 brown
money 88.9 15.49 red
dangerous 66.3 5.44 red
dangerous 52.3 6.38 red
dangerous 92.5 2.7 other
junk 19 1.71 red
junk 47.6 3.02 brown
dangerous 45.9 11.57 white
dangerous 78.6 2.65 other
junk 25.3 1.45 brown
junk 52.5 8.8 white
junk 25.7 1.43 white
valuable 85.3 2.02 white
dangerous 20.6 8.58 other
junk 52.8 2.17 brown
junk 75.2 0.52 brown
junk 87 14.45 white
junk 113.1 4.4 red
junk 82.4 3.15 white
junk 34.4 0.47 brown
money 114.1 11.94 brown
junk 48.4 2.77 brown
junk 15.5 3.77 brown
junk 88.2 9.76 other
junk 3.8 1.19 red
junk 31.4 4.88 red
junk 34.7 3.29 white
money 105.1 7.23 white
dangerous 22.2 0.9 other
dangerous 72 12.18 white
valuable 86.2 2.58 red
dangerous 21.3 7.99 red
valuable 116.4 5.42 white
money 60.6 11.33 other
junk 69.4 2.47 white
money 64.9 8.77 white
dangerous 74.4 9.7 red
junk 34.2 10.13 brown
valuable 77.9 0.44 other
junk 44.7 1.64 brown
valuable 101.1 9.99 other
money 88.5 4.38 red
valuable 82.6 3.55 brown
valuable 81.9 1.47 brown
dangerous 101.6 5.61 white
junk 7.1 3.54 red
junk 4.7 5.81 red
valuable 42.1 6.85 white
junk 18.4 3.65 red
junk 27.4 7.26 red
valuable 107 5.56 other
valuable 90.6 7.11 brown
junk 10.5 7.25 white
valuable 72.5 4.01 brown
dangerous 68.7 6.18 red
junk 60.7 12.1 other
dangerous 47 2.77 other
dangerous 103 16.12 white
junk 28.1 2.78 brown
money 92.5 2.54 white
junk 7.7 0.42 red
junk 34.9 5.98 white
junk 20 9.43 other
money 115.4 0.6 white
junk 43.3 4.25 other
dangerous 33.7 11.42 red
valuable 95.6 20.51 white
dangerous 57.4 3.01 other
junk 19.8 0.8 red
junk 16.1 0.83 brown
money 99.3 2.99 other
junk 32.5 2.95 red
valuable 90.5 2.83 brown
valuable 114.7 4.86 brown
junk 64.3 4.56 other
valuable 103.9 5.06 red
money 102 5.75 brown
money 74.7 2.2 white
junk 18.4 7.62 brown
valuable 110.6 5.89 red
valuable 101.5 1.79 red
junk 64.2 4.29 white
junk 74 0.72 red
valuable 47.2 9.7 white
junk 64.5 2.61 other
dangerous 117.2 6.39 white
valuable 116 19.27 other
dangerous 91.4 5.55 red
junk 28.5 2.03 brown
money 83.6 0.23 white
money 100.5 19.4 red
valuable 66.4 7.22 red
valuable 70.5 3.93 red
dangerous 102.9 8.03 other
valuable 4.1 36.92 brown
junk 8.8 8.35 brown
junk 25.5 14.06 other
dangerous 26.6 3.79 other
junk 107.6 1.9 other
junk 29.6 6.6 brown
dangerous 12.8 9.52 red
money 108.1 0.88 white
junk 9.7 1.91 white
junk 4.4 4.35 other
junk 30 4.54 other
junk 101.8 4.8 red
money 98.7 2.66 red
dangerous 71.7 3.38 red
junk 114.7 0.67 red
junk 3.4 1.28 red
dangerous 10.5 7.14 other
valuable 113.1 2.7 brown
junk 92.8 6.21 other
junk 56.1 2.19 red
junk 29.6 12.33 brown
money 78.6 2.52 white
junk 42.1 5.81 brown
money 101.3 10.76 brown
dangerous 106.5 6.53 white
junk 15.4 5.6 white
dangerous 64.3 13.57 other
valuable 96.5 1.02 brown
money 95.1 7.22 white
valuable 56.2 11.69 brown
junk 68.8 2.69 white
junk 42.8 3.23 white
dangerous 12.4 7.83 other
valuable 101 4.53 brown
valuable 74.8 9.39 other
junk 29.5 6.09 brown
valuable 78.7 9.89 other
junk 90.7 9.21 white
junk 21.1 3.78 red
junk 105.9 6.28 red
dangerous 51.5 11.99 white
junk 5.4 0.57 other
junk 4.3 4.3 brown
valuable 67.7 8.6 red
money 72 9.3 red
money 80.7 10.83 red
junk 25.3 6.87 brown
valuable 107.2 5.38 brown
junk 2.3 8.25 red
valuable 101.9 9.42 other
valuable 70.6 1.63 other
junk 25.2 2.79 brown
money 91.5 5.02 other
junk 2.2 5.61 white
money 80.9 4.93 brown
dangerous 79 0.44 red
junk 13.9 11 red
valuable 69.4 30.95 red
dangerous 8.6 2.27 other
junk 14.3 9.39 other
junk 81.8 16.31 brown
junk 26.8 3.28 other
money 82.1 11.75 white
junk 53.9 2.8 white
junk 38.5 4.98 brown
valuable 95.9 4.32 brown
money 83.4 1.15 other
money 69.8 5.51 red
money 108.2 2.15 other
money 111.8 1.46 red
junk 62.7 3.33 red
junk 48.7 8.89 red
valuable 92.2 1.77 brown
junk 23.6 5.13 other
dangerous 20.8 0.66 other
junk 51.5 1.39 white
junk 116.1 0.52 other
dangerous 90.3 7.63 white
junk 17.6 1.32 brown
dangerous 13.6 1.47 other
valuable 63.2 8.74 red
junk 55.9 8.31 brown
junk 41.2 1.68 brown
junk 2.6 1.59 brown
junk 2.2 10.52 brown
junk 7.6 8.39 red
junk 20.4 0.24 red
money 89.6 8.88 brown
valuable 110.9 12.25 white
junk 39.6 1.02 brown
dangerous 79.7 5.24 other
money 113.5 7.85 brown
dangerous 55.7 2.27 red
dangerous 4.7 0.58 other
valuable 87.8 1.91 brown
valuable 70.2 14.1 brown
money 106.8 0.21 red
money 80 6.2 brown
junk 35.6 5.15 red
junk 12.9 1.28 white
junk 54.6 2.84 other
money 40.6 6.83 other
junk 71.5 9.96 other
junk 12.7 0.49 red
dangerous 10.6 1.26 other
junk 5.4 12.28 red
valuable 70.5 8.57 white
junk 38.1 16.88 other
junk 100.5 3.46 other
junk 29.1 2.93 other
junk 12.5 4.27 brown
dangerous 20.6 4.65 other
dangerous 40.9 4.45 red
valuable 85.9 3.73 other
money 108.5 1.32 white
dangerous 11.2 4.96 other
junk 8.1 2.6 brown
valuable 94.5 5.16 brown
money 80.1 5.08 brown
money 80.6 6.64 brown
dangerous 26.7 5.98 other
junk 48.2 6.28 brown
dangerous 110.6 26.44 red
money 78.2 5.33 other
valuable 82.9 11.42 brown
money 79.6 5.5 other
valuable 84.1 14.96 other
junk 46.6 5.63 brown
junk 31 9.06 brown
dangerous 21.5 1.53 other
junk 69 8.22 red
money 93.3 4.41 white
junk 17.3 0.58 other
dangerous 33.2 4.93 other
junk 91.5 14.14 red
valuable 77.4 2.83 brown
junk 4.3 4.42 brown
junk 20.6 3.5 red
junk 39.6 7.6 brown
dangerous 109.4 2.15 red
junk 7.5 11.6 white
valuable 116.2 6.55 white
valuable 76.1 15.96 brown
valuable 91.5 2.45 red
junk 84.6 12.06 brown
money 67.7 5.69 other
junk 63.8 3.23 other
valuable 82.9 2.56 other
money 75 7.04 red
valuable 111.9 2.08 brown
junk 13.6 4.16 red
money 75.4 12.81 brown
junk 102.4 10.78 other
junk 71.9 5.28 red
junk 7 3.16 red
junk 2.7 2.68 white
dangerous 84.8 13.38 other
junk 11.6 9.32 white
junk 68.7 8.25 other
junk 11 1.37 red
valuable 111.9 4.61 red
junk 37.9 1.46 white
valuable 65.8 4.82 brown
junk 16.8 3.63 other
valuable 83.7 7.75 white
valuable 110.7 10.71 other
junk 98.9 4.14 other
junk 51.4 6.51 white
valuable 22.8 23.37 white
money 101.8 1.45 white
dangerous 71.4 7.9 red
valuable 48.6 13.78 red
junk 57.6 3.92 other
junk 19.8 5.28 red
valuable 70.4 16.14 other
money 68.5 5.91 white
junk 50.2 11.44 red
junk 75.7 6.09 other
money 101.6 1.73 white
valuable 70.7 7.87 red
money 69 6.33 other
junk 25.7 4.98 red
valuable 113.8 2.78 red
valuable 41 12.33 red
valuable 68.1 3.29 white
dangerous 71.1 2.07 red
dangerous 24.4 15.84 red
dangerous 25.1 13.87 red
valuable 83.7 0.58 other
dangerous 51.8 6.27 red
dangerous 50.7 6.37 other
valuable 105.1 11.33 red
junk 12.2 8.99 white
junk 64.9 2.92 red
dangerous 64.5 4.46 white
junk 11.8 5.23 brown
junk 19.3 15.58 red
dangerous 47.2 10.45 red
money 82.4 5.26 other
valuable 59.5 8.73 red
junk 52.8 12.58 other
junk 13.7 4.18 white
junk 39.6 0.58 red
junk 48.4 1.22 white
junk 3.9 9.09 brown
junk 20.1 5.89 white
junk 6.2 12.68 brown
junk 25.8 0.93 other
junk 4.3 4.41 brown
valuable 81.5 25.6 red
junk 64.2 0.91 white
dangerous 108.1 10.55 brown
junk 53.8 15.6 red
junk 4.4 14.2 red
junk 11.1 4.7 other
dangerous 107.5 0.13 other
junk 50.6 8.12 red
junk 13.2 2.86 brown
junk 2.2 4.64 brown
junk 74 1.52 white
money 98.8 3.38 brown
dangerous 26.9 11.12 red
money 76.5 4.08 red
money 80.3 5.84 white
dangerous 26.1 1.84 other
valuable 89.5 6.66 white
junk 25.5 7.97 red
valuable 102.8 9.98 other
junk 33.4 0.74 brown
junk 49.9 3.5 other
money 93.7 6.13 brown
junk 14.8 3.58 white
junk 4.1 1.93 other
dangerous 46.5 7.44 red
junk 32.7 2.65 brown
valuable 48.4 19.01 red
junk 41.5 0.83 red
junk 87.8 0.02 other
dangerous 93.4 13.24 other
junk 43.5 1.56 red
junk 35.7 2.91 red
valuable 100.2 13.03 red
junk 13.9 7.94 brown
dangerous 28 2.75 other
money 105.6 2.63 brown
junk 40.4 5.69 red
dangerous 3.4 4.95 other
junk 115.6 0.2 red
junk 7.4 2.73 white
valuable 101.4 9.87 white
valuable 74.7 6.71 white
junk 34.3 0.97 brown
valuable 114 0.58 white
money 115.3 10.26 red
junk 34.8 11.08 other
junk 24.6 1.03 white
money 28.8 14.47 white
money 101.1 6.67 white
junk 72.4 3.24 brown
junk 57.5 5.02 brown
junk 44.4 5.22 white
junk 22.1 4.14 brown
junk 87.5 5.15 red
money 112.6 6.69 red
valuable 86.3 5.31 brown
money 110.9 4.43 other
dangerous 81.2 1.29 other
valuable 50.2 8.99 other
dangerous 56.5 5.78 other
junk 32.7 7.05 brown
dangerous 100.1 1.64 red
money 59.4 8.05 other
money 106.3 2.07 white
dangerous 34.5 4.01 red
junk 26.8 1.13 other
valuable 77 18.85 white
valuable 101.5 5.38 other
junk 68.7 0.12 white
dangerous 63.7 15.64 other
dangerous 66.5 13.15 red
junk 33.8 11.94 white
junk 7.2 0.59 other
junk 56.9 11.08 other
valuable 100.5 2.11 brown
junk 53.3 2.47 white
dangerous 81.5 3.03 other
junk 44.1 0.15 white
junk 38.8 5.25 red
dangerous 59.2 11.04 white
dangerous 72.7 2.5 red
junk 55.4 3.78 brown
junk 36 3.08 brown
dangerous 107.1 6.99 white
money 95.9 9.7 brown
dangerous 54.5 5.27 other
money 58.5 7.32 brown
money 111.1 5.82 other
junk 33.3 1.87 red
valuable 106.1 9.08 white
valuable 101.1 7.71 other
money 79.2 13.76 other
valuable 92.3 6.03 brown
valuable 13.1 23.94 brown
junk 65.6 1.3 red
dangerous 35.6 4.01 other
junk 6.2 7.46 red
dangerous 35.5 4.44 other
money 66.8 5.63 white
dangerous 57.9 2.23 other
valuable 91.7 12.52 white
junk 31.8 3.26 red
valuable 108.7 6.58 brown
money 38.5 17.95 brown
junk 19.8 1.27 brown
dangerous 71.5 1.98 other
dangerous 116.2 1.82 red
money 94.7 4.27 red
junk 5.7 14.37 brown
junk 70.2 2.3 white
junk 27.2 2.35 red
dangerous 97.9 5.16 red
dangerous 117.7 10.53 red
junk 7.1 1.79 brown
junk 32.1 3.52 white
dangerous 51.7 4.79 red
valuable 108.3 6.99 red
junk 77.5 10.36 red
junk 46.2 25.68 other
junk 64.6 1.23 brown
junk 8 4.44 white
junk 7.8 1.2 brown
valuable 112.5 4.52 brown
junk 43.9 2.13 white
dangerous 78.7 4.21 other
money 85.3 9.48 brown
dangerous 26.5 1.06 other
valuable 63 7.11 white
junk 31.8 0.8 white
junk 58.2 26.38 white
dangerous 17.9 2.08 other
valuable 89.7 2.18 brown
junk 56.6 13.42 white
junk 34.2 5.3 red
junk 92.8 7.63 red
junk 12.6 6.58 white
junk 71.9 1.03 brown
junk 5.9 12.86 red
money 91.7 1.64 white
junk 110.4 4.73 red
money 43.1 6.49 other
junk 17.9 7.17 white
junk 38.5 9.67 red
money 60.4 18.22 brown
junk 32.2 5.42 other
dangerous 32.3 5.74 red
junk 47.2 2.85 white
junk 54.3 2.46 red
dangerous 72.1 1.89 red
dangerous 102.3 7.57 red
junk 64.8 6.21 brown
money 38.4 15.72 white
junk 40.1 5.61 red
dangerous 68.1 13.01 white
dangerous 20.1 3.9 other
valuable 94.4 9.12 red
junk 32.3 7.9 white
junk 50.1 4.99 red
junk 29.7 3.4 brown
junk 97.9 7.71 red
junk 27.7 7.21 brown
junk 14.4 5.38 brown
junk 86.6 15.32 red
junk 71.4 2.41 red
valuable 99.4 1.72 white
junk 98.7 5.22 red
junk 77.6 3.32 red
junk 40 9.13 brown
dangerous 34.9 3.69 other
junk 5 10.62 other
valuable 76.6 7.05 other
dangerous 96.9 6.39 red
junk 8.2 4.3 white
junk 31.6 4.72 brown
junk 66.9 0.38 brown
junk 54.9 0.29 other
dangerous 62.4 14.93 red
junk 4.1 2.85 brown
junk 44.5 6.27 other
dangerous 117.1 8.18 red
money 98.5 4.07 brown
junk 61.5 2.67 white
dangerous 11.8 3.78 other
junk 58.7 0.54 red
junk 41.1 7.44 red
junk 38.9 3.86 white
dangerous 54.1 2.31 other
junk 16.5 4.97 white
valuable 103.9 1.96 white
junk 31.2 2.93 white
valuable 97.7 4.55 white
money 68.7 8.13 white
junk 61.3 5.39 brown
dangerous 39.5 13.99 other
valuable 88.6 1.28 other
valuable 108.2 7.61 brown
junk 52.3 2.79 other
money 95.7 2.63 brown
junk 34.6 5.68 white
valuable 112.9 9.84 red
dangerous 101.9 1.93 other
dangerous 18.4 2.03 other
