villainized minorkey scars friends
0 0.406 14 16
44 1.826 15 11
30 3.429 6 8
0 1.042 14 12
33 5.708 12 14
33 1.182 14 9
0 0.127 19 13
23 3.601 9 11
37 3.073 11 11
71 1.543 9 10
44 0.608 9 5
44 1.517 10 10
40 2.182 11 8
49 3.646 9 12
21 3.143 16 10
41 0.03 10 10
0 0.118 16 10
31 0.523 8 10
33 1.071 8 10
37 0.184 11 10
50 2.959 10 8
25 2.319 12 10
38 2.857 15 9
41 0.861 15 6
55 0.102 9 10
32 1.648 14 7
33 0.404 10 10
36 1.879 7 9
57 2.628 10 9
47 1.497 11 10
58 1.557 12 10
32 11.545 11 7
47 1.25 15 8
0 0.214 12 11
36 2.427 14 5
0 1.074 11 13
16 3.561 11 8
0 1.455 12 13
0 0.221 8 11
0 2.872 11 11
35 3.431 7 10
41 1.273 15 11
18 0.083 18 8
35 3.416 12 15
0 0.001 14 15
0 1.675 6 9
26 1.404 11 8
38 0.728 13 9
58 0.415 10 10
45 1.35 14 10
40 4.469 8 10
47 5.747 10 8
64 2.961 9 7
63 1.935 6 7
0 1.284 10 12
0 1.308 13 12
35 0.024 11 7
0 2.017 16 12
62 1.219 11 6
40 0.301 9 8
46 4.565 14 14
67 1.903 11 10
45 5.005 9 13
55 0.481 8 9
43 1.598 8 9
38 0.741 14 10
38 5.668 9 8
28 5.387 12 7
0 0.098 16 10
39 4.534 15 8
21 0.143 6 7
43 0.784 9 13
43 0.894 12 6
0 0.456 11 11
36 2.253 14 10
34 2.122 16 12
51 6.172 11 8
43 5.026 10 11
58 3.615 8 8
0 2.143 15 10
38 0.468 11 11
0 0.183 13 10
55 0.187 12 7
47 1.423 12 6
0 0.597 17 11
0 1.207 8 12
48 4.578 15 7
0 2.137 12 9
0 2.349 14 14
49 6.201 10 10
0 0.828 15 11
44 0.504 12 11
0 1.557 15 12
52 0.388 14 11
49 4.638 10 10
33 7.401 11 10
41 1.924 12 9
61 1.331 16 7
46 1.563 12 9
37 1.203 13 8
72 0.325 14 7
37 6.662 8 7
55 2.126 8 8
53 0.352 11 8
0 0.377 15 13
21 1.898 12 9
0 1.088 10 12
0 0.109 12 9
26 2.459 6 10
0 2.565 11 13
45 0.558 11 9
47 1.225 6 9
45 8.516 9 12
0 0.167 12 11
0 1.248 17 10
36 2.792 9 14
0 1.208 8 12
37 8.052 10 9
15 2.265 13 5
55 3.302 11 9
27 0.296 22 9
34 0.978 13 12
31 0.646 11 11
45 2.573 11 12
61 0.356 9 10
22 5.551 9 9
45 1.349 10 11
27 2.728 14 8
51 3.122 11 9
53 0.582 10 10
0 2.187 11 11
25 4.886 12 13
59 10.56 11 7
47 3.914 14 8
0 2.174 19 11
37 1.378 10 10
58 1.63 13 11
0 0.164 9 13
45 4.956 13 12
0 0.326 17 13
29 2.201 14 9
54 2.161 18 12
0 1.023 8 13
64 5.587 11 11
0 3.31 12 13
45 0.366 12 9
50 1.477 5 11
27 0.846 9 9
55 3.552 8 10
67 4.581 13 11
46 0.707 11 10
32 0.762 10 8
50 0.01 15 9
52 1.378 18 8
28 3.351 11 13
15 1.165 5 10
43 0.254 14 9
57 3.752 13 9
50 0.866 14 7
0 0.169 13 11
40 1.484 14 6
51 3.413 14 7
0 0.192 10 10
0 1.087 10 10
30 0.366 11 10
0 0.184 13 10
32 1.038 13 8
0 0.918 12 9
40 0.265 9 9
27 2.253 15 8
0 1.164 13 10
73 1.139 12 12
47 0.271 8 9
63 0.993 15 10
0 1.411 12 10
70 1.489 11 9
59 0.493 11 10
0 0.481 17 10
25 0.342 13 9
80 2.652 14 10
56 1.816 8 8
31 7.927 16 11
31 0.36 12 8
42 0.084 10 8
0 0.667 12 10
27 1.14 16 11
40 1.088 11 10
57 0.286 10 8
47 0.512 13 8
0 0.364 15 10
0 0.214 13 10
48 4.293 9 9
0 0.144 18 13
50 0.075 7 9
36 2.965 17 9
0 0.849 7 13
0 1.316 11 12
40 0.039 8 7
57 1.06 16 8
37 3.185 9 11
0 0.555 8 12
0 2.907 12 13
37 6.103 10 9
61 2.68 13 9
66 1.346 6 13
0 2.748 12 10
21 1.285 7 9
0 1.503 16 11
0 3.746 15 12
41 2.811 11 11
57 3.812 8 13
39 2.48 16 10
0 0.134 10 10
74 0.366 12 8
41 0.158 12 9
50 2.163 11 10
41 0.85 14 9
0 1.443 12 12
76 2.966 11 11
49 3.336 10 9
34 1.531 11 9
71 0.243 13 8
59 0.121 13 10
0 0.679 14 15
0 1.096 14 11
0 0.246 10 12
0 1.443 6 12
66 0.765 14 8
0 0.06 11 13
37 6.273 12 7
0 1.487 16 13
44 3.428 12 11
31 0.297 12 10
0 4.431 14 16
27 2.115 12 10
38 0.191 17 8
33 2.24 13 10
46 0.541 11 6
45 0.32 13 11
57 0.794 8 9
33 0.83 12 12
41 2.119 12 8
37 1.039 12 8
50 5.752 10 8
60 1.687 13 8
0 0.329 12 9
52 0.555 10 8
44 0.642 9 11
67 2.148 8 8
31 0.405 15 7
36 1.609 8 10
44 0.238 9 11
63 0.161 15 12
0 0.635 14 9
57 1.377 15 10
39 3.178 18 10
55 0.306 9 10
56 3.754 18 8
38 2.405 15 9
0 0.356 14 8
0 1.478 17 12
32 3.415 10 9
0 0.358 7 7
0 0.03 9 12
43 2.225 13 11
0 0.463 11 12
33 1.596 18 8
0 0.392 15 12
38 2.877 9 11
0 0.192 14 11
45 1.831 9 9
0 0.999 13 13
45 1.219 11 6
52 0.281 10 9
34 1.179 9 11
51 3.077 9 11
46 0.402 10 8
38 2.091 16 12
27 2.612 12 10
0 0.313 16 9
34 1.665 14 11
42 1.677 17 7
42 1.67 13 10
62 3.571 16 9
42 0.456 12 12
0 0.403 11 15
37 5.46 7 10
36 0.354 10 8
30 0.174 9 9
0 2.37 11 10
43 0.268 11 9
53 5.155 7 11
37 0.515 12 6
41 5.638 12 11
43 0.839 6 8
27 3.206 13 10
0 2.343 17 10
53 0.471 12 11
0 0.329 10 10
20 2.05 8 8
56 0.304 10 8
45 1.264 9 8
0 0.082 16 9
65 1.257 13 7
22 2.031 15 11
58 1.541 16 10
32 1.195 14 7
41 3.263 11 8
0 0.038 11 12
38 5.217 11 8
0 1.357 9 12
21 2.606 15 10
0 1.264 11 12
46 1.329 6 7
33 5.493 12 12
34 2.34 13 12
28 5.861 10 9
21 0.83 11 10
41 0.607 15 6
54 0.6 14 9
47 15.907 10 10
52 0.698 9 12
0 0.755 12 9
0 3.105 11 12
16 1.944 12 9
43 0.872 17 11
19 4.316 14 9
50 0.456 11 10
53 4.16 10 11
0 0.447 13 10
0 1.157 7 12
30 7.262 12 12
0 1.693 7 11
0 1.25 10 12
34 0.892 14 10
38 3.35 18 9
23 3.341 15 7
0 0.392 9 10
64 3.721 10 11
51 0.97 10 7
42 1.908 14 11
30 2.548 16 12
38 1.507 13 8
24 0.973 11 9
36 0.279 11 7
0 0.911 10 9
36 1.03 11 5
25 3.665 8 7
0 0.135 9 12
0 0.433 13 9
43 1.399 14 11
54 0.141 19 9
44 0.937 15 10
42 4.918 7 11
0 0.184 15 11
44 0.662 11 9
42 2.809 11 10
46 1.949 10 8
59 3.563 10 7
42 1.261 9 9
58 7.763 17 11
44 6.624 15 8
43 0.399 12 9
41 6.492 13 11
0 0.916 9 12
0 1.088 11 14
24 1.089 5 6
39 1.199 10 5
0 3.116 13 12
40 0.04 14 10
48 0.589 15 12
32 0.937 10 9
61 5.467 9 11
73 0.533 9 10
54 2.424 13 8
30 0.716 13 6
65 0.315 3 8
0 2.265 17 14
0 0.145 12 11
66 1.271 13 7
34 0.407 11 8
36 1.764 9 9
31 2.633 13 9
0 0.772 15 10
48 3.433 16 8
0 1.53 11 14
29 8.063 9 8
31 2.691 11 8
0 1.203 13 13
54 1.698 11 12
0 0.94 9 14
62 1.803 14 11
0 1.057 7 10
44 0.264 11 9
0 0.118 12 11
57 1.349 6 8
63 0.056 17 8
56 1.013 12 10
0 0.361 14 9
39 2.705 17 10
52 2.229 9 9
29 1.539 13 9
29 2.602 10 6
35 1.652 11 9
48 5.696 13 8
49 3.356 6 10
0 1.199 16 10
39 0.223 11 8
49 4.267 17 8
39 1.158 12 10
34 1.68 4 7
80 0.305 11 8
48 1.732 12 10
35 3.68 17 11
47 2.937 15 7
36 2.775 13 8
52 0.961 13 12
53 1.73 13 8
29 7.248 6 11
56 1.43 13 12
62 2.703 10 8
24 2.134 16 11
0 0.936 15 11
31 0.951 10 9
44 4.137 12 12
58 0.072 17 7
41 5.126 15 10
59 0.502 12 9
68 4.067 16 11
0 3.569 14 10
52 0.112 14 10
43 1.08 10 9
29 4.06 9 10
59 2.369 12 11
0 0.419 12 9
39 1.265 8 7
64 7.176 9 11
42 0.547 10 7
26 5.019 8 8
0 1.452 13 12
75 0.412 16 10
27 2.759 14 8
43 0.84 12 6
28 2.545 14 12
56 2.827 16 12
38 0.24 13 8
0 0.431 10 10
65 0.813 6 5
16 1.577 8 11
0 0.37 12 12
0 0.09 8 10
36 3.901 16 12
35 6.935 10 10
51 1.014 15 8
0 2.031 10 12
43 8.309 13 10
55 0.182 11 10
28 0.146 17 8
0 0.668 16 11
21 0.748 14 7
33 2.532 6 8
27 3.443 14 9
0 1.123 14 12
48 0.052 15 8
0 0.715 9 13
34 0.63 14 11
45 0.565 18 5
19 0.561 9 15
0 0.254 14 10
69 0.201 12 11
48 2.468 16 11
31 2.697 13 9
22 1.881 12 8
34 1.138 18 9
0 0.291 11 13
36 0.257 15 9
24 1.249 11 7
52 0.648 11 8
0 1.358 8 11
38 0.699 13 11
59 0.073 13 9
33 6.346 9 9
52 1.598 12 11
0 0.444 16 11
0 2.428 13 13
52 2.941 13 9
53 3.882 12 11
0 0.674 14 10
52 2.769 7 9
0 0.578 13 11
24 4.507 15 9
36 1.815 8 10
38 5.173 11 13
0 0.994 11 11
0 0.043 12 13
64 8.292 12 10
27 1.595 11 8
72 4.194 11 10
0 0.521 13 12
36 0.196 11 9
36 0.106 15 6
51 0.83 11 9
39 4.805 8 11
0 1.418 14 10
0 1.07 10 14
50 0.484 13 6
44 6.221 11 9
51 6.373 15 10
0 1.225 11 11
43 13.053 11 8
56 0.743 8 9
0 0.615 11 13
0 1.963 12 12
47 0.34 13 7
66 5.789 13 11
40 6.802 9 12
0 0.22 16 12
56 1.346 10 7
40 0.639 17 9
51 5.22 8 9
0 0.775 10 10
29 1.225 11 7
38 2.906 10 9
52 1.534 13 9
46 0.116 10 6
35 0.679 15 12
42 1.411 14 11
40 6.107 8 10
0 0.325 13 12
61 2.989 14 9
63 1.434 15 8
46 1.891 7 12
0 0.676 19 11
61 1.115 12 12
37 1.294 12 9
61 2.603 13 8
43 0.496 16 7
48 1.84 11 10
0 1.021 8 13
48 3.04 15 11
64 2.444 11 11
28 1.305 10 9
29 6.97 13 14
0 0.139 13 10
45 0.77 9 7
21 0.193 13 11
0 2.042 12 13
62 1.009 8 10
44 5.778 14 12
57 0.885 10 10
58 1.069 8 8
53 0.338 13 10
0 0.269 12 12
44 6.742 7 8
0 0.435 14 14
29 1.843 10 11
37 1.35 11 7
0 0.146 9 11
91 0.213 10 9
34 0.622 12 10
44 0.086 11 9
37 5.455 18 12
0 1.048 15 13
33 4.715 12 11
37 6.772 15 10
49 2.614 15 10
44 0.42 10 8
55 3.292 11 10
45 1.137 13 10
0 0.52 8 12
57 7.19 12 12
0 0.045 11 14
23 2.209 14 12
0 0.062 7 11
82 2.02 14 10
0 0.211 17 12
0 0.254 16 14
14 5.869 14 10
46 1.608 16 8
35 0.834 13 11
39 4.085 11 10
0 0.961 8 10
32 0.931 9 9
54 1.097 11 7
46 0.99 12 11
56 0.003 14 10
0 0.082 12 12
64 1.245 12 9
43 0.488 10 8
0 2.922 10 11
34 2.554 7 7
35 3.975 12 10
0 1.302 19 12
29 0.564 12 8
39 2.134 9 11
0 0.462 9 12
64 0.272 11 11
41 1.225 13 7
45 1.812 13 11
28 0.614 15 8
48 2.953 12 11
35 1.194 14 8
63 0.363 9 12
31 1.815 14 10
0 1.163 7 12
48 0.22 5 9
32 0.802 12 8
60 1.656 10 7
0 0.962 11 11
46 0.301 15 11
41 4.254 12 5
0 0.14 6 12
0 0.857 11 13
40 2.136 10 10
19 4.332 12 10
63 1.017 13 9
42 3.978 13 10
39 2.654 11 8
32 1.608 17 10
0 0.079 12 13
51 1.751 15 11
44 0.347 15 5
37 1.784 4 9
0 0.081 13 10
53 3.079 17 11
45 3.019 12 12
66 2.462 11 11
61 0.161 15 9
0 1.761 13 12
44 4.807 12 10
37 5.099 10 10
0 1.026 11 10
60 5.262 10 10
30 0.325 19 9
36 2.184 12 9
0 1.682 11 11
0 1.3 9 10
57 1.173 13 9
52 6.55 7 8
0 1.801 12 10
0 0.144 8 10
38 2.884 15 9
39 0.987 9 11
43 4.316 11 13
0 0.331 15 12
49 4.106 12 10
0 0.436 13 13
0 0.208 5 10
0 1.291 12 14
39 0.176 12 8
53 0.03 13 11
25 1.844 12 9
0 0.071 12 11
0 0.515 10 9
35 5.485 7 10
0 0.633 10 10
42 0.507 13 8
33 0.731 15 11
44 3.586 12 12
34 5.595 10 12
32 0.195 11 10
0 0.668 10 12
37 12.206 12 11
47 0.445 16 10
37 0.872 11 10
32 1.011 13 9
43 1.244 15 8
48 10.483 11 11
23 2.407 8 9
48 1.539 10 9
62 1.393 17 9
48 1.655 10 8
0 0.195 19 12
32 2.115 14 9
37 1.362 12 9
40 1.399 16 11
39 2.508 12 11
74 2.256 14 11
0 0.854 15 12
42 3.377 17 10
42 5.062 7 9
43 0.058 13 10
0 1.581 14 11
51 0.609 8 8
25 1.402 14 10
30 1.274 13 8
39 4.371 11 9
0 0.001 11 12
0 1.75 14 15
0 0.942 12 10
44 0.048 13 11
0 0.101 11 11
0 0.652 14 12
53 6.314 12 9
37 2.694 12 11
0 0.71 11 11
42 2.883 13 7
0 0.314 6 10
48 3.311 10 10
54 4.899 12 14
0 0.137 9 10
0 1.999 13 11
58 0.477 11 9
60 1.094 10 8
76 2.91 10 11
62 0.227 12 7
44 0.148 10 7
48 3.224 6 8
0 0.952 14 12
0 0.968 11 9
0 0.984 13 13
29 5.927 8 12
0 0.12 13 11
47 0.1 8 8
28 1.693 10 10
52 7.997 7 11
52 0.594 13 10
0 1.343 10 12
53 6.497 11 9
45 0.053 10 7
44 1.062 8 9
25 2.447 8 9
43 8.553 9 11
50 0.79 8 6
41 0.145 11 6
75 3.339 16 8
0 0.479 16 12
47 4.871 13 11
31 0.015 14 9
20 4.408 10 8
22 1.163 11 9
49 1.36 10 9
0 0.317 13 13
46 1.685 11 12
38 1.373 10 9
