"rain" "humidity" "airpressure" "temperature"
1 85.1 34.1 81.3
1 64.6 10.2 12
0 68.9 43.2 70.2
0 16.4 80.2 55.1
0 63.7 80.7 92
1 97 4.6 73.2
0 42.2 82.4 33.1
1 75.3 75.6 65.3
1 67.9 23.4 47.3
0 5.3 11.9 55.2
0 60.8 46.8 87.4
1 87.6 56.6 49.3
0 15.6 27.1 72.7
0 30.7 89.1 33
1 66.8 41.6 8.5
1 79.6 11 6.2
0 40 44.9 94.7
0 42.2 50.5 99.8
0 10.2 51.8 17.5
0 35.2 53.9 71.5
1 99.8 62.2 98.2
1 6.6 94.4 8.8
1 67.4 60.3 31.7
1 64.6 67.6 13.3
1 54.5 16.5 13.7
1 95.3 17 60.6
0 26.3 60.7 91.8
0 18.4 13.7 91.7
0 46 72 67.4
1 15.4 60.6 2.1
1 68 83.3 21.4
0 38.4 65.8 49.6
1 19.7 79.7 18.7
0 54.4 53 64.2
1 60.7 74.7 19.2
1 70.5 54.1 4.6
0 22.1 38.1 39.5
0 50.3 85.7 60.5
1 66.2 1 17.1
0 66 84.4 66.8
1 39.9 29.7 17.9
0 13.8 14.7 53.2
1 3 75.8 8.3
0 24.9 49.3 37.5
1 87 5.3 90.5
0 18.4 19.4 83.3
0 42.9 77.6 90.3
0 15.2 96.5 18
0 37.5 35.1 98.9
0 7 59.8 48.4
0 36.5 28.8 27.7
1 86.3 22.2 74.2
1 93.4 8.9 30.3
0 63.5 99.2 74.7
0 18.8 58.7 66.3
1 5.3 45.4 16.9
0 62 72.4 73
1 49.9 80.6 16.2
0 29.5 1.9 67.5
0 69.8 37.8 97
1 92.8 64.7 10.5
0 29.2 69.5 22
1 90.1 71 47.1
1 97.5 73.3 33.1
1 55.5 42.8 11.4
1 99.1 16.1 60.8
0 31.1 72.8 85.1
0 59.4 70.7 73.5
0 35.3 53.8 95.3
1 45.9 83.3 38.1
0 46.8 44.4 70.9
1 90.3 55.3 31
1 79.9 23.5 43.7
1 96.4 17.2 74.2
1 97.5 73.8 68.1
0 43.2 80.9 81.5
1 47.6 41.5 1.6
0 32.2 10.3 34.2
0 10.4 46 56.6
0 6 83.6 61.6
0 56.1 72.6 82.8
1 39.8 7.5 32.9
1 96.2 90.9 39.2
0 52.3 70.6 40.9
0 7 23.6 57.1
0 64.9 34.5 75.6
1 52 82.2 4
0 63.9 4.3 65.2
0 19.7 90.8 29.9
0 12.8 51 43.1
0 18.8 72.3 78.4
1 81.1 59.6 33.7
0 19.6 61.8 96.5
0 45.1 70.8 61.1
1 90.6 11.7 52.2
0 19.9 67.4 20.2
1 70.1 14.8 49
0 5.4 77.5 43.7
0 16.8 7.3 33.8
1 90.6 88.5 6.3
1 77.2 26.2 57.4
1 77.8 98.6 73.4
1 63.9 41 20.7
1 59 80.6 20.7
1 84 31.5 7.1
0 45.1 90.4 85.8
0 42.2 71.7 90.7
0 15.3 80.5 88.8
0 45.8 74.9 95.8
0 32.5 96.1 98.1
1 51.7 41.5 18.8
0 27.3 2.7 76.7
1 92.5 36.1 80.8
0 6.8 66.8 71.8
1 52.4 58 43.1
1 53.6 89.1 14.9
1 38.7 4.1 3.7
