particle angle spin speed temp
fermion 48.2 charm 46.4513367591591 49.2418870517463
fermion -11.5 up 42.785829225305 44.9140652629813
boson 55 strange 54.0536466786756 61.0305055020405
fermion -25.6 charm 51.6492435069879 10.9848215624215
boson 6 strange 50.3740103743852 82.0575431429553
gluon -34.9 charm 39.0412742152231 93.4907357665062
gluon -59.8 charm 58.0555219195949 49.9515288362572
hadron 4.8 strange 49.8274784686543 57.7304308640435
hadron -1.4 strange 42.9831918017434 53.80433427779
boson -61.1 down 47.6307995247662 51.149360050963
hadron -47.7 charm 52.5950164982259 69.6579438771658
fermion 33.1 charm 47.263753221498 4.38045520353715
hadron 67.9 charm 58.7298543435147 36.626501038944
boson 7.1 strange 44.9999344029953 3.62434241606725
fermion -50.1 charm 47.9319042309502 3.09059295018434
hadron -31.6 strange 44.5510677835075 78.9489068412339
fermion -62.4 up 47.3149896353291 -12.8564614535337
fermion -36.2 down 47.4831125248372 58.2539424823676
gluon 10.8 up 56.9492722414744 66.119581981635
hadron -4.2 down 50.8417095107469 73.2572844551886
hadron 30.8 charm 38.1722520810924 80.815963813023
fermion 59.2 down 47.9880440909657 32.8995200693021
boson 30.9 down 50.1998192187437 46.2919896053498
boson 43.7 down 47.7903986738703 82.1746026720101
hadron -54.6 charm 40.8751784304146 62.1380047019911
boson -44.6 down 51.1948587298797 45.0784606137705
boson -23.2 up 48.4451244849997 54.956910657739
hadron -63.1 up 56.8360023852623 39.571371849795
boson -31.8 down 47.657040098672 78.5740847154614
gluon -2.9 charm 43.7108352311675 76.6508739453936
fermion -37.5 charm 46.62084441938 36.8196445349297
gluon -23 up 55.4458816986677 53.6370667559834
fermion 13.7 strange 56.558457848761 39.3668633789355
hadron -54.8 down 58.0770274161867 79.0671900812047
gluon -43.3 strange 46.5320753484981 39.9929279798709
gluon -62.1 charm 49.291663780071 36.1629559794238
boson -2.3 strange 48.2317126775487 37.6141129150057
hadron -37.2 down 44.5629794521022 64.8841101067878
gluon 67.2 strange 54.2100976557956 69.1155282842752
fermion 44.4 up 40.1655033188001 38.53532805683
fermion -35.7 charm 44.6001163856915 51.4341924897175
fermion 45.3 up 41.7880272317516 60.8647252795764
gluon -55.9 charm 55.4896559933224 38.6292327499002
hadron 11.7 strange 41.0000269405133 93.9953412066154
fermion -22.5 charm 48.9232506784192 60.8806714892246
fermion 21.9 strange 52.8242944287956 60.3002521485985
hadron 54.6 charm 57.1598126029528 53.2974171791164
fermion -39.2 down 58.6838828579435 35.8184510992942
gluon -8.4 charm 48.9018888248146 46.8180042973808
hadron -67.7 charm 53.10364284162 53.0076756551105
boson -24.2 down 39.6785122666289 41.2768551845115
fermion -43.6 strange 42.844068570153 57.5237232714156
gluon -8.8 charm 52.0183162297081 54.1286652021484
boson 43.8 charm 48.8036025191487 44.6778109072329
hadron 11.6 down 47.8084970529085 46.9467158509381
boson -31.7 down 48.9415867825652 62.8687559616877
fermion 27 down 44.9065716703283 63.7953450124058
fermion -54 charm 50.036772735291 45.2280016691383
boson 33.8 up 49.9946240551506 25.9746654576274
boson 51.4 down 45.5822069641301 39.5399500678163
fermion 46.7 up 52.0465291432121 27.9862082406475
gluon -6.3 charm 41.363984098884 82.1442212744668
gluon 68.8 down 49.1231899831036 68.0999924629178
hadron 0.3 charm 50.7483597311736 60.4555757589872
hadron -48.6 strange 55.5257571196708 57.6662443104334
fermion -33.1 strange 59.65266416112 12.9905609861153
fermion 7.4 charm 51.4080695683354 58.0549276786889
fermion 42 charm 44.4315544990041 35.9973904985313
hadron 2.2 down 52.2912543624247 50.1943119465603
gluon 0.4 charm 49.6194072537989 51.6106040796187
hadron -62.6 up 50.7728338408003 54.176747933389
gluon 8.1 charm 56.1703520123004 64.6160694200624
fermion -48.4 up 50.3891215080032 26.9143186231904
fermion 14.9 strange 37.5678331152802 34.3140005043373
fermion 23.9 strange 43.4710718382182 46.2082100344458
boson 21.2 up 47.963316315397 69.1589289754375
fermion -67.4 up 50.2520951708656 19.1160039732093
fermion 17.4 charm 49.5726693545545 37.3974424185495
boson 5.4 down 49.5062911037849 22.1464676032928
hadron 56.9 strange 47.9031769444397 67.2410827796318
fermion -66.2 down 52.160586093505 44.5899357223843
fermion -15.6 down 49.2673937361166 18.8390039550552
gluon 6.6 charm 50.9381561926097 61.4316756482418
gluon -57 strange 46.1935447955503 52.0387781796227
boson 63 charm 55.6907525918383 20.3895825782305
gluon -56.4 charm 52.7788092958624 30.9333662711919
fermion -51.2 charm 47.0735657449057 97.3919138175795
gluon 47.1 charm 48.2362888043258 55.4748934467427
boson -37.8 up 52.6055869718103 56.4937506594823
hadron -50.7 down 57.0030543857964 60.7751192089508
hadron 4.6 strange 49.9626968893619 35.8003845502213
boson 27.3 down 48.7783875834902 30.4663617386054
hadron 31.1 strange 46.2954061088235 35.6988651134241
boson -29.5 down 50.4187968104932 39.9343189781426
fermion 0.8 charm 52.3453757309475 22.8162699055484
fermion -4.8 strange 48.7087466268239 36.1473254343998
hadron -45 strange 58.0809213626713 45.4271326411952
boson -25 charm 55.2290675603951 76.6337138442778
boson 69.5 down 50.6156149149014 57.5292947057906
boson 33.2 up 51.3750234478396 31.6993078954832
fermion 29.9 up 57.7261649426632 68.6217258853328
fermion 53.3 strange 55.0908003823436 5.32488290838927
fermion -41 strange 50.1463134797494 47.0349298279106
hadron -34.3 down 48.7826087496136 64.7086348129709
fermion -27.7 strange 43.2511707686725 45.3315198382393
fermion -55.6 up 47.1573922579819 30.468333601341
hadron 38.5 up 45.3728130312121 50.09058249793
fermion -5.5 charm 50.6626347454948 29.0227317954184
fermion -30.8 charm 49.5384674704561 42.4971116131845
hadron 13.8 charm 48.3333930612657 39.6200125939942
fermion 33.2 charm 43.0136884821648 58.3380359124294
fermion -33.8 charm 54.8917801285354 13.7241502189894
boson 34.1 down 47.2701610337397 52.3799996075041
boson 40.1 down 50.1357998645126 18.9120855325282
hadron -43.9 strange 49.0746447603793 52.2685540133014
boson 36.4 up 48.3513693484071 42.5425813161286
gluon -31.1 up 42.2061861320829 89.2140849882904
gluon 11.1 up 41.692887045528 78.1072922129433
hadron 36.8 down 46.274032146547 84.884229684887
gluon 46.9 strange 57.1697702442464 45.221704095083
boson -24 charm 40.4436079280725 40.3187451541917
fermion 48.8 strange 53.0191508060823 25.6202664659691
boson 35.5 down 49.8291890789795 87.5989474760439
boson -27.1 down 49.4264201722905 18.6816732162328
boson -35.9 up 40.8341200255498 52.6861902161945
hadron 43 down 53.3600198643911 42.5499535133443
fermion 34.7 charm 51.4907575286885 71.9895316566804
boson 54 up 49.4472907937851 55.6752335861386
hadron -48 charm 51.176824185475 63.8847620283073
hadron -50.8 up 51.9560565835477 63.5673237550632
gluon -33.6 down 56.6408932946394 33.8096382636027
fermion -12.1 strange 46.1112205588287 15.4270239911234
fermion -41.3 charm 57.7888717983033 48.1043677844379
fermion 32.7 charm 49.8258258621284 22.9243950630584
fermion -18.7 up 49.2428420789225 29.987343266531
gluon -47 strange 58.5725182560901 75.4935301587507
fermion 34.2 charm 49.2853826178712 20.873672601053
fermion 37.6 charm 46.9434563886511 36.4140063549731
boson -22 down 48.7894239450092 58.4713356724425
hadron -50.1 up 51.7179338526583 40.1096884705641
boson 4.7 down 48.5138950557168 64.8674284319759
fermion -37.6 up 42.1612846927768 52.8600415345043
gluon 37.7 up 54.4527193634683 41.376330886131
gluon 51.3 strange 50.8617675813036 61.4326592912944
boson 10.1 up 50.7384365836154 64.4976758945245
gluon -51 strange 61.6049204329888 49.6299616466989
gluon 32.7 down 49.2086521820702 70.1068288224801
gluon -50.2 down 57.07628781215 38.6128063240555
hadron 9.6 charm 46.8521157751888 44.4707319194723
fermion -64.2 charm 48.8844275234768 27.5550789942245
hadron 37.3 strange 44.7152252069802 65.0705445377594
boson -18.5 up 52.5530074354764 19.7088954450133
hadron -27.8 strange 47.1387262890957 44.3960480921976
boson 66.5 up 47.5176644344231 63.0621732200815
gluon 2.7 strange 45.8509438435721 55.4307762859577
hadron -43.2 up 50.6929357485384 47.704852174769
gluon -49.7 charm 54.8354323364316 35.7670954609791
fermion -23.4 down 49.9810485736615 60.9220210901175
gluon -7.4 charm 48.2887175994539 45.1915200425523
hadron -16.6 strange 57.2917857227224 66.6823458174419
fermion 33 charm 55.4564392629965 33.4904813504051
hadron -26.4 up 51.8313251947685 72.5955552482932
gluon -5.4 up 54.611580543988 72.2927736400353
boson 61.3 strange 45.2733024965461 -4.99700153976718
hadron -66.8 strange 51.5997405700009 84.7286232926682
hadron 7.2 up 56.588497048444 62.0512705247283
fermion -35.2 strange 59.1609821241811 10.2109032175009
boson 14.4 down 50.5216873094919 31.38001957432
gluon -43 up 54.3484540242847 54.4493005258347
fermion -46.2 charm 51.8471130351541 -6.48539560725734
hadron -47 up 54.3820890179094 55.8192087091458
gluon 9 charm 52.6832595562618 58.37713519063
fermion -15.5 down 52.2320179529443 86.0025939926761
boson -31 down 48.8916431287915 49.4804242086705
boson 64.5 strange 51.2710590741479 45.4999643842331
boson -41.7 charm 46.5151406044645 81.2363688667855
fermion 23.4 strange 37.8289211651874 45.2178797054161
hadron -49.8 charm 53.278340319957 50.1777950827944
fermion 7.9 strange 36.0390930148249 58.8043560796506
boson -2.4 up 50.4651554453194 13.772529633835
fermion -31.4 up 42.0924714734154 50.3264945711735
gluon -24.5 down 47.2132124583399 44.2574213653379
boson -68.6 up 50.5173224109518 37.8657630370617
hadron -30.5 strange 56.6140187353827 62.8374331450801
hadron 39.2 charm 45.751279481434 62.8830306614868
fermion 40.6 down 57.9669207175195 58.5244326751913
gluon -11.3 up 49.3687196967419 68.6586635809747
boson 34.9 down 46.6766813209741 54.6770065659862
fermion 66 down 48.4345655884862 54.5403207756579
hadron 58.7 down 53.7190588692766 54.1884253846391
fermion -1.9 down 54.9078873106134 31.3065485243287
fermion 59.7 strange 60.9838075987342 44.4771969014664
gluon -3.3 strange 45.3395164156019 95.3561863997556
boson -58.1 down 46.0727903724923 44.4377638126064
fermion -64.6 charm 56.3554595152319 12.2843577994563
fermion -60.5 strange 50.7359048381567 28.1065330903154
fermion 28.6 down 42.5603791661128 72.6512416031875
boson -4.7 down 49.6195806776045 16.3928841014069
gluon -17.1 charm 47.4576770203759 84.5819217172798
hadron -34.7 up 57.3675337658996 79.6150533845406
hadron -52.1 down 49.7061014337819 64.3394174977808
gluon -7.6 up 53.9506467031083 54.2407082882285
fermion 9.9 strange 55.5625421142594 74.7972078400068
fermion -12.6 charm 47.6289248861304 21.6008211438907
gluon -26 charm 59.973296232472 60.0640242049162
fermion -2.2 strange 46.320412951001 29.9401634838632
fermion 18.8 charm 52.8078933999081 26.1617830450092
hadron -34.6 down 54.6915378317659 45.8613900966509
hadron 12.1 down 46.8891498399787 57.8846625826061
fermion -4.2 strange 48.0254627951796 35.8839468713634
gluon 4.3 down 56.952451560639 84.2609024396633
boson -35.5 down 47.6045636505218 56.6555927923755
gluon 25.8 down 56.601906494751 77.7293871712859
gluon 14.9 down 45.6875836844405 55.6255745291894
hadron -57 up 50.2672483700973 38.6984169947243
hadron 35.4 charm 53.0585777954293 35.846234230759
boson -37.7 up 48.7265636043544 81.4417420702375
boson 61.9 down 56.4618408622926 27.8809085488239
boson 44.7 down 43.4065844583136 88.2906351109407
gluon 14.9 down 48.3495645954022 66.5029820253856
gluon 8.2 up 54.5903196312424 75.7996347608162
hadron 34.7 charm 60.1076756635852 27.8350925245743
hadron 21 charm 50.8697134041776 69.551550453004
boson -60.5 down 42.6831604399626 63.1546799178861
fermion -33.8 strange 37.5404822218763 21.262800120084
gluon 0.2 charm 54.1181585681357 23.6106141322921
fermion 66.6 strange 48.2880523739009 48.2283361848481
fermion 41.3 down 54.0925116961566 41.4873923931066
boson 51.4 down 44.8191506094176 65.4062941888441
boson 22.4 down 57.4255433128756 40.3242251206715
hadron 11.7 strange 46.2031314842677 52.1806808671152
boson -41.4 down 41.5298578271559 61.3566200521183
gluon 50.8 strange 47.4608195291995 31.8311952788684
boson -0.7 down 49.5694136493299 4.51655597013001
hadron -39.8 charm 49.1765270422997 60.3410283336145
boson 6.6 charm 59.3161174865412 67.9259752019077
gluon -55.6 strange 56.2070856572297 48.96298136583
hadron -67.5 up 50.1572019861298 53.7472255543192
gluon 13.2 up 52.5454319825536 74.1773971525574
boson 48.6 down 49.9029634279379 60.0416653448168
boson 2.8 down 52.1559558261089 47.7745520419752
boson -15.6 down 52.4956438824995 24.8335025114849
hadron -54.1 strange 42.5514596503181 53.0172847602012
hadron -27.4 up 45.3497388708831 53.2928248556461
boson -1.6 down 52.4582811346538 85.6621422335788
fermion -6.5 down 49.0091626808376 35.8868726884916
fermion 52.2 charm 49.0757630406368 69.1968418502847
gluon -51.2 strange 50.0794062574505 76.9475182234742
gluon 45 down 51.8299848925596 108.8761251425
gluon -57.6 up 46.4945211950741 60.1893718729837
boson 40.4 charm 48.8310699780302 68.5300993447324
hadron 18.8 up 52.7057643017826 65.4428523347545
hadron 29.2 strange 48.5517214818805 69.4831845005432
gluon -5.6 down 41.3970321643967 67.248591311369
gluon -43 down 44.2425998227715 57.6897875917676
fermion 56.7 strange 48.8767565447188 51.1733649914537
fermion -5.7 strange 35.6171163088596 8.48419847785685
fermion -1.9 strange 50.48801442975 30.8156036400375
boson 42.1 charm 53.6321107852868 94.12281955711
fermion -59 down 41.6964295248264 44.6427345582873
fermion -46.5 down 54.0843876318322 54.123862132322
gluon 5.9 charm 52.0613576538876 48.132982416168
fermion 60.3 charm 56.806548363232 30.0197803599862
hadron -68.8 down 41.3017575597076 84.7226796380494
fermion 62.9 charm 50.0784030806316 12.7891128255361
fermion 15.6 up 49.3027940561253 53.0630349764571
hadron 26.9 up 50.2930608973563 33.608533422983
fermion -5.8 strange 44.4726507567449 45.4701967035015
fermion 30.2 up 56.0312000816059 32.2300629400621
gluon -51.9 strange 45.4704160461669 45.4509088771022
gluon 41.1 charm 53.6246159952212 68.3914993593227
fermion -45.9 charm 58.4956462289899 32.0007530822029
gluon 1.1 down 47.930513810339 107.539990849571
fermion -51.9 strange 52.391965435638 24.4658853880495
gluon -54.7 strange 44.7217599476005 42.9457893528574
fermion 1.1 up 53.63469106093 34.4181992542807
fermion -1.1 strange 43.1936956883796 24.2228323264836
hadron -30.4 charm 52.847703676216 62.6918561440219
boson 68.7 down 47.2879623552932 33.6957340737751
boson 16.1 up 49.6922328238821 40.114079008884
gluon -5 strange 47.3277505506864 63.855520465997
hadron 50.7 up 50.6479922012157 63.9009710898036
hadron -68.4 charm 54.7572133637304 70.9047409157144
boson 32.1 down 50.8349457786836 58.2358928509892
fermion 61.6 strange 52.9824635230799 61.8769585872125
fermion -41.4 up 50.0163322551959 49.9182743379221
boson 8.6 down 47.9551908346776 55.6290999004656
gluon 50.5 strange 49.6142394967914 64.6190293957752
fermion -58.1 up 46.8497851235716 39.932945467192
boson 31.9 down 44.0515260092956 18.3997873297148
fermion 62.8 charm 48.1549242112803 28.9151381605055
boson 9.4 down 47.506965512282 39.8490632310835
hadron -26.2 up 58.7165916595546 75.0865303933156
hadron 32.8 strange 43.7874373992729 96.0046912030706
fermion -35.9 charm 51.928720787231 14.8576566910754
fermion 55.7 strange 43.9680102910518 28.9106502314325
hadron -23.5 charm 54.0901637138467 45.8697002528342
boson -46.8 strange 54.7114327914118 29.2866459668903
fermion -44.5 charm 39.0500478084588 27.2817826689054
fermion -35.5 charm 50.0049275769308 26.7236613827797
gluon 65.8 down 57.9963822714705 70.6623607591587
gluon -29.4 strange 44.6300535907606 56.6898168898634
boson 41.4 down 41.7053537444175 41.6835025568583
gluon 58.4 charm 56.4414511491653 43.6477996240872
boson 31.7 up 48.7307242949636 43.2239352966229
fermion -66.5 up 40.3889778891853 21.2436456826909
