nose eyebrow mouth head hair
14.3 37.6 20 237.6 58.2
10.4 21.1 52.8 145.7 24.2
36.1 18.4 58.2 82.8 42.5
19.7 23.4 57.1 207.6 65
48.5 24.3 39.1 88.4 57.8
40.6 21.1 51 94.8 16.4
14 24.1 56 140.2 25.1
11 27.9 50.4 90.4 45.4
34.5 19.3 51.9 98.4 49.4
11.5 23.6 22.8 127.5 62.9
45.7 27.4 42.6 118.1 85.5
11.8 33.3 24.2 233.7 53.1
30.5 16.2 52.6 80.9 23.6
47.3 17.7 57.4 87.9 46.5
57.5 24.7 54.2 80.9 20.7
21.5 25.8 39.3 157.2 85.2
10.3 27.3 57.7 88.4 18.4
19 28.5 52.7 95.1 32.8
43.6 19.6 32.5 98.8 34.7
33.1 15.9 33.2 83.1 43.5
44 24.6 53.1 81.5 18.1
11.8 28.2 53.7 81.7 14.6
12.5 20.1 59 139.4 67.5
58.8 21 58.1 85.3 10.4
39.7 28.6 46.4 131.8 21.8
33 20.5 44.9 93.6 83.5
40.2 24.5 21.8 90.9 45.4
13.2 19.5 51.8 146.5 71.5
23.3 29.4 45.3 148.7 79.8
18.6 22.6 24 163.4 57.3
16.5 28.5 24.2 168.6 55
46.2 27.1 16.8 127.2 11.8
18.5 29.8 57.2 89 92.6
15.8 26 52.8 98.5 71.8
47.5 15.9 56.2 94.3 19.6
15.2 24 57.4 184.7 39.5
16.5 33.9 28.5 177.2 76.3
54.9 20.3 48.6 98.8 13.1
18.4 26.9 53.4 86.1 59.9
30.2 23.9 45.1 92.7 81.8
42.9 24.4 10.2 96.1 74.3
19.1 24 50.8 179.2 62.3
12 22.3 57.8 241.6 26.6
42.1 17.1 58.6 88 33.2
18.8 29.8 25.8 244.9 66.1
41.6 29.1 22.6 102.8 8.5
32.9 29.4 50.6 178.3 24
12.4 22.4 54.4 194.2 15.2
12.3 23.5 28.8 120.2 52.8
17 24.4 54.6 182.1 51.6
37.6 28.9 37.2 129.5 9.3
13.1 22 22.2 150 58.6
14.6 18.6 52.2 144.3 50.3
14.4 25.5 58.7 93.9 10.6
53.9 17.1 53.4 93.5 28.6
54.1 23.1 29.9 90.1 63.8
17.7 27.6 22.4 165.3 46.8
49.3 24.1 46.6 88.7 35.6
18.9 29.2 51.3 82.4 63.8
19.8 25.1 22.7 158.3 57.2
17.2 20.3 50.1 134.9 85
11.4 23 53.1 196.6 60.7
14.8 36 21.7 205.9 45.4
33.5 26.9 29.7 120.4 47.7
36 24.1 59.1 100 35.6
10.1 17.3 55.9 215 91.4
37 20.9 56 87.2 38
14.5 28.3 56.6 83.8 77.3
20.1 28 20.2 146.3 48.9
22.7 27.8 25.9 178.5 62.6
59.2 24 52.9 90.2 13.1
13.1 34.2 20.8 230.1 53
12.6 22.3 55.4 241.8 55.9
11.4 36.8 24.6 212.2 66.1
32.1 25.2 39.5 145 69
17.6 29.7 55.1 98.2 98
11.8 22.9 25 124.4 58.8
49.8 16.1 21.9 92.3 79.3
15.7 26 27.7 169.1 78.1
10.2 37.3 22.3 209.1 49.5
30.6 18.7 23.1 97.1 60.9
23.3 27 58.2 152.3 23.3
19.5 19.6 55.5 236.1 35.5
13.6 29.9 55.6 94.9 93.3
34.1 20.2 26.4 85.8 26.5
17.8 28.4 55.3 96.6 39.2
46.5 26.3 33.8 138.5 8.9
45.3 27.9 50.1 109.8 60.2
31 19.9 25.1 80.4 78.9
14 36.3 23.4 155.6 41.4
21.8 27.5 48.1 197.8 35.7
19.5 33.9 28 222 69.5
55.6 17.5 55.9 97.6 46.6
54.5 24.9 36.1 90.9 47
13.5 37.6 22.7 202.2 53.6
37.3 16.2 60 83.3 20.1
21.5 29.8 11.2 127.3 74.3
15.1 33.7 21.8 137.7 71.4
30.1 27.9 18.4 167.9 31.9
11.3 27 55.8 97.7 28.4
11 28.4 22.4 173.7 79.9
10.4 25.6 52.2 93.8 31.8
37.2 25.9 13.9 176.5 16.3
30.3 24.8 58.7 92.7 20.2
19.1 27.1 57.3 85.9 31.3
47.3 17.8 43.6 91.5 18.6
27.5 29.3 40.1 170.1 98.3
45.4 17.1 48.6 99 63.8
12.1 26.8 59.5 81.7 66.3
52.3 20.2 52.5 84.7 24.8
34.9 22.2 17 94.1 62
44 29.7 35.6 101.3 1.5
19 22.6 57.6 223.2 4.7
16.5 27.6 51.4 89.4 98.8
17.6 34.7 23.4 229.7 41.2
20 27.9 53 90.7 75.1
12.5 36.9 28.9 192.4 73.4
42.3 24.7 48.4 95.4 22.8
10.7 25 51.4 82.7 66.7
39.5 28.7 20.9 193.4 52.5
38.4 28.5 10.8 103.2 2.3
49.8 16 46.1 83.7 33.4
47.7 16.2 45.8 83 31.3
13.2 24.6 50.5 227 75.1
58.5 23.9 47.4 88.1 33.9
40.1 26.8 29.7 168.1 71.5
10.4 23.9 56.3 196.8 22.8
11.7 29.7 51.3 95.3 42.2
11.8 26.6 51 92 99.4
41.9 20.3 19.6 82.2 77.5
10.5 27.2 59.5 86.1 99.8
10.2 26.9 27.4 216.4 44
33.6 27.5 20.4 103.7 81.3
17 39.7 26.2 221.4 50.7
45.8 18.9 57 91.6 44.1
19.2 17.4 52.3 163.3 17
57.5 16.8 26.5 94.1 23.7
41.4 24.7 32.6 93 16.6
55.3 23.7 49.6 95.7 23.4
29.4 29.7 34.1 174.6 71.8
17.7 27.9 55.2 92.2 33.8
19.2 28.2 50.1 82.8 75.1
15.8 27.2 51.4 91.8 20.8
36.2 20.1 57.5 87.8 37.4
43.7 28.5 17.3 196.5 35.3
47.8 25.3 49.1 188.5 53.2
49.9 24.8 18.1 80.3 86.3
16.6 16.1 57.6 217.7 63
17 20.4 21.9 124.3 79.9
17 26.6 57.3 82.7 18.5
39.2 26.5 10.4 194.9 87.2
35.5 22.5 27.7 94.9 57.9
59.4 20.8 13.7 89.8 42.6
35.6 26.8 13.1 113.5 47.3
19.8 26.4 59 84.1 94.2
15.5 28.8 25.9 143.5 58.1
47.6 22.4 58.3 98.1 40.8
17.7 38.3 21.5 158.3 79.4
16.5 28.1 23.6 153.4 42.7
32.7 25.9 47 165.2 92.9
12.5 26.3 59.1 84.3 22
18.2 26.8 53.9 95.6 20.9
19.6 34.9 23.4 155.3 53.4
19 28.6 56.1 97.9 87.3
39 24 59.1 90 13
31.7 21.1 27.5 96.5 95.7
32.9 15.3 52.9 96.6 10.9
19.3 26.8 23.2 149.5 66.4
15.3 15.8 53.5 129.6 98.8
36.2 24.6 53.4 80.3 25.7
18.3 38 23.4 224 49.3
15.3 28.2 55 84.7 58.2
39.6 17.2 47.2 90.6 88.9
46.3 20.8 35 87.2 55.3
14.6 28.8 50.8 91 70.9
36.9 18.5 55.6 95.2 16
15.8 29.5 59.2 88.5 27.1
14 28.5 53.8 89.9 53.7
18.1 22 55.7 174.5 54.9
52 19.2 45 80.2 59.1
18.8 21 56.2 152.9 60
47 23.3 51.3 94 20.7
12.4 27.7 24.5 127.6 64.8
11.9 27.4 27.9 223.5 46
17.6 28.8 58.7 84.6 5.3
47.7 24.6 59.6 86.1 33.5
14.7 26.8 23.9 200 56.9
34.4 25.3 40.1 185.8 88.5
37.8 28.6 33.9 195.2 7.6
12 35.8 23 230.8 42.5
15.8 29.4 27.8 207.6 58.6
16.9 25.1 28.5 133.5 71.3
31.3 20.5 38.5 90.8 95.7
41.7 25.6 22 168.7 6.3
33.9 30 17.2 184.4 76.4
13.6 26.8 57.1 82.5 4.4
52.9 23.5 43 83.1 74.7
42.6 19.5 53.8 91.1 38.2
12.9 26.3 52.3 84.3 41
39.4 17.4 58 95.5 40.6
52 21.1 53.2 82.1 15.3
25.6 26.5 56 130.6 99.8
34.2 21.8 53.1 99.7 39.3
19.2 30 58.4 82.6 33.2
10.5 23.4 59.9 228.7 27
59.8 20.2 58.8 94.9 41.4
31.5 19.3 26.1 89.9 79.6
41.6 25.5 44.3 192.4 19.1
39.9 26.9 50.3 147.1 70.6
17.3 28 59 87.3 80.5
14.3 26.9 56.4 90.2 5
18 30.3 21 235.7 60.8
58.9 19.1 35.2 88.9 89.3
27.5 28.1 53 122.3 20.8
45.1 15.6 55.9 85.2 44.1
30.5 23.9 36.4 92.2 82.3
57.3 19.1 53 98 43.7
24.4 29.5 32.6 178.8 88.2
41.5 17.9 10.1 82.2 15.1
33.8 21.4 54.3 88.8 20.1
31.2 29.7 49.9 185.2 40.2
47 19.8 39.3 84.7 24.3
15.5 29.6 24.8 248.3 62.4
17.5 37.5 27.6 142.4 46.8
17.6 27.8 56.2 86.4 57.6
41.2 16.8 24.7 92.3 10.5
49.5 16.4 18.2 97.5 37.6
43.4 27.4 40.2 193.7 57.2
15 39.1 20.7 144.3 63.3
13.5 33.6 26.2 158.5 46.1
15.3 21.9 22 182 54.9
59.6 22.1 56.7 90.1 26.7
17.8 25.1 54.5 92.8 81.1
14.5 28.1 54.9 82.5 69.3
22.7 26.5 31.8 102.5 98.4
13.2 19.9 58.4 141.8 47.8
17.8 24.8 28.4 176.4 47
40.6 20.4 44.9 90.7 10.5
40.4 26.2 35.6 165.2 31.1
13.8 27 28.3 129 49
16.5 27.1 60 91.2 59.2
11.8 20.7 28.3 233 68.8
10.1 19.8 50.3 220.8 35.4
38.4 15.1 57.8 87.3 18.4
39.1 17.8 51.3 87.8 11.4
17.2 20.4 52.8 179.4 36.4
12.1 30.6 29.4 231.3 62.9
44.5 15.1 53.3 82.6 10.2
35.3 23.7 57.1 87.9 35.4
17 33 28.6 200.2 72.7
35.8 18.3 44.8 90.2 28.4
12.3 22.1 56.6 219.7 95
14.2 39.9 25.3 139.3 44.9
46.2 17.3 50.1 89.6 23.3
15.3 16.3 59.6 141.8 3.1
45.9 20.8 56.2 91.7 46.4
18.6 27.1 57.5 83.4 57.8
51 17.9 52.4 95.8 41.3
14.8 29 59.4 86.8 86.6
46 22.9 39.1 90.6 73
47.1 26.9 14.7 168.4 11.1
11 23 55.6 246.9 24.3
15.6 27.5 57.5 89.6 61.4
18.1 34.3 26.5 154.7 50.6
14.2 26.6 56.4 89.3 45.4
34.7 15.3 52.3 99.2 38.4
29.5 28.2 22.9 131.9 86.2
13 27.6 25.7 195.7 49.2
32.1 29.5 28 155.7 43.6
10.2 19.6 53.6 151.2 18.5
52.8 20.5 41.5 86.1 49
11.1 28.7 59.4 97.5 18.5
18.9 23.4 54.8 221.8 45.7
38.5 24.8 48.5 97.9 13.6
13.6 29.5 58.6 86.9 62.4
12.6 26.1 50.6 91.8 14
24.1 26.8 23.1 122.9 82.6
46.2 26.8 38.8 177 41.9
53.6 23.1 38.3 91.9 23.2
47.2 18.4 40.4 89.8 51.6
43.6 26.9 13.6 140.3 7
14.4 22.5 54.6 207.2 74.3
24.8 29.5 54.5 121.5 87.4
39 15.3 32.5 82.5 22
44.2 19.5 51.8 93.8 39.5
49 28.7 41.1 193 13.1
31 15.9 52 95.5 13.2
51.7 19.6 57.8 81.9 16.5
58.9 19.2 18.5 99.7 98.3
15.9 33.8 27.9 228 53.5
12.8 28.9 50.7 84.8 97.3
36.8 26.2 39.3 125.7 93.3
58.4 15.8 52.4 95.5 28
58.2 22.2 53.6 87.7 14.9
36.9 29.3 28.7 139.3 1.7
17.5 26.6 55.9 87.4 32.4
38.4 20.9 57.1 95.6 26.3
56.3 19.4 23.1 92.3 16.7
14.7 28.6 51 98.8 84
51.1 20.4 55.8 96.2 41.2
33.2 29.4 11.4 104.6 17.2
12.8 29.3 23.5 242.2 62.7
55.4 17.4 30.8 94.4 35.5
17.9 21 54.1 123.6 15.7
12.1 18.4 56.5 195.2 96.1
16.2 30 29.8 220.3 62.9
59.9 17 44.2 83.3 70
57.9 20.7 50.8 92.4 16.2
51.4 15.8 43.9 96 10.1
15.8 23.4 29.5 189 79.7
18.7 35.7 25.7 204.2 53.5
52.7 24.2 51.1 87.4 36.4
10.3 16.7 50.9 219.2 33.9
29.8 29.9 59.9 117.1 29.4
19.1 23.9 23.1 134.4 70.9
52.6 22.1 15.9 96.9 39
13.9 22.4 56 169.3 38.5
18.4 26.7 57 80.7 27.9
10.4 31.7 27.4 191.6 75.8
13.1 33.8 25.7 126.9 56.3
13.2 21.1 50.6 244.7 7.6
15.4 27 25 230.3 57.7
12.3 19.6 57.8 196.5 92.4
17.2 15.4 59.7 207.4 21.6
54.1 23.9 21.1 93.1 29.8
11 29 26 127.7 79.7
55.2 20.7 59.3 84.9 48.9
51.3 21.2 25 80.8 59.7
11.8 19.7 54.6 247.6 24.1
32.1 19.2 28 87.9 34.8
19.4 24.3 26.7 167.5 51.5
38.9 20.2 43.2 81.5 73.3
10.4 25.9 53.4 87.6 54.8
11.8 21.6 55.8 168.2 48.7
15.4 26.3 50.1 92.5 40.6
13.4 23.9 27 124.5 47.2
19.6 35.5 21.5 159.3 65.5
10.4 26.5 58.2 85.1 4.2
15.6 25.1 58.4 82.7 1
46.8 15.7 53.4 80.1 14.4
24.7 26.4 26.7 104.7 58.1
41 18.9 54.9 87.7 16.2
26.5 27.1 32.4 177.9 24.3
59.4 19.6 53.3 87.8 46.9
57.5 22.1 26.7 96.5 10.5
17 26.9 58.8 88.1 95.4
10.7 26 57.2 95.8 77.8
10.7 15.5 56.6 230 74.2
37.7 24.9 27.8 92.4 50.9
24 29.3 12.7 182.8 44.3
26.3 28.4 10.7 199.9 25.1
15 25.5 51 97.9 59.8
31.5 28.1 43 149.4 5.7
49.4 23.3 40.9 99.9 83.2
16.3 33.6 23.8 132 67.8
25.4 27.3 27 111.9 2
46.5 16.5 11.2 85.1 19.3
11.6 39.2 21.2 185.6 45.9
13.8 15.7 51.1 153.7 97.8
12.9 22.7 52.2 167.1 79.5
45.1 20.9 29.5 93.2 76.9
14.2 34.1 20.5 158 66.8
35.2 19.2 53.2 88.8 42.5
45.9 15.8 58.6 82.7 39.2
43.3 17.4 54.2 94 39.5
30.7 27.6 22.3 176 52.9
11.5 25.7 52.2 83.1 11.3
45.2 15.8 28.5 85.4 11.3
10.5 28.6 50.5 95.9 96.2
24.4 29 57.6 146.9 2.5
46.7 18.5 52.6 84.3 22
11.2 27.7 54.7 98.2 32.8
44.8 17.6 20.4 99.7 22.5
13.8 25.7 26.4 213.5 63.6
45.5 25.3 29.5 115.5 9.2
17.8 27.3 51.4 84.1 5
19 26.7 52.3 95.2 51.7
11.1 24.5 29.8 163.1 43.8
13.7 28.1 54.5 95 22
12.2 16.8 53.7 123.9 61
45.1 29.9 28.6 157.5 86.3
45.5 22.4 32.5 82.8 36.8
52.7 19.5 52.7 99.4 26.5
11.8 37.4 23.5 197.6 73.3
45.6 25.2 49.2 114.5 81.5
17.8 22.8 21.5 148.2 63.3
13.2 29.6 55.2 91.5 69.1
17.1 19.5 50.1 145.1 17.1
40.7 18 55 83.8 43.4
54.4 15.1 12.3 87.9 33.1
14.2 20.6 53.1 173.9 32.5
19.9 28.7 53.2 84.5 41
13.3 22.5 57.9 204 98.9
53.3 16.4 57.3 93.1 21.1
18.5 37.4 25.8 157.1 40.7
19.4 25.5 56.5 98.9 58.9
57.9 23.7 23.8 81.2 42.7
45 28.2 21.3 137.1 1.5
39.1 26.9 16.3 191.3 34.7
42.9 29.6 28.4 193.9 99.4
17.2 15.8 51 125.3 19.6
19.5 28.9 59.1 81.2 26.2
42.2 25.6 20.4 133 98.8
18.8 29.7 51.9 96.3 57.1
13.2 26.8 51.3 96.9 47.4
32.9 21.9 13.8 81 30
12 25 20.9 138.6 56.3
27.4 28.8 52.8 189.3 90.6
12.5 26.9 51.5 90.4 68.6
50.9 15.6 14 84.7 41.4
49.3 25.1 21.6 118.3 98.6
15.6 28.5 52.2 88.9 11.6
37.3 25.7 22.2 166 35.4
15.8 24.7 26.6 177.8 51.4
39.1 19.8 54.9 83.7 33.4
32 15.6 28.1 93.4 93.3
20.6 28.1 38.9 113.6 88.8
43.2 18.5 52 90.7 43.6
16.7 29.4 52.7 90.3 14.3
18.3 20.2 24.3 127.9 45.1
40.3 26.8 26.6 194.4 67.3
34 28 44.5 149.1 82.6
34.5 18.2 48.4 88.8 78.4
44.6 19.1 54.5 85.1 45.3
17.4 28.5 59.2 84.6 79.6
10.1 39.9 28 139.7 43.7
38.6 18.9 56.1 95.8 37.7
10.6 36.4 20.8 238.1 43.9
15 29.7 50.3 82.8 47
49.9 25.8 17.2 152.3 64.3
39.3 15.2 40.9 84 65.5
40 19.8 54.5 96.5 17.8
45.3 19.8 58.1 82.9 13.2
38.5 25 20.2 88.7 45.5
31.6 18.7 58.1 81.5 47.9
16 39.7 25 241.1 67.4
13.5 26.6 20.1 152.7 65.3
39.3 23.8 52.5 85.4 42.2
48.7 27 54.4 141.7 1.9
13.9 19.9 58.3 131.6 32.7
30.1 16.3 54.9 89.3 28.5
16.6 25.3 58.6 97.2 5.6
37.6 28 23.5 179.5 61.4
45.7 25.6 25.7 107.3 91.3
14.7 29.2 55.6 85.6 97.4
14.9 26.8 52.3 84 1
44.8 15.9 43.8 96 76.3
38.3 15.1 48.2 85.3 38
37.3 24.9 55 84.3 11.7
12.4 24.3 25.8 246.6 73.9
38.8 29.7 39.7 109.8 81.6
26.9 26.3 58.1 152.6 99.2
15.5 37.4 29.7 221.7 42.7
58.1 16.1 28.4 89.1 25.8
39.5 20 54.4 87.2 38.5
42.5 25 43.9 82.7 86.2
33.3 20.7 55.6 86.8 19.3
16.8 37.2 29 187.3 64.7
14.5 28.2 58.9 90.6 49.6
18 30.3 28.3 185.4 47.4
32.7 15.5 14.7 96.3 33.7
37.1 18.4 35.9 87.2 30.2
14 24.8 56.4 230.5 94.7
42.3 29.6 37.7 107.7 88.4
47.8 15.8 31.5 84.8 52.8
10.9 29.3 59.3 83.2 51.9
13.4 36.9 26.3 135.8 54.1
31.8 18.9 35.4 97.1 23.7
11.7 29.1 58.1 88.1 48.8
33.5 26.5 53.9 162.6 8.8
10.2 28 22 137.4 67.4
30.6 17.4 12.9 93.8 78.9
15.4 23.2 54.1 165.1 31.9
14.1 26.4 50.5 90.3 51.1
15.7 27.6 30 140.9 61.8
34.8 27 44.4 101.3 94.3
18.4 28.1 50.3 90.7 95.7
45.3 28.4 35.4 187.9 19.3
10.8 25.8 56.5 90.1 30.5
12 39.9 28.6 229 54
34.5 23.6 53.2 81.7 47.8
44.1 22.2 22.3 95 71.4
16.6 26.7 28.1 192.5 57.4
15.3 16.2 52.5 206.4 3
18.2 26.9 51.5 95.3 64
12.4 33.7 23 172.5 48
16.2 15.2 54.9 237.4 74.2
35.4 22.7 34.8 97.4 35.8
36 18.7 37.7 82.9 10.2
17.1 23.6 23.9 137.2 61.7
18.8 25.3 51.1 96.6 29
19.6 25.8 20.5 212.5 52.5
37.2 15.9 27.3 93.5 70.6
27.8 25.5 43.1 175.3 39.1
19.9 19.6 57.4 233.4 32.7
48.4 15.6 11.6 92.3 24.7
10.6 25.9 57.9 83 77.6
13.1 31.9 20.5 162.7 78.9
20.3 28.4 38.7 116.8 7.7
36.8 25 53 88.3 14.6
12 28.1 50.6 83.3 82.4
39.8 24.7 20.2 92.2 96.4
15 34.9 20.6 220.6 64.3
51.7 16.9 53 95.9 10.6
41.9 23.7 49.4 93.5 33.6
11.5 30 50.4 92.3 81.4
50.8 16.6 52.8 82.4 32.9
12.2 23.7 51.5 234.6 28.1
46 24.4 39.3 94.5 11
30.3 17.9 54.6 96.2 20.8
50 26.5 53 111.4 27.5
23.1 27.4 13 188.4 26.2
39.7 30 54 180.4 53.4
14.1 20.8 56.4 247.3 74
56.2 15.1 44.4 98.7 41.6
33.2 28.9 20.6 104.6 0.3
15 27.6 58.9 92.8 16.3
55.8 19.1 59.6 89.3 32.6
17.8 25.4 59.1 94.1 19.1
13.9 39.9 25 175.2 65
37.7 25.4 32.6 177.5 21
18.5 22.4 50.9 177.6 58.6
42.2 18.1 56.1 80.6 19
16.6 23.7 26.9 187.6 62.3
43.8 21.3 55 88.4 33
